,Prob_1
0,0.7595102
1,0.12727793
2,0.30531007
3,0.9792292
4,0.1086909
5,0.24200319
6,0.87838507
7,0.11086502
8,0.22842379
9,0.91828036
10,0.22139442
11,0.93222004
12,0.9512854
13,0.15234475
14,0.9877386
15,0.084454216
16,0.15576038
17,0.59096646
18,0.8313223
19,0.9714668
20,0.09795787
21,0.1833375
22,0.9728731
23,0.87153625
24,0.021406934
25,0.9364293
26,0.1010609
27,0.92592484
28,0.9924385
29,0.063514546
30,0.039109282
31,0.9732231
32,0.8477893
33,0.031073706
34,0.20935369
35,0.9162309
36,0.0349296
37,0.24632211
38,0.34955412
39,0.25962263
40,0.92576635
41,0.1294853
42,0.24630268
43,0.9264238
44,0.73304397
45,0.03931953
46,0.030133836
47,0.8921729
48,0.87093496
49,0.9982015
50,0.8048742
51,0.14504938
52,0.19385727
53,0.87524873
54,0.35733956
55,0.4085289
56,0.4601608
57,0.76240003
58,0.73743606
59,0.21054843
60,0.09842685
61,0.2529658
62,0.21686189
63,0.8150905
64,0.14936283
65,0.059179205
66,0.9725849
67,0.1732553
68,0.9425775
69,0.45999223
70,0.07064959
71,0.9965833
72,0.86925375
73,0.9177929
74,0.38713497
75,0.086647354
76,0.06294914
77,0.9086953
78,0.3129477
79,0.031475212
80,0.9069528
81,0.13629706
82,0.1036256
83,0.4692162
84,0.13259843
85,0.05739922
86,0.8310653
87,0.2354586
88,0.19260795
89,0.021306703
90,0.9097387
91,0.945502
92,0.8696339
93,0.08792367
94,0.07301888
95,0.8713134
96,0.8530985
97,0.96852845
98,0.97122574
99,0.76199746
100,0.96017593
101,0.9587741
102,0.97662556
103,0.93223774
104,0.9306589
105,0.07175267
106,0.18206786
107,0.32673976
108,0.881421
109,0.9100966
110,0.94626915
111,0.30036548
112,0.14792418
113,0.16435519
114,0.33026215
115,0.9673516
116,0.079872034
117,0.98891896
118,0.32880014
119,0.9776807
120,0.7947736
121,0.28124747
122,0.0961842
123,0.011989284
124,0.29364684
125,0.7892816
126,0.16084312
127,0.92762864
128,0.850476
129,0.012284535
130,0.6750031
131,0.01668346
132,0.584612
133,0.98415226
134,0.8455259
135,0.055502165
