,Prob_1
0,1.0
1,0.0
2,0.0
3,1.0
4,0.0
5,0.0
6,1.0
7,0.00862069
8,0.0
9,1.0
10,0.0
11,1.0
12,1.0
13,0.00862069
14,1.0
15,0.0
16,0.0
17,1.0
18,1.0
19,1.0
20,0.00862069
21,0.0
22,1.0
23,1.0
24,0.00862069
25,1.0
26,0.00862069
27,1.0
28,1.0
29,0.00862069
30,0.00862069
31,1.0
32,1.0
33,0.00862069
34,0.0
35,1.0
36,0.0
37,0.0
38,0.0
39,0.0
40,1.0
41,0.0
42,0.0
43,1.0
44,1.0
45,0.00862069
46,0.00862069
47,1.0
48,1.0
49,1.0
50,1.0
51,0.0
52,0.0
53,1.0
54,0.0
55,0.0
56,0.0
57,1.0
58,1.0
59,0.0
60,0.00862069
61,0.0
62,0.0
63,1.0
64,0.0
65,0.00862069
66,1.0
67,0.0
68,1.0
69,1.0
70,0.00862069
71,1.0
72,1.0
73,1.0
74,0.0
75,0.0
76,0.00862069
77,1.0
78,0.0
79,0.00862069
80,1.0
81,0.0
82,0.0
83,0.0
84,0.00862069
85,0.00862069
86,1.0
87,0.0
88,0.0
89,0.00862069
90,1.0
91,1.0
92,1.0
93,0.00862069
94,0.00862069
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,0.0
106,0.0
107,0.0
108,1.0
109,1.0
110,1.0
111,1.0
112,0.00862069
113,0.0
114,0.0
115,1.0
116,0.00862069
117,1.0
118,0.0
119,1.0
120,1.0
121,0.0
122,0.0
123,0.00862069
124,0.0
125,1.0
126,0.0
127,1.0
128,1.0
129,0.00862069
130,1.0
131,0.00862069
132,1.0
133,1.0
134,1.0
135,0.00862069
136,0.00862069
137,0.00862069
138,1.0
139,1.0
140,0.0
141,1.0
142,0.00862069
143,1.0
144,0.0
145,0.0
146,0.00862069
147,0.00862069
148,0.0
149,0.0
150,0.00862069
151,1.0
152,1.0
153,0.0
154,0.0
155,0.00862069
156,0.00862069
157,0.0
158,1.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,1.0
165,0.0
166,1.0
167,1.0
168,0.0
169,1.0
170,0.0
171,1.0
172,1.0
173,1.0
174,0.0
175,1.0
176,1.0
177,0.0
178,1.0
179,1.0
180,0.00862069
181,0.0
182,0.0
183,1.0
184,1.0
185,1.0
186,1.0
187,0.0
188,1.0
189,0.00862069
190,0.00862069
191,1.0
192,1.0
193,1.0
194,0.0
195,0.0
196,0.0
197,1.0
198,1.0
199,0.0
200,1.0
201,1.0
202,0.00862069
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,0.0
209,1.0
210,0.0
211,1.0
212,1.0
213,1.0
214,0.00862069
215,1.0
216,0.0
217,0.00862069
218,1.0
219,1.0
220,1.0
221,0.00862069
222,0.00862069
223,0.00862069
224,1.0
225,0.0
226,1.0
227,0.00862069
228,1.0
229,0.0
230,0.0
231,1.0
232,1.0
233,0.0
234,1.0
235,0.0
236,1.0
237,0.0
238,0.00862069
239,1.0
240,1.0
241,0.00862069
242,1.0
243,1.0
244,0.0
245,1.0
246,1.0
247,0.0
248,0.00862069
249,1.0
250,0.0
251,0.0
252,1.0
253,1.0
254,1.0
255,1.0
256,0.0
257,1.0
258,1.0
259,0.00862069
260,0.00862069
261,0.00862069
262,0.0
263,0.00862069
264,0.00862069
265,1.0
266,1.0
267,1.0
268,0.00862069
269,1.0
270,1.0
271,0.0
272,1.0
273,1.0
274,1.0
275,0.00862069
276,1.0
277,0.0
278,1.0
279,1.0
280,0.00862069
281,1.0
282,1.0
283,1.0
284,0.0
285,0.0
286,1.0
287,1.0
288,0.00862069
289,0.00862069
290,1.0
291,1.0
292,1.0
293,0.0
294,0.00862069
295,1.0
296,1.0
297,1.0
298,0.0
299,0.0
300,1.0
301,1.0
302,1.0
303,0.0
304,0.00862069
305,0.00862069
306,1.0
307,1.0
308,1.0
309,1.0
310,0.00862069
311,1.0
312,1.0
313,0.00862069
314,0.00862069
315,0.00862069
316,0.0
317,1.0
318,1.0
319,0.00862069
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,0.00862069
329,1.0
330,1.0
331,0.0
332,1.0
333,1.0
334,0.0
335,1.0
336,1.0
337,0.00862069
338,1.0
339,0.0
340,0.0
341,1.0
342,0.00862069
343,0.0
344,0.0
345,1.0
346,0.00862069
347,1.0
348,0.00862069
349,0.0
350,1.0
351,0.00862069
352,1.0
353,1.0
354,1.0
355,1.0
356,0.0
357,0.00862069
358,0.0
359,0.00862069
360,0.00862069
361,0.0
362,0.0
363,0.00862069
364,0.00862069
365,0.0
366,1.0
367,0.0
368,0.00862069
369,1.0
370,0.0
371,1.0
372,0.00862069
373,0.00862069
