,Prob_1
0,0.9999874
1,0.00103159
2,0.006007487
3,0.89385045
4,0.00059239654
5,0.00046927945
6,0.9999978
7,0.009836738
8,0.0010538853
9,0.99999934
10,0.0036737383
11,0.99999905
12,0.999985
13,0.004623794
14,0.91003513
15,0.0033323942
16,0.0053555463
17,0.9999954
18,0.9831475
19,0.82178825
20,0.0001187387
21,0.00058889634
22,0.9999869
23,0.99999917
24,0.007556387
25,0.9761176
26,0.0036142205
27,0.99999803
28,0.8971945
29,0.0588314
30,0.0007784172
31,0.99514574
32,0.99999803
33,0.011430512
34,0.010511462
35,0.9999852
36,0.029769685
37,0.0002717656
38,0.0011121833
39,0.0038112223
40,0.999999
41,0.016554289
42,0.0005939144
43,0.96693295
44,0.9999978
45,0.0017757631
46,0.00083365606
47,0.9945729
48,0.9999952
49,0.9669895
50,0.9999933
51,0.003262531
52,0.004101117
53,0.99645865
54,0.0026264717
55,0.00063183747
56,0.0002912859
57,0.9999992
58,0.9999969
59,0.0006182463
60,0.0012865082
61,0.0010358542
62,0.002800825
63,0.99999946
64,0.0019278161
65,0.0012193797
66,0.9713235
67,0.010324919
68,0.9999977
69,0.999985
70,0.0473191
71,0.9282042
72,0.9999995
73,0.9999994
74,0.0023662809
75,0.14393912
76,0.0004919299
77,0.97913647
78,0.0005008119
79,0.025831949
80,0.96661824
81,0.003583824
82,0.001384978
83,0.0009493241
84,0.00079680525
85,0.12520868
86,0.9999959
87,0.007889158
88,0.00034904905
89,0.032995813
90,0.9999911
91,0.99999934
92,0.99999875
93,0.08077266
94,0.028042048
95,0.9999964
96,0.99424565
97,0.75487345
98,0.9740041
99,0.9999965
100,0.9066495
101,0.9864609
102,0.9999966
103,0.9175739
104,0.9096507
105,0.3327413
106,0.3947016
107,0.002768513
108,0.9678624
109,0.9927009
110,0.567135
111,0.9721691
112,0.6582951
113,0.43993053
114,0.35183206
115,0.63523155
116,0.2888592
117,0.9556838
118,0.3563738
119,0.6812188
120,0.24256623
121,0.3332291
122,0.48893216
123,0.013413609
124,0.64019626
125,0.98012275
126,0.5528496
127,0.8573507
128,0.68008566
129,0.3327221
130,0.47712803
131,0.07256449
132,0.97556525
133,0.9153046
134,0.99999875
135,0.22885498
136,0.070413455
137,0.024234777
138,0.99114233
139,0.8878589
140,0.089885
141,0.8224422
142,0.08817092
143,0.7123846
144,0.19981551
145,0.55041206
146,0.068946056
147,0.014302093
148,0.19388136
149,0.00029452468
150,0.26713347
151,0.71315867
152,0.909004
153,0.19587874
154,0.26892805
155,0.08064136
156,0.51056665
157,0.20000388
158,0.74508643
159,0.5526923
160,0.0475848
161,0.19776408
162,0.00033504085
163,0.03629951
164,0.6080185
165,0.21363766
166,0.86462235
167,0.89017516
168,0.008664229
169,0.6707838
170,0.0040604747
171,0.31697577
172,0.7580024
173,0.5423223
174,0.09694177
175,0.6459947
176,0.7336472
177,0.022427982
178,0.5759122
179,0.9999897
180,0.085176
181,0.48482987
182,0.4710434
183,0.52456546
184,0.3999566
185,0.72410864
186,0.5448489
187,0.05438226
188,0.5706846
189,0.9999942
190,0.08472691
191,0.28191322
192,0.7302671
193,0.8697547
194,0.14438663
195,0.04626957
196,0.27654368
197,0.8559979
198,0.9043403
199,0.33271748
200,0.8037594
201,0.37892017
202,0.044002317
203,0.5734698
204,0.8355733
205,0.9904985
206,0.9753335
207,0.8737668
208,0.083567366
209,0.5473588
210,0.0034406006
211,0.5
212,0.7843127
213,0.9649568
214,0.18318215
215,0.75465924
216,0.0023121242
217,0.14102872
218,0.8501205
219,0.9222043
220,0.88633215
221,0.078519106
222,0.04754739
223,0.06548608
224,0.65900224
225,0.37601614
226,0.4440845
227,0.19217102
228,0.8333393
229,0.0010048226
230,0.094775945
231,0.8852217
232,0.8355405
233,0.022427991
234,0.942067
235,0.06084564
236,0.29722866
237,0.33784267
238,0.025504204
239,0.948136
240,0.54718286
241,0.058607213
242,0.72790337
243,0.5900455
244,0.0016203779
245,0.51552844
246,0.5911016
247,0.08518285
248,0.08143129
249,0.99116397
250,0.5536202
251,0.016314982
252,0.9221351
253,0.9425679
254,0.47590134
255,0.761355
256,0.16455202
257,0.50970864
258,0.84729713
259,0.061758343
260,0.47656178
261,0.2521184
262,0.39206716
263,0.12584175
264,0.018646004
265,0.72419477
266,0.99999774
267,0.47077313
268,0.29009336
269,0.6323263
270,0.8600021
271,0.3827212
272,0.9049978
273,0.9999887
274,0.69796216
275,0.3739237
276,0.4878645
277,0.0074782474
278,0.5413676
279,0.736754
280,0.25669703
281,0.49327156
282,0.2986916
283,0.9513025
284,0.13091126
285,0.11179185
286,0.7558571
287,0.37441993
288,0.02842076
289,0.40283743
290,0.77603555
291,0.31550318
292,0.988739
293,0.1721874
294,0.2114626
295,0.7701458
296,0.83120483
297,0.94744784
298,0.5473093
299,0.42895147
300,0.25272062
301,0.86353964
302,0.30489945
303,0.16646053
304,0.025710842
305,0.20243888
306,0.9751828
307,0.99561083
308,0.5438808
309,0.43646705
310,0.13580906
311,0.8206184
312,0.98740184
313,0.20703991
314,0.14870606
315,0.114084765
316,0.10054918
317,0.9913499
318,0.63367575
319,0.03528301
320,0.9596934
321,0.60592985
322,0.6273567
323,0.6043961
324,0.9354389
325,0.783523
326,0.55185103
327,0.186663
328,0.20091927
329,0.5348028
330,0.92069125
331,0.0024783995
332,0.85222965
333,0.7937745
334,0.44482374
335,0.8324482
336,0.3711359
337,0.07084417
338,0.50699735
339,0.0049014674
340,0.1922846
341,0.9096803
