,Prob_1
0,1.0
1,0.0
2,0.011111111
3,0.96732026
4,0.0
5,0.016129032
6,0.96103895
7,0.0
8,0.0
9,1.0
10,0.0
11,1.0
12,0.96732026
13,0.011560693
14,0.96732026
15,0.0
16,0.011111111
17,1.0
18,1.0
19,0.96732026
20,0.0
21,0.011111111
22,0.96732026
23,0.96732026
24,0.011560693
25,0.96732026
26,0.0
27,0.96103895
28,0.96732026
29,0.016129032
30,0.0
31,0.96732026
32,0.96103895
33,0.011111111
34,0.0
35,0.96732026
36,0.016129032
37,0.0
38,0.0
39,0.011111111
40,0.96732026
41,0.011111111
42,0.016129032
43,0.96732026
44,1.0
45,0.011560693
46,0.011560693
47,0.96732026
48,0.96732026
49,0.96732026
50,1.0
51,0.011111111
52,0.0
53,0.96732026
54,0.96732026
55,0.0
56,0.96732026
57,0.96103895
58,1.0
59,0.016129032
60,0.0
61,0.0
62,0.016129032
63,0.96732026
64,0.0
65,0.0
66,0.96732026
67,0.0
68,0.96732026
69,1.0
70,0.011560693
71,0.96732026
72,0.96732026
73,1.0
74,0.011111111
75,0.0
76,0.011560693
77,0.96732026
78,0.0
79,0.011560693
80,0.96732026
81,0.011111111
82,0.011111111
83,0.0
84,0.011560693
85,0.016129032
86,0.96103895
87,0.0
88,0.011111111
89,0.011560693
90,0.96103895
91,0.96732026
92,1.0
93,0.0
94,0.0
95,1.0
96,0.96732026
97,0.96732026
98,0.96732026
99,1.0
100,0.96732026
101,0.96732026
102,1.0
103,0.96732026
104,0.96732026
105,0.011111111
106,0.0
107,0.0
108,0.96732026
109,0.96732026
110,0.96732026
111,0.011111111
112,0.0
113,0.0
114,0.0
115,0.96732026
116,0.011560693
117,0.96732026
118,0.0
119,0.96732026
120,1.0
121,0.0
122,0.016129032
123,0.011560693
124,0.0
125,1.0
126,0.0
127,0.96732026
128,1.0
129,0.011560693
130,0.96732026
131,0.011560693
132,1.0
133,0.96732026
134,1.0
135,0.011560693
136,0.011111111
137,0.011560693
138,1.0
139,0.96732026
140,0.0
141,0.96732026
142,0.011560693
143,0.96732026
144,0.016129032
145,0.0
146,0.011560693
147,0.011560693
148,0.016129032
149,0.0
150,0.011560693
151,0.96732026
152,0.96103895
153,0.011111111
154,0.0
155,0.011560693
156,0.011560693
157,0.016129032
158,0.96732026
159,0.96732026
160,0.0
161,0.011111111
162,0.0
163,0.0
164,0.96732026
165,0.011111111
166,0.96732026
167,0.96732026
168,0.0
169,0.96732026
170,0.96732026
171,1.0
172,0.96732026
173,0.96732026
174,0.011111111
175,0.96732026
176,0.96732026
177,0.0
178,0.96732026
179,1.0
180,0.0
181,0.0
182,0.011111111
183,1.0
184,0.96732026
185,0.96732026
186,0.96732026
187,0.011111111
188,0.96732026
189,1.0
190,0.0
191,1.0
192,0.96103895
193,1.0
194,0.011111111
195,0.016129032
196,0.0
197,1.0
198,0.96103895
199,0.011111111
200,0.96732026
201,0.96103895
202,0.016129032
203,0.96103895
204,0.96732026
205,0.96732026
206,0.96732026
207,0.96732026
208,0.0
209,0.96732026
210,0.0
211,1.0
212,0.96732026
213,0.96732026
214,0.0
215,0.96732026
216,0.0
217,0.011560693
218,0.96732026
219,0.96732026
220,0.96732026
221,0.011560693
222,0.011560693
223,0.011560693
224,0.96732026
225,0.011111111
226,0.96732026
227,0.0
228,0.96732026
229,0.0
230,0.011111111
231,0.96732026
232,1.0
233,0.0
234,0.96732026
235,0.011111111
236,1.0
237,0.0
238,0.011560693
239,0.96732026
240,0.96732026
241,0.011560693
242,0.96732026
243,0.96103895
244,0.011111111
245,0.96732026
246,1.0
247,0.0
248,0.011560693
249,1.0
250,0.0
251,0.0
252,0.96103895
253,0.96103895
254,1.0
255,0.96103895
256,0.011111111
257,1.0
258,0.96732026
259,0.016129032
260,0.0
261,0.011560693
262,0.0
263,0.011560693
264,0.011560693
265,0.96732026
266,1.0
267,1.0
268,0.011560693
269,1.0
270,0.96732026
271,0.011111111
272,0.96732026
273,1.0
274,0.96732026
275,0.011560693
276,1.0
277,0.96103895
278,1.0
279,0.96732026
280,0.0
281,0.96732026
282,0.96103895
283,0.96732026
284,0.0
285,0.0
286,0.96732026
287,1.0
288,0.011560693
289,0.011560693
290,0.96732026
291,1.0
292,0.96732026
293,0.0
294,0.011560693
295,1.0
296,0.96732026
297,0.96732026
298,0.0
299,0.0
300,0.96732026
301,0.96732026
302,1.0
303,0.011111111
304,0.011560693
305,0.011560693
306,1.0
307,0.96732026
308,0.96732026
309,0.96103895
310,0.011560693
311,0.96732026
312,1.0
313,0.011111111
314,0.011560693
315,0.011560693
316,0.011111111
317,1.0
318,0.96732026
319,0.011560693
320,0.96732026
321,0.96732026
322,0.96103895
323,0.96732026
324,0.96732026
325,0.96732026
326,0.96103895
327,1.0
