,Prob_1
0,0.5815043
1,0.3720284
2,0.113998316
3,0.87763727
4,0.25303334
5,0.14319421
6,0.81414735
7,0.13223809
8,0.37902367
9,0.74501705
10,0.34426588
11,0.6494636
12,0.8411985
13,0.112468645
14,0.892095
15,0.59562165
16,0.113998316
17,0.68144673
18,0.6180364
19,0.892095
20,0.13223809
21,0.113998316
22,0.8344871
23,0.829362
24,0.112468645
25,0.87225634
26,0.13223809
27,0.7496105
28,0.85091764
29,0.19040412
30,0.31944117
31,0.892095
32,0.8753688
33,0.112914875
34,0.4298108
35,0.892095
36,0.19040412
37,0.4653867
38,0.4442442
39,0.113998316
40,0.8476637
41,0.113998316
42,0.1413842
43,0.892095
44,0.81054366
45,0.15979424
46,0.112468645
47,0.892095
48,0.892095
49,0.8712785
50,0.62724185
51,0.113998316
52,0.4386903
53,0.8021422
54,0.8264833
55,0.319902
56,0.6596296
57,0.77443105
58,0.7299368
59,0.23879613
60,0.36574057
61,0.3351374
62,0.26675758
63,0.8745528
64,0.23250107
65,0.16055894
66,0.87763727
67,0.22121932
68,0.8493948
69,0.32418007
70,0.112468645
71,0.87226397
72,0.86640304
73,0.63871294
74,0.113998316
75,0.28681335
76,0.15979424
77,0.8712785
78,0.40742663
79,0.112468645
80,0.8459242
81,0.113998316
82,0.113998316
83,0.6904466
84,0.12478744
85,0.15239388
86,0.8047466
87,0.15648466
88,0.113998316
89,0.112468645
90,0.79175764
91,0.8707558
92,0.8523546
93,0.18130161
94,0.13223809
95,0.6592952
96,0.8459242
97,0.892095
98,0.856714
99,0.53584677
100,0.892095
101,0.892095
102,0.6626572
103,0.830304
104,0.8906544
105,0.113998316
106,0.38115016
107,0.63966787
108,0.7240553
109,0.8054179
110,0.858272
111,0.113998316
112,0.13223809
113,0.62447697
114,0.5066747
115,0.7757915
116,0.112468645
117,0.892095
118,0.2584204
119,0.8574589
120,0.5492798
121,0.7370148
122,0.23879613
123,0.112468645
124,0.2931497
125,0.7905355
126,0.12536182
127,0.86026794
128,0.6535809
129,0.112468645
130,0.8870331
131,0.112468645
132,0.49200383
133,0.8459242
134,0.42847538
135,0.112468645
136,0.112914875
137,0.112468645
138,0.5900023
139,0.85448647
140,0.31506917
141,0.84083396
142,0.112468645
143,0.8021422
144,0.2034129
145,0.5575101
146,0.112468645
147,0.112468645
148,0.30555633
149,0.5067294
150,0.112468645
151,0.843594
152,0.6848912
153,0.113998316
154,0.23876125
155,0.112468645
156,0.112468645
157,0.21249722
158,0.892095
159,0.81608844
160,0.5060752
161,0.113998316
162,0.7757915
163,0.16822019
164,0.81188315
165,0.113998316
166,0.8712785
167,0.85811836
168,0.27558094
169,0.8318054
170,0.716336
171,0.56585634
172,0.87058926
173,0.87763727
174,0.113998316
175,0.892095
176,0.8712785
177,0.5210411
178,0.892095
179,0.7130323
180,0.20877405
181,0.301108
182,0.113998316
183,0.53883255
184,0.84433836
185,0.75606287
186,0.84124345
187,0.113998316
188,0.7617121
189,0.4037173
190,0.127666
191,0.44457245
192,0.8176186
193,0.7154413
194,0.113998316
195,0.20338039
196,0.35687634
197,0.69311124
198,0.77836794
199,0.113998316
200,0.892095
201,0.6541683
202,0.14540455
203,0.8117545
204,0.824368
205,0.85036796
206,0.892095
207,0.8411985
208,0.34282455
209,0.892095
210,0.2891757
211,0.7369741
212,0.892095
213,0.7827595
214,0.18130161
215,0.87225634
216,0.31366855
217,0.112468645
218,0.86756164
219,0.8745528
220,0.8764893
221,0.112468645
222,0.112468645
223,0.112468645
224,0.8493948
225,0.113998316
226,0.892095
227,0.36665395
228,0.87225634
229,0.19080651
230,0.113998316
231,0.81102526
232,0.736826
233,0.61489314
234,0.810395
235,0.113998316
236,0.6617188
237,0.28344464
238,0.112468645
239,0.892095
240,0.892095
241,0.112468645
242,0.8745528
243,0.7912398
244,0.113998316
245,0.7266105
246,0.76661867
247,0.22267218
248,0.112468645
249,0.48542264
250,0.34716827
251,0.5182109
252,0.8173291
253,0.8313646
254,0.7245708
255,0.85768044
256,0.113998316
257,0.707822
258,0.892095
259,0.25491548
260,0.21358667
261,0.112468645
262,0.26771694
263,0.112468645
264,0.112468645
265,0.80340815
266,0.73344374
267,0.393001
268,0.112468645
269,0.74817216
270,0.84083396
271,0.113998316
272,0.892095
273,0.36950395
274,0.8393712
275,0.112468645
276,0.50128716
277,0.5755623
278,0.7023908
279,0.892095
280,0.27200788
281,0.8482636
282,0.7619391
283,0.85215527
284,0.18822853
285,0.35261738
286,0.8745528
287,0.32971075
288,0.112468645
289,0.112468645
290,0.8745528
291,0.49871242
292,0.8459242
293,0.258663
294,0.112468645
295,0.5179803
296,0.87225634
297,0.892095
298,0.30993363
299,0.38273123
300,0.86640304
301,0.892095
302,0.21515435
303,0.113998316
304,0.112468645
305,0.112468645
306,0.46659005
307,0.8462839
308,0.8745528
309,0.7829677
310,0.112468645
311,0.8745528
312,0.47416335
313,0.113998316
314,0.112468645
315,0.112468645
316,0.113998316
317,0.38339877
318,0.892095
319,0.112468645
320,0.80912596
321,0.87763727
322,0.7492186
323,0.7827595
324,0.87763727
325,0.81540686
326,0.82376343
327,0.7271092
328,0.112468645
329,0.81343055
330,0.85091764
331,0.3571296
332,0.85094947
333,0.8459242
334,0.22121932
335,0.87763727
336,0.87291133
337,0.112468645
338,0.60302913
339,0.22451416
340,0.113998316
341,0.892095
342,0.112468645
343,0.38047653
344,0.6341505
345,0.8764893
346,0.112468645
347,0.892095
348,0.112468645
349,0.76767504
350,0.87225634
351,0.13223809
352,0.41351163
353,0.39056805
354,0.66980714
355,0.87763727
356,0.113998316
357,0.13223809
358,0.13223809
359,0.15239388
360,0.112468645
361,0.2057508
362,0.319902
363,0.112468645
364,0.112468645
365,0.113998316
366,0.8403328
367,0.26024342
368,0.112914875
369,0.7186079
370,0.32519415
371,0.7936595
372,0.112468645
373,0.13223809
374,0.8745528
375,0.76363707
376,0.4487728
377,0.86640304
378,0.892095
379,0.2080047
380,0.4049002
381,0.7725014
382,0.4899445
383,0.112468645
384,0.112468645
385,0.87226397
386,0.6737521
387,0.113998316
388,0.112468645
389,0.7943673
390,0.112468645
391,0.83805716
392,0.39056805
393,0.8319817
394,0.112468645
395,0.6992452
396,0.8645456
397,0.22267218
398,0.5673284
399,0.892095
400,0.7290359
401,0.87225634
402,0.112468645
403,0.112914875
404,0.892095
405,0.112468645
406,0.6581894
407,0.8459242
408,0.22566633
409,0.29457223
410,0.47643238
411,0.8028389
412,0.50269115
413,0.112468645
414,0.8745528
415,0.87763727
416,0.12536182
417,0.112468645
418,0.112468645
419,0.80655557
420,0.8764893
421,0.113998316
422,0.892095
423,0.8018255
424,0.82267356
425,0.12478744
426,0.74567705
427,0.75495756
428,0.112468645
429,0.112468645
430,0.112468645
431,0.112468645
432,0.648245
433,0.112468645
434,0.49871242
435,0.2688405
436,0.797971
437,0.113998316
438,0.6675678
439,0.21515435
440,0.5035157
441,0.112468645
442,0.113998316
443,0.8707558
444,0.32422405
445,0.7985169
446,0.82276136
447,0.7080122
448,0.112468645
449,0.113998316
450,0.112468645
451,0.113998316
452,0.892095
453,0.87763727
454,0.85215527
455,0.8459242
456,0.8379786
457,0.5984984
458,0.112468645
459,0.112468645
460,0.113998316
461,0.5673284
462,0.83721566
463,0.8764893
464,0.112468645
465,0.8470487
466,0.112468645
467,0.12478744
468,0.8906544
469,0.8736864
470,0.112468645
471,0.13223809
472,0.25240567
473,0.37776327
474,0.892095
475,0.2821722
476,0.113998316
477,0.82687914
478,0.7863905
479,0.8906544
480,0.60401815
481,0.112468645
482,0.8279265
483,0.113998316
484,0.112468645
485,0.112468645
486,0.112468645
487,0.32534128
488,0.82658136
489,0.80655557
490,0.22587101
491,0.76906645
492,0.18105038
493,0.24394202
494,0.75668126
495,0.8318054
496,0.84083396
497,0.8173291
498,0.112468645
499,0.87225634
500,0.6700223
501,0.4386903
502,0.8531577
503,0.5837267
504,0.112468645
505,0.113998316
506,0.21515435
507,0.21803229
508,0.87763727
509,0.113998316
510,0.6374691
511,0.37128153
512,0.7954879
513,0.23875964
514,0.8555708
515,0.3919816
516,0.83192843
517,0.7369804
518,0.843594
519,0.112468645
520,0.77480173
521,0.112468645
522,0.8555708
523,0.113998316
524,0.60302913
525,0.28468215
526,0.113998316
