,Prob_1
0,0.0625
1,0.9375
2,0.0
3,0.9375
4,0.8125
5,0.9375
6,0.9375
7,0.78125
8,0.0625
9,0.84375
10,0.03125
11,0.90625
12,0.3125
13,0.9375
14,0.03125
15,0.15625
16,0.125
17,0.84375
18,0.875
19,0.8125
20,0.03125
21,0.0625
22,0.0625
23,0.125
24,0.34375
25,0.03125
26,0.0625
27,0.03125
28,0.28125
29,0.75
30,0.9375
31,0.9375
32,0.125
33,0.75
34,0.03125
35,0.28125
36,0.9375
37,0.09375
38,0.3125
39,0.875
40,0.90625
41,0.09375
42,0.90625
43,0.15625
44,0.96875
45,0.84375
46,0.09375
47,0.28125
48,0.0625
49,0.8125
50,0.125
51,0.90625
52,0.78125
53,0.0625
54,0.9375
55,0.03125
56,0.0625
57,0.09375
58,0.0
59,0.84375
60,0.03125
61,0.03125
62,0.9375
63,0.3125
64,0.0625
65,0.875
66,0.875
67,0.625
68,0.0
69,0.0
70,0.34375
71,0.9375
72,0.03125
73,0.9375
74,0.8125
75,0.28125
76,0.125
77,0.03125
78,0.09375
79,0.0625
80,0.03125
81,0.03125
82,0.875
83,0.09375
84,0.96875
85,0.21875
86,0.8125
87,0.15625
88,0.0625
89,0.84375
90,0.09375
91,0.8125
92,0.84375
93,0.90625
94,0.03125
95,0.90625
96,0.125
97,0.90625
98,0.09375
99,0.0625
100,0.03125
101,0.1875
102,0.9375
103,0.71875
104,0.90625
105,0.25
106,0.875
107,0.90625
108,0.03125
109,0.25
110,0.0
111,0.875
112,0.90625
113,0.9375
114,0.90625
115,0.21875
116,0.84375
117,0.875
118,0.90625
119,0.9375
120,0.84375
121,0.875
122,0.15625
123,0.09375
124,0.0625
125,0.84375
126,0.71875
127,0.125
