,Prob_1
0,0.12242883
1,0.87396294
2,0.117456704
3,0.8743225
4,0.8755989
5,0.8755292
6,0.8827581
7,0.8632762
8,0.12497863
9,0.87736344
10,0.11376309
11,0.8733284
12,0.113421604
13,0.87680715
14,0.118950635
15,0.11945635
16,0.12043509
17,0.88015044
18,0.8672738
19,0.8746073
20,0.11429633
21,0.12697497
22,0.12793009
23,0.120411366
24,0.1287295
25,0.117531724
26,0.11873974
27,0.13370125
28,0.12594405
29,0.87749785
30,0.8793684
31,0.88152677
32,0.12849192
33,0.8796083
34,0.115771376
35,0.12589742
36,0.87608016
37,0.10988964
38,0.12492933
39,0.882706
40,0.86416054
41,0.12743635
42,0.87386596
43,0.122142114
44,0.8810329
45,0.884366
46,0.1122012
47,0.124425866
48,0.11929477
49,0.88281876
50,0.11695522
51,0.8642328
52,0.88089234
53,0.119903676
54,0.87473816
55,0.117769755
56,0.13357906
57,0.13855743
58,0.12909037
59,0.8801613
60,0.117379606
61,0.13108236
62,0.8838362
63,0.13402663
