,Prob_1
0,0.5756807
1,0.42412713
2,0.30290142
3,0.59804726
4,0.5031229
5,0.25333938
6,0.4447395
7,0.43553692
8,0.44315094
9,0.71294326
10,0.36267135
11,0.5158419
12,0.660056
13,0.72055995
14,0.40413985
15,0.634002
16,0.616908
17,0.21001758
18,0.14243153
19,0.6720736
20,0.3140445
21,0.6727641
22,0.6309928
23,0.5694845
24,0.44602427
25,0.26639634
26,0.54234844
27,0.60855806
28,0.5333629
29,0.70260507
30,0.346182
31,0.50314915
32,0.5047218
33,0.60365826
34,0.30202603
35,0.33876634
36,0.6688216
37,0.8259698
38,0.36200637
39,0.7317169
40,0.56156194
41,0.22838111
42,0.30406922
43,0.6499306
44,0.6057216
45,0.6100748
46,0.5685607
47,0.30637556
48,0.47896245
49,0.30379376
50,0.8404044
51,0.3441338
52,0.5717336
53,0.61525375
54,0.37790537
55,0.7588462
56,0.45692825
57,0.6312376
58,0.32986018
59,0.4730696
60,0.63157177
61,0.7513286
62,0.6744363
63,0.5323089
64,0.4234271
65,0.5173597
66,0.415634
67,0.70341563
68,0.33033362
69,0.4704554
70,0.5314872
71,0.20832132
72,0.38718885
73,0.35978132
74,0.39269757
75,0.5901902
76,0.4136757
77,0.1926779
78,0.48763782
79,0.63200843
80,0.2914566
81,0.67997754
82,0.70858634
83,0.45409957
84,0.81543654
85,0.3489687
86,0.38311622
87,0.54234695
88,0.61124754
89,0.32086802
90,0.41487315
91,0.56384414
92,0.539033
93,0.4193152
94,0.13651223
95,0.41058078
96,0.75540274
97,0.38167056
98,0.3187001
99,0.7928012
100,0.6385504
101,0.36829963
102,0.50143754
103,0.6245443
104,0.7241127
105,0.41999537
106,0.4818467
107,0.21718082
108,0.16937365
109,0.6628397
110,0.45306432
111,0.6937439
112,0.37425622
113,0.733171
114,0.32740542
115,0.4993216
116,0.29632193
117,0.38456243
118,0.62883466
119,0.38343436
120,0.4206064
121,0.6909651
122,0.4420542
123,0.63196975
124,0.33737707
125,0.65797937
126,0.320722
127,0.39930183
128,0.36345017
129,0.5007456
130,0.6642146
131,0.58800864
132,0.6632192
133,0.6960636
134,0.66042566
135,0.29537398
136,0.5808756
137,0.64056647
138,0.6543797
139,0.6136667
140,0.64057285
141,0.26732814
142,0.7046641
143,0.46053994
144,0.4416951
145,0.4458853
146,0.28946936
147,0.59641117
148,0.62426096
149,0.65345687
150,0.31425852
151,0.59588206
152,0.31518608
153,0.72679335
154,0.5120188
155,0.5608097
156,0.3660938
157,0.6068465
158,0.49854714
159,0.73167926
160,0.6808223
161,0.71124226
162,0.4712731
163,0.33509356
164,0.77194566
165,0.66778773
166,0.56490314
167,0.7928964
168,0.3695878
169,0.29514924
170,0.53561866
171,0.84530354
172,0.6010553
173,0.76750594
174,0.68231255
175,0.6281863
176,0.44111842
177,0.31302825
178,0.5316739
179,0.5995433
180,0.4337352
181,0.49774548
182,0.32245603
183,0.3304403
184,0.6444462
185,0.5376956
186,0.24749991
187,0.27808288
188,0.45698866
189,0.834827
190,0.26525548
191,0.68577975
192,0.6545925
193,0.57322854
194,0.31718627
195,0.5698665
196,0.38670522
197,0.487014
198,0.6128622
199,0.70015
200,0.3572481
201,0.57703084
202,0.5780435
203,0.7849341
204,0.64803463
205,0.695511
206,0.54907006
207,0.44847465
208,0.6218764
209,0.33532175
210,0.77956194
211,0.49476486
212,0.22771585
213,0.73986274
214,0.6950828
215,0.4407993
216,0.7007467
217,0.6303187
218,0.7051322
219,0.7040778
220,0.45652533
221,0.43220332
222,0.7247649
223,0.60752994
224,0.6443033
225,0.48134804
226,0.52597487
227,0.77764475
228,0.39924064
229,0.1662998
230,0.37387273
231,0.7582491
232,0.77506804
233,0.3647315
234,0.45778656
235,0.601555
236,0.5934348
237,0.56531054
238,0.25021282
239,0.25405547
240,0.14781982
241,0.41890308
242,0.25493252
243,0.7704947
244,0.24014068
245,0.57957774
246,0.5028535
247,0.31935886
248,0.3459515
249,0.4600101
250,0.4478813
251,0.36512482
252,0.37050247
253,0.7276085
254,0.27698243
255,0.55011594
256,0.5171856
257,0.3452898
258,0.15172274
259,0.3610015
260,0.53556556
261,0.6637585
262,0.39921787
263,0.39119896
264,0.5229873
265,0.29018787
266,0.3581191
267,0.7985749
268,0.43469712
269,0.23028591
270,0.43245295
271,0.23309469
272,0.38672954
273,0.4466115
274,0.6807996
275,0.55290484
276,0.5865031
277,0.6138506
278,0.71625394
279,0.37635434
280,0.32036918
281,0.5519447
282,0.5722985
283,0.6023477
284,0.7506861
285,0.82785654
286,0.53684205
287,0.38642538
288,0.27857885
289,0.6799677
290,0.58626765
291,0.47069496
292,0.3909167
293,0.5202243
294,0.4928383
