,Prob_1
0,0.3869086
1,0.4527147
2,0.6308594
3,0.4706362
4,0.83382344
5,0.420186
6,0.59638655
7,0.7772238
8,0.24994862
9,0.32715702
10,0.34354755
11,0.6347319
12,0.3569606
13,0.80900246
14,0.48875555
15,0.6095732
16,0.8221956
17,0.61522573
18,0.6241332
19,0.82801366
20,0.61471325
21,0.3486163
22,0.7504038
23,0.57056844
24,0.5658895
25,0.47339568
26,0.60685444
27,0.29999772
28,0.696852
29,0.586872
30,0.7475834
31,0.49792504
32,0.64022315
33,0.6933772
34,0.6231367
35,0.58587474
36,0.8059224
37,0.3264473
38,0.47015128
39,0.3605187
40,0.45951408
41,0.3903031
42,0.4920616
43,0.18018933
44,0.3282069
45,0.43438247
46,0.56222427
47,0.25895265
48,0.6661197
49,0.37792644
50,0.30786508
51,0.32530245
52,0.31953964
53,0.24365921
54,0.49262786
55,0.6047857
56,0.43338183
57,0.47098842
58,0.38663733
59,0.39463434
60,0.52038306
61,0.50270045
62,0.43599266
63,0.39832276
64,0.37921074
65,0.4547269
66,0.59230095
67,0.62561065
68,0.67806387
69,0.459282
70,0.70404327
71,0.6263768
72,0.52348244
73,0.4741127
74,0.38564724
75,0.6875786
76,0.30004376
77,0.26698366
78,0.40842822
79,0.23290181
80,0.7412532
81,0.55460876
82,0.6455878
83,0.38796246
84,0.26908922
85,0.5833361
86,0.24377976
87,0.37300095
88,0.78142947
89,0.6255108
90,0.22692
91,0.7313144
92,0.36620465
93,0.525607
94,0.5775599
95,0.42934006
96,0.42248636
97,0.4782111
98,0.6088121
99,0.79666454
100,0.38208717
101,0.6608813
102,0.2950554
103,0.37383038
104,0.6427219
105,0.65150577
106,0.30422354
107,0.6513422
108,0.5801763
109,0.6978369
110,0.4703892
111,0.41126093
112,0.5393593
113,0.5011435
114,0.62990147
115,0.67360836
116,0.3711432
117,0.534311
118,0.35442132
119,0.601596
120,0.35022265
121,0.5156113
122,0.42435697
123,0.38759124
124,0.6711846
125,0.5880691
126,0.5905721
127,0.70016503
