,Prob_1
0,0.38511753
1,0.45043194
2,0.63239926
3,0.4703723
4,0.836116
5,0.41884598
6,0.5947338
7,0.77588946
8,0.25024217
9,0.32692376
10,0.3433771
11,0.63390166
12,0.35339478
13,0.81181926
14,0.48726562
15,0.60844696
16,0.8247267
17,0.6141099
18,0.6230552
19,0.8276604
20,0.616596
21,0.34536305
22,0.7498124
23,0.5701598
24,0.56569755
25,0.47406787
26,0.60548675
27,0.2966116
28,0.6986655
29,0.5882356
30,0.7468591
31,0.49941036
32,0.6414459
33,0.6952951
34,0.62517405
35,0.58738375
36,0.8079819
37,0.326812
38,0.47212455
39,0.3606767
40,0.45854694
41,0.3910817
42,0.49270067
43,0.17759344
44,0.32871068
45,0.43301278
46,0.5635202
47,0.25908607
48,0.66612786
49,0.378284
50,0.30660495
51,0.32296214
52,0.31761393
53,0.24203312
54,0.4921867
55,0.6067667
56,0.43240395
57,0.47023234
58,0.38716197
59,0.3957116
60,0.51998925
61,0.50104845
62,0.43354207
63,0.3988519
64,0.37665015
65,0.4532011
66,0.59149426
67,0.62736607
68,0.680145
69,0.4604913
70,0.70367587
71,0.62455845
72,0.5247014
73,0.47372818
74,0.3840645
75,0.69008803
76,0.30071524
77,0.26656255
78,0.40701404
79,0.23056714
80,0.74350655
81,0.55583805
82,0.6477621
83,0.3869048
84,0.26908976
85,0.5829223
86,0.24014944
87,0.37327996
88,0.7808843
89,0.6243034
90,0.22644664
91,0.7303109
92,0.36472315
93,0.525073
94,0.5789747
95,0.42957282
96,0.42253003
97,0.47856355
98,0.61042655
99,0.799243
100,0.38245314
101,0.663002
102,0.29504696
103,0.37417015
104,0.6446982
105,0.6506725
106,0.30352086
107,0.6514007
108,0.5815371
109,0.69989276
110,0.47116113
111,0.41064084
112,0.540726
113,0.5024976
114,0.6295312
115,0.6757682
116,0.37076417
117,0.53564346
118,0.35403407
119,0.60406935
120,0.34924942
121,0.51684976
122,0.42372444
123,0.38308722
124,0.6738031
125,0.58741134
126,0.59146273
127,0.69897676
