,Prob_1
0,0.03125
1,0.09375
2,0.0
3,0.03125
4,0.03125
5,0.0625
6,0.0
7,0.09375
8,0.0
9,0.03125
10,0.0625
11,0.0
12,0.0625
13,0.125
14,0.0625
15,0.0
16,0.0
17,0.0
18,0.0
19,0.96875
20,1.0
21,0.96875
22,0.0
23,0.03125
24,0.0
25,0.0
26,0.0
27,0.03125
28,0.0
29,0.0625
30,0.0
31,0.0625
32,0.0
33,0.0
34,0.0
35,0.0
36,0.09375
37,0.96875
38,0.25
39,0.09375
40,0.25
41,0.28125
42,0.03125
43,0.03125
44,0.09375
45,0.0
46,1.0
47,0.0
48,1.0
49,0.9375
50,1.0
51,1.0
52,1.0
53,0.0625
54,0.03125
55,1.0
56,0.0
57,0.03125
58,1.0
59,1.0
60,1.0
61,1.0
62,0.0
63,1.0
64,0.0
65,0.0
66,1.0
67,1.0
68,0.6875
69,1.0
70,0.0
71,1.0
72,0.0
73,0.25
74,1.0
75,0.0
76,1.0
77,0.0
78,0.0
79,1.0
80,1.0
81,0.5625
82,0.0
83,0.03125
84,1.0
85,0.0
86,0.15625
87,0.0
88,1.0
89,0.84375
90,1.0
91,0.09375
92,0.9375
93,1.0
94,0.0
95,0.0
96,1.0
97,1.0
98,1.0
99,0.15625
100,0.15625
101,1.0
102,1.0
103,1.0
104,0.96875
105,0.0625
106,0.9375
107,1.0
108,0.0
109,1.0
110,1.0
111,1.0
112,0.65625
113,1.0
114,1.0
115,1.0
116,0.96875
117,0.0
118,0.03125
119,0.0
120,1.0
121,0.0
122,0.0
123,0.9375
124,1.0
125,1.0
126,0.15625
127,0.03125
128,0.8125
129,0.0
130,1.0
131,0.0
132,0.0
133,0.75
134,0.0
135,0.3125
136,0.9375
137,1.0
138,0.0
139,1.0
140,1.0
141,0.125
142,1.0
143,1.0
144,1.0
145,1.0
146,0.0
147,0.96875
148,0.71875
149,0.96875
150,1.0
151,1.0
152,0.78125
153,1.0
154,1.0
155,1.0
156,0.0
157,0.84375
158,1.0
159,1.0
160,1.0
161,0.03125
162,0.0
163,1.0
164,0.0
165,1.0
166,1.0
167,0.03125
168,0.03125
169,1.0
170,0.90625
171,0.09375
172,0.03125
173,0.96875
174,1.0
175,1.0
176,1.0
177,0.0
178,1.0
179,1.0
180,0.0
181,0.0
182,0.03125
183,1.0
184,0.15625
185,1.0
186,0.03125
187,0.9375
188,1.0
189,1.0
190,0.03125
191,0.96875
192,0.90625
193,0.09375
194,0.0
195,0.96875
196,0.0
197,0.21875
198,0.0
199,0.0
200,1.0
201,0.0
202,0.0
203,0.0
204,1.0
205,0.09375
206,1.0
207,0.09375
208,0.75
209,0.84375
210,0.0
211,1.0
212,0.0625
213,0.03125
214,0.0
215,0.0625
216,0.96875
217,1.0
218,0.0
219,0.0
220,1.0
221,1.0
222,1.0
223,0.0
224,1.0
225,0.875
226,1.0
227,0.8125
228,0.96875
229,0.0
230,0.0
231,1.0
232,1.0
233,0.0
234,1.0
235,1.0
236,0.0
237,0.03125
238,0.875
239,0.0
240,1.0
241,1.0
242,0.90625
243,1.0
244,0.0
245,1.0
246,1.0
247,0.96875
248,1.0
249,1.0
250,0.0
251,1.0
252,0.0
253,0.0
254,0.0
255,0.125
256,0.0
257,0.03125
258,0.0
259,0.0
260,0.0
261,0.09375
262,0.03125
263,0.15625
264,0.0
265,0.0
266,1.0
267,0.96875
268,1.0
269,1.0
270,1.0
271,1.0
272,0.0
273,1.0
274,0.03125
275,1.0
276,1.0
277,0.0
278,1.0
279,1.0
280,0.0
281,1.0
282,0.0
283,0.03125
284,1.0
285,1.0
286,0.96875
287,1.0
288,0.96875
289,1.0
290,0.96875
291,0.71875
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,0.34375
298,1.0
299,1.0
300,0.0
301,1.0
302,0.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,0.9375
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,0.0
318,0.96875
319,1.0
320,1.0
321,0.0
322,1.0
323,0.0
324,1.0
325,1.0
326,1.0
327,1.0
328,0.0
329,0.09375
330,0.0
331,0.96875
332,1.0
333,1.0
334,1.0
335,0.0
336,1.0
337,0.03125
338,1.0
339,0.0
340,0.8125
341,1.0
342,1.0
343,0.0
344,1.0
345,1.0
346,1.0
347,0.84375
348,1.0
349,1.0
350,1.0
351,0.0
352,0.0
353,0.03125
354,1.0
355,1.0
356,1.0
357,1.0
358,0.96875
359,1.0
360,0.8125
361,1.0
362,1.0
363,0.8125
364,1.0
365,0.0
366,0.0
367,0.96875
368,0.03125
369,0.0
370,0.0
371,0.9375
372,0.0
373,0.0
374,1.0
375,0.875
376,0.9375
377,1.0
378,1.0
379,0.03125
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,0.125
386,1.0
387,1.0
388,1.0
389,0.0
390,1.0
391,1.0
392,0.0
393,0.0
394,1.0
395,1.0
396,0.96875
397,0.9375
398,1.0
399,1.0
400,0.0
401,1.0
402,0.96875
403,1.0
404,1.0
405,1.0
406,0.65625
407,1.0
408,0.0
409,1.0
410,1.0
411,1.0
412,1.0
413,0.84375
414,0.25
415,1.0
416,0.96875
417,0.0
418,1.0
419,1.0
420,1.0
421,0.875
422,1.0
423,0.96875
424,1.0
425,1.0
426,0.96875
427,1.0
428,1.0
429,1.0
430,0.03125
431,1.0
432,0.0
433,0.0
434,1.0
435,0.125
436,1.0
437,1.0
438,1.0
439,1.0
440,0.78125
441,0.0
442,0.9375
443,1.0
444,0.0
445,0.9375
446,0.0
447,1.0
448,1.0
449,0.0
450,1.0
451,0.03125
452,1.0
453,0.96875
454,1.0
455,1.0
456,0.96875
457,1.0
458,1.0
459,1.0
460,0.0
461,0.0
462,1.0
463,1.0
464,1.0
465,0.84375
466,0.96875
467,1.0
468,0.03125
469,0.875
470,1.0
471,1.0
472,0.78125
473,1.0
474,0.96875
475,1.0
476,0.84375
477,1.0
478,1.0
479,0.0
480,1.0
481,1.0
482,0.96875
483,1.0
484,0.84375
485,0.90625
486,0.96875
487,0.0
488,1.0
489,0.09375
490,1.0
491,0.875
492,0.0
493,1.0
494,1.0
495,0.9375
496,0.84375
497,1.0
498,0.0
499,0.0
500,1.0
501,0.03125
502,1.0
503,0.0
504,1.0
505,1.0
506,1.0
507,1.0
508,0.875
509,0.0
510,1.0
511,1.0
512,0.0625
513,0.96875
514,0.03125
515,1.0
516,0.0
517,0.0
518,1.0
519,1.0
520,1.0
521,0.0
522,1.0
523,1.0
524,1.0
525,1.0
526,0.8125
527,1.0
528,0.9375
529,1.0
530,1.0
531,1.0
532,1.0
533,0.0
534,1.0
535,0.0
536,0.125
537,0.90625
538,1.0
539,0.96875
540,1.0
541,0.78125
542,0.96875
543,0.96875
544,1.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,0.9375
555,1.0
556,1.0
557,1.0
558,0.96875
559,1.0
560,1.0
561,0.96875
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0625
567,0.0
568,1.0
