,Prob_1
0,0.2172742
1,0.111345425
2,0.111345425
3,0.31598246
4,0.2172742
5,0.2617901
6,0.111345425
7,0.116528675
8,0.116528675
9,0.116528675
10,0.37256038
11,0.111345425
12,0.111345425
13,0.34971
14,0.116528675
15,0.111345425
16,0.111345425
17,0.111345425
18,0.111345425
19,0.8829191
20,0.90752375
21,0.90752375
22,0.2172742
23,0.111345425
24,0.111345425
25,0.111345425
26,0.111345425
27,0.111345425
28,0.111345425
29,0.2172742
30,0.111345425
31,0.11015211
32,0.111345425
33,0.111345425
34,0.111345425
35,0.111345425
36,0.11015211
37,0.90752375
38,0.7132163
39,0.15872885
40,0.73980653
41,0.6368705
42,0.111345425
43,0.32281324
44,0.15872885
45,0.111345425
46,0.90752375
47,0.18626739
48,0.90752375
49,0.8316284
50,0.9059396
51,0.90752375
52,0.90752375
53,0.111345425
54,0.37256038
55,0.90752375
56,0.111345425
57,0.16035357
58,0.9062912
59,0.90752375
60,0.86702955
61,0.90752375
62,0.111345425
63,0.90752375
64,0.116528675
65,0.116528675
66,0.90752375
67,0.90752375
68,0.72841537
69,0.90752375
70,0.111345425
71,0.8687037
72,0.111345425
73,0.5042563
74,0.90752375
75,0.111345425
76,0.8793393
77,0.2172742
78,0.111345425
79,0.90752375
80,0.90752375
81,0.59581745
82,0.111345425
83,0.111345425
84,0.90752375
85,0.111345425
86,0.22254002
87,0.111345425
88,0.8865885
89,0.6904371
90,0.73980653
91,0.22254002
92,0.8569964
93,0.90752375
94,0.111345425
95,0.111345425
96,0.90752375
97,0.90752375
98,0.90752375
99,0.15872885
100,0.50792265
101,0.90752375
102,0.90752375
103,0.90752375
104,0.90752375
105,0.2617901
106,0.82957304
107,0.90752375
108,0.111345425
109,0.90752375
110,0.90752375
111,0.8808799
112,0.5893836
113,0.90752375
114,0.90752375
115,0.8865885
116,0.90752375
117,0.111345425
118,0.111345425
119,0.29518023
120,0.90752375
121,0.111345425
122,0.111345425
123,0.7607629
124,0.90752375
125,0.90752375
126,0.44226244
127,0.111345425
128,0.77620894
129,0.111345425
130,0.90752375
131,0.111345425
132,0.111345425
133,0.7486046
134,0.111345425
135,0.8865885
136,0.86702955
137,0.90752375
138,0.111345425
139,0.90752375
140,0.90752375
141,0.111345425
142,0.90752375
143,0.90752375
144,0.90752375
145,0.90752375
146,0.5708575
147,0.7809162
148,0.6050596
149,0.90752375
150,0.9062912
151,0.8898206
152,0.707768
153,0.90752375
154,0.90752375
155,0.90752375
156,0.111345425
157,0.37256038
158,0.90752375
159,0.90752375
160,0.86702955
161,0.29518023
162,0.111345425
163,0.8865885
164,0.111345425
165,0.8919386
166,0.90752375
167,0.111345425
168,0.111345425
169,0.8919386
170,0.90752375
171,0.37256038
172,0.2172742
173,0.90752375
174,0.90752375
175,0.90752375
176,0.8687037
177,0.111345425
178,0.9059396
179,0.90752375
180,0.111345425
181,0.111345425
182,0.111345425
183,0.90752375
