,Prob_1
0,0.0056616287
1,0.0012987695
2,0.00056889857
3,0.01978655
4,0.012881434
5,0.033701103
6,0.0007570618
7,0.0017628514
8,0.0033528528
9,0.0027487911
10,0.01046004
11,0.00071488274
12,0.0020613712
13,0.009256711
14,0.003042527
15,0.0012706857
16,0.0007149997
17,0.00053206197
18,0.0006313314
19,0.9973535
20,0.9994466
21,0.999651
22,0.0067009497
23,0.00062935066
24,0.0005114492
25,0.0014865182
26,0.0013633183
27,0.0017209667
28,0.0005420199
29,0.01616233
30,0.00056889857
31,0.0015762242
32,0.00056889857
33,0.0005290509
34,0.0008796395
35,0.00060290116
36,0.0066131772
37,0.99811065
38,0.065042965
39,0.008813799
40,0.11403766
41,0.069905005
42,0.00076830795
43,0.00519148
44,0.008031532
45,0.0014865182
46,0.9995724
47,0.0037574207
48,0.99903274
49,0.9458316
50,0.9980714
51,0.99946797
52,0.9991263
53,0.0018539306
54,0.0025673734
55,0.9983451
56,0.0006034401
57,0.0017180912
58,0.9979722
59,0.9994394
60,0.99930835
61,0.99904513
62,0.0007513365
63,0.9996
64,0.0012952856
65,0.0014406544
66,0.9985903
67,0.99895245
68,0.9891554
69,0.99923736
70,0.001992647
71,0.9996
72,0.0005114492
73,0.050900545
74,0.999529
75,0.0010869389
76,0.9989096
77,0.002291731
78,0.00056889857
79,0.9993274
80,0.9931701
81,0.94486827
82,0.00070856226
83,0.0010062713
84,0.9990351
85,0.00059683545
86,0.006234132
87,0.0010554129
88,0.99335104
89,0.9707529
90,0.9883567
91,0.035706222
92,0.99431705
93,0.9986017
94,0.00085103
95,0.0013471396
96,0.99950945
97,0.99907345
98,0.9993036
99,0.0030009497
100,0.012384847
101,0.99955714
102,0.99644434
103,0.9991554
104,0.9996
105,0.0040790755
106,0.997028
107,0.9980526
108,0.00051933096
109,0.9902137
110,0.99959093
111,0.9985058
112,0.9660286
113,0.9995457
114,0.9992631
115,0.99760795
116,0.99964195
117,0.00071488274
118,0.0005290509
119,0.004269418
120,0.99943465
121,0.001171609
122,0.00071837887
123,0.99664015
124,0.9995276
125,0.99920017
126,0.009453081
127,0.003983499
128,0.99133027
129,0.00087577075
130,0.9994813
131,0.00060851587
132,0.0006357044
133,0.9975214
134,0.0006448534
135,0.07602478
136,0.99762034
137,0.99946463
138,0.0020859744
139,0.99903727
140,0.9994394
141,0.0011529193
142,0.99947035
143,0.99920446
144,0.99943846
145,0.9994923
146,0.045339145
147,0.9892311
148,0.98559976
149,0.9987591
150,0.9969025
151,0.9959957
152,0.96795803
153,0.9994394
