,Prob_1
0,3.474727e-11
1,0.30348498
2,0.0024755418
3,0.8322455
4,0.92011636
5,0.7233278
6,0.943786
7,0.59677446
8,2.2324175e-08
9,0.8462549
10,5.975871e-10
11,6.5305394e-06
12,2.6137395e-05
13,1.0467286e-07
14,0.87513053
15,0.8268205
16,0.96838075
17,7.8775054e-05
18,0.92018425
19,0.9733114
20,0.045966543
21,0.0010379604
22,0.00013515647
23,0.42373303
24,0.34539157
25,0.9400341
26,0.9986443
27,2.9707129e-12
28,1.7658314e-06
29,0.897011
30,0.8379234
31,1.8768224e-10
32,0.8527625
33,4.0517767e-05
34,0.9730855
35,0.9250963
36,0.9882297
37,0.0021161786
38,2.3338065e-05
39,0.95659935
40,0.0011371413
41,0.0034652904
42,6.1003328e-05
43,0.85052234
44,0.01079983
45,0.9087461
46,6.301667e-08
47,0.96524704
48,0.93907887
49,0.27093887
50,0.48292753
51,0.011307003
52,0.00036516367
53,0.62769675
54,0.9884981
55,2.3005575e-10
56,0.0055955257
57,0.98790795
58,0.0022341202
59,5.483302e-12
60,0.88218737
61,1.2664166e-14
62,0.53289944
63,0.5613625
