,Prob_0,Prob_1,Prob_2,Prob_3
0,0.259542,0.4274809,0.24427481,0.06870229
1,0.0,0.5714286,0.0,0.42857143
2,0.0,0.07692308,0.84615386,0.07692308
3,0.0,1.0,0.0,0.0
4,0.85714287,0.042857144,0.042857144,0.057142857
5,0.85714287,0.042857144,0.042857144,0.057142857
6,0.5714286,0.14285715,0.21428572,0.071428575
7,0.027777778,0.027777778,0.9444444,0.0
8,0.85714287,0.042857144,0.042857144,0.057142857
9,0.03125,0.0625,0.875,0.03125
10,0.0,0.0,0.0,1.0
11,0.0,1.0,0.0,0.0
12,0.259542,0.4274809,0.24427481,0.06870229
13,0.0,1.0,0.0,0.0
14,0.259542,0.4274809,0.24427481,0.06870229
15,0.259542,0.4274809,0.24427481,0.06870229
16,0.027777778,0.027777778,0.9444444,0.0
17,0.85714287,0.042857144,0.042857144,0.057142857
18,0.03125,0.0625,0.875,0.03125
19,0.259542,0.4274809,0.24427481,0.06870229
20,0.259542,0.4274809,0.24427481,0.06870229
21,0.0,1.0,0.0,0.0
22,0.03125,0.0625,0.875,0.03125
23,1.0,0.0,0.0,0.0
24,0.259542,0.4274809,0.24427481,0.06870229
25,0.044444446,0.044444446,0.022222223,0.8888889
26,0.03125,0.0625,0.875,0.03125
27,0.259542,0.4274809,0.24427481,0.06870229
28,0.0,0.5714286,0.0,0.42857143
29,0.85714287,0.042857144,0.042857144,0.057142857
30,0.259542,0.4274809,0.24427481,0.06870229
31,0.5714286,0.14285715,0.21428572,0.071428575
32,0.0,0.0,0.0,1.0
33,0.044444446,0.044444446,0.022222223,0.8888889
34,0.044444446,0.044444446,0.022222223,0.8888889
35,0.259542,0.4274809,0.24427481,0.06870229
36,0.03125,0.0625,0.875,0.03125
37,0.85714287,0.042857144,0.042857144,0.057142857
38,0.03125,0.0625,0.875,0.03125
39,0.85714287,0.042857144,0.042857144,0.057142857
40,0.259542,0.4274809,0.24427481,0.06870229
41,0.259542,0.4274809,0.24427481,0.06870229
42,0.259542,0.4274809,0.24427481,0.06870229
43,0.044444446,0.044444446,0.022222223,0.8888889
44,0.259542,0.4274809,0.24427481,0.06870229
45,0.03125,0.0625,0.875,0.03125
46,0.027777778,0.027777778,0.9444444,0.0
47,0.0,0.07692308,0.84615386,0.07692308
48,1.0,0.0,0.0,0.0
49,0.85714287,0.042857144,0.042857144,0.057142857
50,0.259542,0.4274809,0.24427481,0.06870229
51,0.85714287,0.042857144,0.042857144,0.057142857
52,0.044444446,0.044444446,0.022222223,0.8888889
53,0.259542,0.4274809,0.24427481,0.06870229
54,0.044444446,0.044444446,0.022222223,0.8888889
55,0.259542,0.4274809,0.24427481,0.06870229
56,0.259542,0.4274809,0.24427481,0.06870229
57,0.85714287,0.042857144,0.042857144,0.057142857
58,0.259542,0.4274809,0.24427481,0.06870229
59,0.0,0.5714286,0.0,0.42857143
60,0.85714287,0.042857144,0.042857144,0.057142857
61,0.0,1.0,0.0,0.0
62,0.0,0.0,0.0,1.0
63,0.85714287,0.042857144,0.042857144,0.057142857
64,0.259542,0.4274809,0.24427481,0.06870229
65,0.259542,0.4274809,0.24427481,0.06870229
66,0.85714287,0.042857144,0.042857144,0.057142857
67,0.259542,0.4274809,0.24427481,0.06870229
68,0.027777778,0.027777778,0.9444444,0.0
69,0.259542,0.4274809,0.24427481,0.06870229
70,0.259542,0.4274809,0.24427481,0.06870229
71,0.259542,0.4274809,0.24427481,0.06870229
72,0.027777778,0.027777778,0.9444444,0.0
73,0.0,1.0,0.0,0.0
74,0.259542,0.4274809,0.24427481,0.06870229
75,0.0,0.0,0.0,1.0
76,0.259542,0.4274809,0.24427481,0.06870229
77,0.259542,0.4274809,0.24427481,0.06870229
78,0.027777778,0.027777778,0.9444444,0.0
79,0.85714287,0.042857144,0.042857144,0.057142857
80,0.85714287,0.042857144,0.042857144,0.057142857
81,0.259542,0.4274809,0.24427481,0.06870229
82,0.259542,0.4274809,0.24427481,0.06870229
83,0.85714287,0.042857144,0.042857144,0.057142857
84,0.0,0.07692308,0.84615386,0.07692308
85,0.259542,0.4274809,0.24427481,0.06870229
86,0.027777778,0.027777778,0.9444444,0.0
87,0.0,0.0,0.0,1.0
88,0.259542,0.4274809,0.24427481,0.06870229
89,0.85714287,0.042857144,0.042857144,0.057142857
90,0.42857143,0.0,0.14285715,0.42857143
91,0.044444446,0.044444446,0.022222223,0.8888889
92,0.03125,0.0625,0.875,0.03125
93,0.0,1.0,0.0,0.0
94,0.259542,0.4274809,0.24427481,0.06870229
95,0.03125,0.0625,0.875,0.03125
96,0.85714287,0.042857144,0.042857144,0.057142857
97,0.85714287,0.042857144,0.042857144,0.057142857
98,0.044444446,0.044444446,0.022222223,0.8888889
99,0.42857143,0.0,0.14285715,0.42857143
100,0.03125,0.0625,0.875,0.03125
101,0.0,1.0,0.0,0.0
102,0.259542,0.4274809,0.24427481,0.06870229
103,0.85714287,0.042857144,0.042857144,0.057142857
104,0.0,1.0,0.0,0.0
105,0.0,0.0,0.0,1.0
106,0.03125,0.0625,0.875,0.03125
107,0.0,0.0,0.0,1.0
108,0.0,0.0,0.0,1.0
109,0.85714287,0.042857144,0.042857144,0.057142857
110,0.259542,0.4274809,0.24427481,0.06870229
111,0.03125,0.0625,0.875,0.03125
112,0.0,0.0,0.0,1.0
113,1.0,0.0,0.0,0.0
114,0.259542,0.4274809,0.24427481,0.06870229
115,0.85714287,0.042857144,0.042857144,0.057142857
116,0.044444446,0.044444446,0.022222223,0.8888889
117,0.0,0.5714286,0.0,0.42857143
118,0.044444446,0.044444446,0.022222223,0.8888889
119,0.259542,0.4274809,0.24427481,0.06870229
120,0.42857143,0.0,0.14285715,0.42857143
121,0.85714287,0.042857144,0.042857144,0.057142857
122,0.044444446,0.044444446,0.022222223,0.8888889
123,0.85714287,0.042857144,0.042857144,0.057142857
124,1.0,0.0,0.0,0.0
125,0.03125,0.0625,0.875,0.03125
126,0.259542,0.4274809,0.24427481,0.06870229
127,0.85714287,0.042857144,0.042857144,0.057142857
128,0.027777778,0.027777778,0.9444444,0.0
129,0.259542,0.4274809,0.24427481,0.06870229
130,0.2857143,0.2857143,0.0,0.42857143
131,0.259542,0.4274809,0.24427481,0.06870229
132,1.0,0.0,0.0,0.0
133,1.0,0.0,0.0,0.0
134,0.259542,0.4274809,0.24427481,0.06870229
135,0.044444446,0.044444446,0.022222223,0.8888889
136,0.0,1.0,0.0,0.0
137,0.044444446,0.044444446,0.022222223,0.8888889
138,0.0,0.0,0.0,1.0
139,0.259542,0.4274809,0.24427481,0.06870229
140,0.259542,0.4274809,0.24427481,0.06870229
141,0.0,0.0,0.0,1.0
142,0.259542,0.4274809,0.24427481,0.06870229
143,0.259542,0.4274809,0.24427481,0.06870229
144,0.027777778,0.027777778,0.9444444,0.0
145,0.2857143,0.2857143,0.0,0.42857143
146,0.85714287,0.042857144,0.042857144,0.057142857
147,0.0,0.07692308,0.84615386,0.07692308
148,0.044444446,0.044444446,0.022222223,0.8888889
149,0.42857143,0.0,0.14285715,0.42857143
150,0.0,0.0,0.0,1.0
151,0.0,0.0,0.0,1.0
152,0.0,0.0,0.0,1.0
153,0.42857143,0.0,0.14285715,0.42857143
154,0.85714287,0.042857144,0.042857144,0.057142857
155,0.0,0.5714286,0.0,0.42857143
156,0.0,0.0,0.0,1.0
157,1.0,0.0,0.0,0.0
158,0.044444446,0.044444446,0.022222223,0.8888889
159,0.259542,0.4274809,0.24427481,0.06870229
160,1.0,0.0,0.0,0.0
161,0.027777778,0.027777778,0.9444444,0.0
162,0.259542,0.4274809,0.24427481,0.06870229
163,0.044444446,0.044444446,0.022222223,0.8888889
164,0.85714287,0.042857144,0.042857144,0.057142857
165,0.027777778,0.027777778,0.9444444,0.0
166,1.0,0.0,0.0,0.0
167,0.0,1.0,0.0,0.0
168,0.0,0.0,0.0,1.0
169,0.5714286,0.14285715,0.21428572,0.071428575
170,0.259542,0.4274809,0.24427481,0.06870229
171,1.0,0.0,0.0,0.0
172,0.259542,0.4274809,0.24427481,0.06870229
173,0.0,0.0,0.0,1.0
174,0.259542,0.4274809,0.24427481,0.06870229
175,0.259542,0.4274809,0.24427481,0.06870229
176,0.027777778,0.027777778,0.9444444,0.0
177,0.259542,0.4274809,0.24427481,0.06870229
178,0.259542,0.4274809,0.24427481,0.06870229
179,0.259542,0.4274809,0.24427481,0.06870229
180,0.259542,0.4274809,0.24427481,0.06870229
181,0.259542,0.4274809,0.24427481,0.06870229
182,0.044444446,0.044444446,0.022222223,0.8888889
183,0.0,0.0,0.0,1.0
184,0.0,1.0,0.0,0.0
185,0.044444446,0.044444446,0.022222223,0.8888889
186,0.85714287,0.042857144,0.042857144,0.057142857
187,0.259542,0.4274809,0.24427481,0.06870229
188,1.0,0.0,0.0,0.0
189,0.85714287,0.042857144,0.042857144,0.057142857
190,0.044444446,0.044444446,0.022222223,0.8888889
191,0.0,0.07692308,0.84615386,0.07692308
192,1.0,0.0,0.0,0.0
193,0.044444446,0.044444446,0.022222223,0.8888889
194,0.42857143,0.0,0.14285715,0.42857143
195,0.259542,0.4274809,0.24427481,0.06870229
196,0.0,0.0,0.0,1.0
197,0.259542,0.4274809,0.24427481,0.06870229
198,0.259542,0.4274809,0.24427481,0.06870229
199,0.42857143,0.0,0.14285715,0.42857143
200,0.044444446,0.044444446,0.022222223,0.8888889
201,0.0,1.0,0.0,0.0
202,0.259542,0.4274809,0.24427481,0.06870229
203,0.0,1.0,0.0,0.0
204,0.0,1.0,0.0,0.0
205,0.0,0.0,0.0,1.0
206,1.0,0.0,0.0,0.0
207,0.259542,0.4274809,0.24427481,0.06870229
208,0.259542,0.4274809,0.24427481,0.06870229
209,0.027777778,0.027777778,0.9444444,0.0
210,0.259542,0.4274809,0.24427481,0.06870229
211,0.259542,0.4274809,0.24427481,0.06870229
212,0.259542,0.4274809,0.24427481,0.06870229
213,0.259542,0.4274809,0.24427481,0.06870229
214,0.0,0.5714286,0.0,0.42857143
215,0.0,1.0,0.0,0.0
216,0.0,0.0,0.0,1.0
217,0.259542,0.4274809,0.24427481,0.06870229
218,0.259542,0.4274809,0.24427481,0.06870229
219,0.0,0.0,0.0,1.0
220,0.85714287,0.042857144,0.042857144,0.057142857
221,0.259542,0.4274809,0.24427481,0.06870229
222,0.044444446,0.044444446,0.022222223,0.8888889
223,0.044444446,0.044444446,0.022222223,0.8888889
224,0.259542,0.4274809,0.24427481,0.06870229
225,0.0,1.0,0.0,0.0
226,0.259542,0.4274809,0.24427481,0.06870229
227,0.85714287,0.042857144,0.042857144,0.057142857
228,0.0,0.5,0.5,0.0
229,0.85714287,0.042857144,0.042857144,0.057142857
230,0.259542,0.4274809,0.24427481,0.06870229
231,0.259542,0.4274809,0.24427481,0.06870229
232,0.044444446,0.044444446,0.022222223,0.8888889
233,0.259542,0.4274809,0.24427481,0.06870229
234,0.0,0.5714286,0.0,0.42857143
235,0.2857143,0.2857143,0.0,0.42857143
236,0.03125,0.0625,0.875,0.03125
237,0.0,1.0,0.0,0.0
238,0.85714287,0.042857144,0.042857144,0.057142857
239,0.027777778,0.027777778,0.9444444,0.0
240,0.85714287,0.042857144,0.042857144,0.057142857
241,0.0,1.0,0.0,0.0
242,0.259542,0.4274809,0.24427481,0.06870229
243,0.259542,0.4274809,0.24427481,0.06870229
244,0.5714286,0.14285715,0.21428572,0.071428575
245,0.259542,0.4274809,0.24427481,0.06870229
246,0.0,0.07692308,0.84615386,0.07692308
247,0.0,0.0,0.0,1.0
248,0.259542,0.4274809,0.24427481,0.06870229
249,0.42857143,0.0,0.14285715,0.42857143
250,0.0,1.0,0.0,0.0
251,0.2857143,0.2857143,0.0,0.42857143
252,0.85714287,0.042857144,0.042857144,0.057142857
253,1.0,0.0,0.0,0.0
254,0.2857143,0.2857143,0.0,0.42857143
