,Prob_0,Prob_1,Prob_2,Prob_3
0,0.56059825,0.19549437,0.12856615,0.115341306
1,0.13452265,0.16872045,0.1333538,0.563403
2,0.1266325,0.38836238,0.37049454,0.11451058
3,0.078465715,0.7752323,0.072643965,0.073658064
4,0.63487566,0.13280259,0.1105981,0.12172367
5,0.6082748,0.15857728,0.106277965,0.12686999
6,0.51012003,0.17376478,0.14385876,0.17225647
7,0.13828571,0.12785935,0.62199706,0.11185797
8,0.5534023,0.14525206,0.1549906,0.14635493
9,0.13778965,0.22933772,0.30807352,0.3247991
10,0.182277,0.18516703,0.21719117,0.41536474
11,0.16819169,0.34235322,0.3010842,0.18837078
12,0.12747136,0.27920988,0.14195773,0.451361
13,0.10718051,0.6199902,0.116059124,0.15677017
14,0.401261,0.13443503,0.23867653,0.2256274
15,0.53318775,0.21282482,0.15374991,0.100237526
16,0.07783714,0.07801976,0.7755995,0.068543665
17,0.3168398,0.25950152,0.27821967,0.14543892
18,0.10647863,0.12188551,0.5652007,0.2064352
19,0.6396765,0.10779751,0.10195912,0.15056683
20,0.15054327,0.18793866,0.46931574,0.19220227
21,0.10718051,0.6199902,0.116059124,0.15677017
22,0.10647985,0.15042627,0.5773554,0.16573848
23,0.303088,0.24105696,0.1783368,0.27751803
24,0.19476108,0.46358645,0.18323827,0.15841423
25,0.28273422,0.23164432,0.21498,0.27064154
26,0.11916285,0.2034875,0.492085,0.18526456
27,0.1558324,0.5987803,0.15075701,0.09463025
28,0.14653443,0.21585222,0.30876434,0.3288489
29,0.62428457,0.12021757,0.09903022,0.15646768
30,0.5352976,0.17764811,0.15675226,0.13030206
31,0.48091677,0.13780046,0.13541982,0.24586292
32,0.100382484,0.09923556,0.10792411,0.69245785
33,0.2655019,0.21724838,0.18971047,0.32753924
34,0.1832783,0.11394871,0.1112386,0.5915344
35,0.4255647,0.3161379,0.12982409,0.12847337
36,0.1373667,0.13043867,0.5403261,0.19186845
37,0.5826464,0.15349558,0.10397826,0.15987971
38,0.11017333,0.19539455,0.55013967,0.14429249
39,0.65576106,0.09813019,0.10173305,0.14437567
40,0.23965703,0.233968,0.20461789,0.32175714
41,0.1185466,0.4597057,0.32031906,0.10142875
42,0.4377362,0.32089883,0.12826002,0.11310488
43,0.1191103,0.091453694,0.10818705,0.681249
44,0.35153055,0.37907857,0.14252119,0.1268697
45,0.12719315,0.13071337,0.58764064,0.15445295
46,0.1211387,0.11585233,0.6062529,0.15675603
47,0.13931057,0.33479813,0.3097557,0.21613574
48,0.40825462,0.22463584,0.2097828,0.15732671
49,0.45034018,0.11227931,0.1324161,0.30496436
50,0.4066972,0.23618624,0.21403362,0.143083
51,0.60131043,0.13469063,0.1413788,0.122620225
52,0.12543434,0.10336368,0.110945135,0.66025686
53,0.69071233,0.1021558,0.10880551,0.098326415
