,Prob_0,Prob_1,Prob_2,Prob_3
0,0.4680851,0.32712767,0.14095744,0.06382979
1,0.06077348,0.46961325,0.19889502,0.27071825
2,0.06077348,0.46961325,0.19889502,0.27071825
3,0.06077348,0.46961325,0.19889502,0.27071825
4,0.8636364,0.0,0.045454547,0.09090909
5,0.4680851,0.32712767,0.14095744,0.06382979
6,0.06077348,0.46961325,0.19889502,0.27071825
7,0.016393442,0.06557377,0.90163934,0.016393442
8,0.4680851,0.32712767,0.14095744,0.06382979
9,0.0,0.0,1.0,0.0
10,0.06077348,0.46961325,0.19889502,0.27071825
11,0.0,1.0,0.0,0.0
12,0.18367347,0.040816326,0.08163265,0.6938776
13,0.06077348,0.46961325,0.19889502,0.27071825
14,1.0,0.0,0.0,0.0
15,0.4680851,0.32712767,0.14095744,0.06382979
16,0.016393442,0.06557377,0.90163934,0.016393442
17,0.4680851,0.32712767,0.14095744,0.06382979
18,0.028571429,0.014285714,0.9142857,0.042857144
19,0.8636364,0.0,0.045454547,0.09090909
20,0.028571429,0.014285714,0.9142857,0.042857144
21,0.06077348,0.46961325,0.19889502,0.27071825
22,0.06077348,0.46961325,0.19889502,0.27071825
23,0.18367347,0.040816326,0.08163265,0.6938776
24,0.0,0.5,0.5,0.0
25,0.4680851,0.32712767,0.14095744,0.06382979
26,0.028571429,0.014285714,0.9142857,0.042857144
27,0.4680851,0.32712767,0.14095744,0.06382979
28,0.06077348,0.46961325,0.19889502,0.27071825
29,0.4680851,0.32712767,0.14095744,0.06382979
30,0.4680851,0.32712767,0.14095744,0.06382979
31,0.4680851,0.32712767,0.14095744,0.06382979
32,0.029411765,0.0,0.0,0.9705882
33,0.05,0.95,0.0,0.0
34,0.25,0.0625,0.0625,0.625
35,0.4680851,0.32712767,0.14095744,0.06382979
36,0.0,0.0,1.0,0.0
37,0.4680851,0.32712767,0.14095744,0.06382979
38,0.06077348,0.46961325,0.19889502,0.27071825
39,0.4680851,0.32712767,0.14095744,0.06382979
40,0.05,0.95,0.0,0.0
41,0.028571429,0.014285714,0.9142857,0.042857144
42,0.4680851,0.32712767,0.14095744,0.06382979
43,0.18367347,0.040816326,0.08163265,0.6938776
44,0.4680851,0.32712767,0.14095744,0.06382979
45,0.028571429,0.014285714,0.9142857,0.042857144
46,0.016393442,0.06557377,0.90163934,0.016393442
47,0.06077348,0.46961325,0.19889502,0.27071825
48,0.4680851,0.32712767,0.14095744,0.06382979
49,0.8636364,0.0,0.045454547,0.09090909
50,0.4680851,0.32712767,0.14095744,0.06382979
51,0.4680851,0.32712767,0.14095744,0.06382979
52,0.18367347,0.040816326,0.08163265,0.6938776
53,0.4680851,0.32712767,0.14095744,0.06382979
54,0.25,0.0625,0.0625,0.625
55,0.4680851,0.32712767,0.14095744,0.06382979
56,0.4680851,0.32712767,0.14095744,0.06382979
57,0.4680851,0.32712767,0.14095744,0.06382979
58,0.4680851,0.32712767,0.14095744,0.06382979
59,0.06077348,0.46961325,0.19889502,0.27071825
60,0.4680851,0.32712767,0.14095744,0.06382979
61,0.06077348,0.46961325,0.19889502,0.27071825
62,0.029411765,0.0,0.0,0.9705882
63,0.4680851,0.32712767,0.14095744,0.06382979
64,0.4680851,0.32712767,0.14095744,0.06382979
65,0.4680851,0.32712767,0.14095744,0.06382979
66,0.4680851,0.32712767,0.14095744,0.06382979
67,0.18367347,0.040816326,0.08163265,0.6938776
68,0.016393442,0.06557377,0.90163934,0.016393442
69,0.4680851,0.32712767,0.14095744,0.06382979
70,0.4680851,0.32712767,0.14095744,0.06382979
71,0.4680851,0.32712767,0.14095744,0.06382979
72,0.016393442,0.06557377,0.90163934,0.016393442
73,0.4680851,0.32712767,0.14095744,0.06382979
74,0.4680851,0.32712767,0.14095744,0.06382979
75,0.029411765,0.0,0.0,0.9705882
76,0.4680851,0.32712767,0.14095744,0.06382979
77,0.4680851,0.32712767,0.14095744,0.06382979
78,0.016393442,0.06557377,0.90163934,0.016393442
79,0.4680851,0.32712767,0.14095744,0.06382979
80,0.4680851,0.32712767,0.14095744,0.06382979
81,0.4680851,0.32712767,0.14095744,0.06382979
82,0.05,0.95,0.0,0.0
83,0.8636364,0.0,0.045454547,0.09090909
84,0.06077348,0.46961325,0.19889502,0.27071825
85,0.4680851,0.32712767,0.14095744,0.06382979
86,0.4680851,0.32712767,0.14095744,0.06382979
87,0.4680851,0.32712767,0.14095744,0.06382979
88,0.4680851,0.32712767,0.14095744,0.06382979
89,0.8636364,0.0,0.045454547,0.09090909
90,0.18367347,0.040816326,0.08163265,0.6938776
91,0.0,0.0,0.0,1.0
92,0.028571429,0.014285714,0.9142857,0.042857144
93,0.06077348,0.46961325,0.19889502,0.27071825
94,0.4680851,0.32712767,0.14095744,0.06382979
95,0.0,0.0,0.071428575,0.9285714
96,0.4680851,0.32712767,0.14095744,0.06382979
97,0.4680851,0.32712767,0.14095744,0.06382979
98,0.18367347,0.040816326,0.08163265,0.6938776
99,0.06077348,0.46961325,0.19889502,0.27071825
100,0.0,0.0,1.0,0.0
101,0.06077348,0.46961325,0.19889502,0.27071825
102,0.4680851,0.32712767,0.14095744,0.06382979
103,0.4680851,0.32712767,0.14095744,0.06382979
104,0.4680851,0.32712767,0.14095744,0.06382979
105,0.0,0.0,0.071428575,0.9285714
106,0.0,0.0,1.0,0.0
107,0.028571429,0.014285714,0.9142857,0.042857144
108,0.029411765,0.0,0.0,0.9705882
109,0.4680851,0.32712767,0.14095744,0.06382979
110,0.4680851,0.32712767,0.14095744,0.06382979
111,0.0,0.0,1.0,0.0
112,0.8636364,0.0,0.045454547,0.09090909
113,0.4680851,0.32712767,0.14095744,0.06382979
114,0.028571429,0.014285714,0.9142857,0.042857144
115,0.4680851,0.32712767,0.14095744,0.06382979
116,0.06077348,0.46961325,0.19889502,0.27071825
117,0.06077348,0.46961325,0.19889502,0.27071825
118,0.18367347,0.040816326,0.08163265,0.6938776
119,0.0,0.0,0.0,1.0
120,0.18367347,0.040816326,0.08163265,0.6938776
121,0.4680851,0.32712767,0.14095744,0.06382979
122,0.4680851,0.32712767,0.14095744,0.06382979
123,0.4680851,0.32712767,0.14095744,0.06382979
124,0.4680851,0.32712767,0.14095744,0.06382979
125,1.0,0.0,0.0,0.0
126,0.4680851,0.32712767,0.14095744,0.06382979
127,0.4680851,0.32712767,0.14095744,0.06382979
128,0.016393442,0.06557377,0.90163934,0.016393442
129,0.4680851,0.32712767,0.14095744,0.06382979
130,0.06077348,0.46961325,0.19889502,0.27071825
131,0.18367347,0.040816326,0.08163265,0.6938776
132,0.4680851,0.32712767,0.14095744,0.06382979
133,0.4680851,0.32712767,0.14095744,0.06382979
134,0.028571429,0.014285714,0.9142857,0.042857144
135,0.18367347,0.040816326,0.08163265,0.6938776
136,0.06077348,0.46961325,0.19889502,0.27071825
137,0.18367347,0.040816326,0.08163265,0.6938776
138,0.0,0.0,0.0,1.0
139,0.4680851,0.32712767,0.14095744,0.06382979
140,0.18367347,0.040816326,0.08163265,0.6938776
141,0.18367347,0.040816326,0.08163265,0.6938776
142,0.4680851,0.32712767,0.14095744,0.06382979
143,0.18367347,0.040816326,0.08163265,0.6938776
144,0.016393442,0.06557377,0.90163934,0.016393442
145,0.06077348,0.46961325,0.19889502,0.27071825
146,0.4680851,0.32712767,0.14095744,0.06382979
147,0.06077348,0.46961325,0.19889502,0.27071825
148,0.18367347,0.040816326,0.08163265,0.6938776
149,1.0,0.0,0.0,0.0
150,0.06077348,0.46961325,0.19889502,0.27071825
151,0.0,0.0,0.071428575,0.9285714
152,0.06077348,0.46961325,0.19889502,0.27071825
153,0.18367347,0.040816326,0.08163265,0.6938776
154,0.8636364,0.0,0.045454547,0.09090909
155,0.06077348,0.46961325,0.19889502,0.27071825
156,0.18367347,0.040816326,0.08163265,0.6938776
157,0.8636364,0.0,0.045454547,0.09090909
158,0.18367347,0.040816326,0.08163265,0.6938776
159,0.4680851,0.32712767,0.14095744,0.06382979
160,0.18367347,0.040816326,0.08163265,0.6938776
161,0.016393442,0.06557377,0.90163934,0.016393442
162,0.4680851,0.32712767,0.14095744,0.06382979
163,0.18367347,0.040816326,0.08163265,0.6938776
164,0.8636364,0.0,0.045454547,0.09090909
165,0.016393442,0.06557377,0.90163934,0.016393442
166,1.0,0.0,0.0,0.0
167,0.05,0.95,0.0,0.0
168,0.06077348,0.46961325,0.19889502,0.27071825
169,0.4680851,0.32712767,0.14095744,0.06382979
170,0.4680851,0.32712767,0.14095744,0.06382979
171,0.4680851,0.32712767,0.14095744,0.06382979
172,0.4680851,0.32712767,0.14095744,0.06382979
173,0.18367347,0.040816326,0.08163265,0.6938776
174,0.4680851,0.32712767,0.14095744,0.06382979
175,0.4680851,0.32712767,0.14095744,0.06382979
176,0.016393442,0.06557377,0.90163934,0.016393442
177,0.4680851,0.32712767,0.14095744,0.06382979
178,0.0,0.0,0.0,1.0
179,0.4680851,0.32712767,0.14095744,0.06382979
180,0.8636364,0.0,0.045454547,0.09090909
181,0.4680851,0.32712767,0.14095744,0.06382979
182,0.0,0.0,0.0,1.0
183,0.06077348,0.46961325,0.19889502,0.27071825
184,0.06077348,0.46961325,0.19889502,0.27071825
185,0.06077348,0.46961325,0.19889502,0.27071825
186,0.4680851,0.32712767,0.14095744,0.06382979
187,0.028571429,0.014285714,0.9142857,0.042857144
188,0.4680851,0.32712767,0.14095744,0.06382979
189,0.4680851,0.32712767,0.14095744,0.06382979
190,0.18367347,0.040816326,0.08163265,0.6938776
191,0.06077348,0.46961325,0.19889502,0.27071825
192,0.4680851,0.32712767,0.14095744,0.06382979
193,0.18367347,0.040816326,0.08163265,0.6938776
194,0.18367347,0.040816326,0.08163265,0.6938776
195,0.028571429,0.014285714,0.9142857,0.042857144
196,0.06077348,0.46961325,0.19889502,0.27071825
197,0.4680851,0.32712767,0.14095744,0.06382979
198,0.18367347,0.040816326,0.08163265,0.6938776
199,0.06077348,0.46961325,0.19889502,0.27071825
200,0.18367347,0.040816326,0.08163265,0.6938776
201,0.06077348,0.46961325,0.19889502,0.27071825
