,Prob_0,Prob_1,Prob_2,Prob_3
0,0.13006905,0.2435589,0.32623053,0.30014157
1,0.13006905,0.2435589,0.32623053,0.30014157
2,0.4074044,0.2949918,0.21500263,0.082601205
3,0.155195,0.2525759,0.27421877,0.31801036
4,0.13006905,0.2435589,0.32623053,0.30014157
5,0.13246708,0.24007331,0.31524396,0.3122156
6,0.22818719,0.2938867,0.2528835,0.22504264
7,0.13006905,0.2435589,0.32623053,0.30014157
8,0.37229514,0.3003259,0.22581582,0.10156317
9,0.44142264,0.28786567,0.20357318,0.06713849
10,0.30067617,0.3036618,0.24360503,0.15205698
11,0.28854722,0.30305964,0.2458845,0.16250868
12,0.31013536,0.30387688,0.2416596,0.14432819
13,0.23723362,0.29598472,0.25236696,0.21441469
14,0.13006905,0.2435589,0.32623053,0.30014157
15,0.13006905,0.2435589,0.32623053,0.30014157
16,0.15262851,0.25092182,0.27809575,0.31835392
17,0.19264928,0.28022578,0.25336736,0.27375755
18,0.13006905,0.2435589,0.32623053,0.30014157
19,0.15234214,0.2507352,0.2785323,0.3183904
20,0.46474746,0.28197548,0.19530183,0.05797535
21,0.13006905,0.2435589,0.32623053,0.30014157
22,0.15955573,0.25531113,0.26777518,0.31735796
23,0.22849892,0.29396364,0.25286928,0.22466815
24,0.29595414,0.30347183,0.24452212,0.15605187
25,0.13006905,0.2435589,0.32623053,0.30014157
26,0.20375055,0.28674868,0.25313124,0.2563695
27,0.21547674,0.2904526,0.253233,0.24083772
28,0.13957955,0.24197847,0.29884666,0.31959537
29,0.27729723,0.30215734,0.24776639,0.17277904
30,0.13006905,0.2435589,0.32623053,0.30014157
31,0.13006905,0.2435589,0.32623053,0.30014157
32,0.18316023,0.26727986,0.25522143,0.2943385
33,0.13006905,0.2435589,0.32623053,0.30014157
34,0.13006905,0.2435589,0.32623053,0.30014157
35,0.38601297,0.29850185,0.22172529,0.09375984
36,0.19903378,0.28510562,0.2529666,0.26289397
37,0.13006905,0.2435589,0.32623053,0.30014157
38,0.24157678,0.29689434,0.2520448,0.20948415
39,0.27539575,0.30197096,0.24806109,0.17457217
40,0.13170482,0.2412135,0.31876856,0.3083131
41,0.18745372,0.27314553,0.25446302,0.28493774
42,0.18469569,0.2693796,0.2549656,0.29095915
43,0.19017495,0.27685404,0.2539134,0.27905753
44,0.45038837,0.2856938,0.2004313,0.063486554
45,0.13006905,0.2435589,0.32623053,0.30014157
46,0.13006905,0.2435589,0.32623053,0.30014157
47,0.13006905,0.2435589,0.32623053,0.30014157
48,0.13267134,0.23976241,0.314294,0.31327224
49,0.25696915,0.2996317,0.25054097,0.1928582
50,0.13208228,0.24065278,0.3170272,0.31023774
51,0.47601405,0.27885845,0.19120003,0.053927522
52,0.13006905,0.2435589,0.32623053,0.30014157
53,0.13006905,0.2435589,0.32623053,0.30014157
54,0.35820115,0.30183157,0.22981827,0.11014906
55,0.13006905,0.2435589,0.32623053,0.30014157
56,0.19357403,0.28151664,0.25315017,0.27175918
57,0.16275856,0.25726116,0.26315418,0.31682616
58,0.13006905,0.2435589,0.32623053,0.30014157
59,0.13006905,0.2435589,0.32623053,0.30014157
60,0.6293814,0.22170667,0.13127927,0.017632572
61,0.13006905,0.2435589,0.32623053,0.30014157
62,0.27527744,0.301959,0.2480792,0.17468436
63,0.19538411,0.28377154,0.25278792,0.26805642
64,0.5659576,0.24836336,0.15668254,0.02899657
65,0.4369641,0.2889015,0.20511693,0.06901739
66,0.34025842,0.3031769,0.23458883,0.12197584
67,0.09135668,0.33112332,0.27496243,0.30255753
68,0.14698549,0.24716593,0.28685027,0.31899828
69,0.2423875,0.29705724,0.25197947,0.20857579
70,0.6659169,0.20470549,0.116544604,0.012832976
71,0.132472,0.24006584,0.31522113,0.31224105
72,0.13006905,0.2435589,0.32623053,0.30014157
73,0.37985393,0.29936346,0.22358453,0.097198084
74,0.13006905,0.2435589,0.32623053,0.30014157
75,0.13928066,0.24176271,0.29934344,0.31961316
76,0.47013524,0.2805063,0.1933483,0.05601018
77,0.13006905,0.2435589,0.32623053,0.30014157
78,0.20516177,0.28722283,0.25316632,0.25444907
79,0.4060229,0.29524198,0.21544854,0.08328656
80,0.58648527,0.24015768,0.14851215,0.02484485
81,0.44661796,0.28662142,0.20175853,0.06500203
82,0.19485682,0.28330642,0.25283846,0.26899827
83,0.22372624,0.2927477,0.25305793,0.23046811
84,0.288855,0.30307952,0.24582984,0.16223572
85,0.3980397,0.29662526,0.21799433,0.08734072
86,0.2836092,0.30270532,0.24673912,0.16694632
87,0.16314155,0.25749105,0.26260775,0.31675968
88,0.14812756,0.24793953,0.28505233,0.31888056
89,0.36240432,0.30142274,0.22864702,0.107525975
90,0.20542902,0.2873117,0.25317225,0.254087
91,0.13006905,0.2435589,0.32623053,0.30014157
92,0.15389834,0.2517444,0.2761695,0.31818777
93,0.13134134,0.24174641,0.32043836,0.30647388
94,0.20477103,0.28709233,0.25315726,0.25497943
95,0.13006905,0.2435589,0.32623053,0.30014157
96,0.28781667,0.30301124,0.24601369,0.16315839
97,0.19032276,0.27705526,0.25388202,0.27873993
98,0.19007157,0.27671322,0.25393528,0.27927995
99,0.13006905,0.2435589,0.32623053,0.30014157
100,0.2324055,0.29489976,0.2526692,0.22002551
101,0.13006905,0.2435589,0.32623053,0.30014157
102,0.43008423,0.29044116,0.2074734,0.072001174
103,0.5248554,0.26346534,0.17277776,0.038901582
104,0.13006905,0.2435589,0.32623053,0.30014157
105,0.13006905,0.2435589,0.32623053,0.30014157
106,0.24240792,0.29706132,0.25197783,0.208553
107,0.13006905,0.2435589,0.32623053,0.30014157
108,0.13006905,0.2435589,0.32623053,0.30014157
109,0.22231464,0.29237252,0.25310165,0.23221122
110,0.13006905,0.2435589,0.32623053,0.30014157
111,0.13006905,0.2435589,0.32623053,0.30014157
112,0.26005918,0.3000932,0.25017458,0.18967307
113,0.33009842,0.30363938,0.23711321,0.12914898
114,0.13006905,0.2435589,0.32623053,0.30014157
115,0.13006905,0.2435589,0.32623053,0.30014157
116,0.16015685,0.2556809,0.26690078,0.31726152
117,0.13006905,0.2435589,0.32623053,0.30014157
118,0.13006905,0.2435589,0.32623053,0.30014157
119,0.13587327,0.2392674,0.30507943,0.31977993
120,0.13006905,0.2435589,0.32623053,0.30014157
121,0.2309249,0.2945512,0.2527498,0.22177412
122,0.19389094,0.28195888,0.2530743,0.2710759
123,0.47524324,0.2790772,0.19148266,0.054196946
124,0.29859552,0.303585,0.24401367,0.15380576
125,0.17526749,0.26442665,0.25681826,0.3034876
126,0.262502,0.30043793,0.2498704,0.18718964
127,0.27248564,0.3016662,0.24849856,0.17734952
128,0.16571361,0.259015,0.26053074,0.31474063
129,0.28734243,0.30297905,0.24609707,0.16358142
130,0.14998035,0.24917991,0.28216398,0.3186758
131,0.13006905,0.2435589,0.32623053,0.30014157
132,0.13499926,0.23861651,0.30657256,0.31981167
133,0.22624895,0.29340044,0.25296596,0.22738467
134,0.13006905,0.2435589,0.32623053,0.30014157
135,0.14523476,0.24596664,0.28963286,0.31916577
136,0.14923285,0.24868163,0.28332505,0.31876045
137,0.13188533,0.24094634,0.31793687,0.3092315
138,0.13006905,0.2435589,0.32623053,0.30014157
139,0.13121495,0.24193016,0.3210175,0.30583742
140,0.13544165,0.2389465,0.30581567,0.31979617
141,0.07752595,0.35672626,0.24898192,0.31676582
142,0.42222098,0.29211167,0.21012683,0.07554053
143,0.5093212,0.2686782,0.17873591,0.043264706
144,0.1703208,0.26167148,0.25875288,0.30925483
145,0.18972498,0.27624127,0.25400797,0.28002575
146,0.16441947,0.25825277,0.2610257,0.31630206
147,0.23486367,0.29546198,0.2525228,0.21715154
148,0.2204826,0.29187492,0.25315005,0.2344925
149,0.24786496,0.2981026,0.25149694,0.20253552
150,0.14360492,0.24483527,0.29225254,0.31930727
151,0.13227867,0.24035802,0.3161181,0.3112452
152,0.13006905,0.2435589,0.32623053,0.30014157
153,0.3863614,0.2984511,0.22161905,0.09356847
154,0.22271411,0.29247946,0.25308982,0.23171665
155,0.18687259,0.27235267,0.2545735,0.2862013
156,0.3215688,0.30385238,0.23912562,0.13545318
157,0.13092677,0.24234593,0.32233453,0.30439276
158,0.22363558,0.29272383,0.25306088,0.23057973
159,0.13006905,0.2435589,0.32623053,0.30014157
160,0.18696037,0.2724724,0.25455695,0.28601024
161,0.13006905,0.2435589,0.32623053,0.30014157
162,0.35065874,0.3024772,0.23187004,0.114994034
163,0.31781104,0.30389398,0.23997962,0.13831528
164,0.15946266,0.25525373,0.26791087,0.31737277
165,0.3776943,0.2996492,0.22422783,0.09842867
166,0.2520154,0.2988315,0.25108442,0.19806866
167,0.15332471,0.2513738,0.27703774,0.31826377
168,0.13006905,0.2435589,0.32623053,0.30014157
169,0.13006905,0.2435589,0.32623053,0.30014157
170,0.13006905,0.2435589,0.32623053,0.30014157
171,0.5046486,0.27018997,0.18051161,0.04464982
172,0.13006905,0.2435589,0.32623053,0.30014157
173,0.13006905,0.2435589,0.32623053,0.30014157
174,0.13006905,0.2435589,0.32623053,0.30014157
175,0.073320046,0.36240464,0.24903399,0.31524134
