,Prob_0,Prob_1,Prob_2,Prob_3
0,0.07012653,0.12571895,0.15357047,0.6505841
1,0.0934057,0.16335748,0.6697306,0.07350624
2,0.67775667,0.0875955,0.15708573,0.077562176
3,0.09379908,0.7202599,0.094576456,0.09136452
4,0.08398932,0.047729492,0.757248,0.11103317
5,0.061294034,0.2051,0.5367788,0.19682716
6,0.51144123,0.14971183,0.1130153,0.22583167
7,0.09192187,0.07440327,0.036492687,0.7971822
8,0.49916947,0.23453513,0.0762554,0.19003998
9,0.5952895,0.10011961,0.100257345,0.20433342
10,0.13141465,0.044513743,0.15841915,0.6656524
11,0.66157055,0.07860828,0.09974609,0.1600752
12,0.116879456,0.60771924,0.16601133,0.10939003
13,0.08493845,0.07503105,0.0853828,0.7546476
14,0.04487947,0.6150462,0.24781127,0.09226297
15,0.17574038,0.119313404,0.56157213,0.1433741
16,0.06432206,0.07034272,0.13581462,0.7295207
17,0.68656415,0.13761368,0.10345692,0.07236522
18,0.14230661,0.6266587,0.12162538,0.10940933
19,0.53613687,0.2548204,0.09853286,0.11050994
20,0.13380343,0.08632945,0.08679477,0.6930724
21,0.16440514,0.5958402,0.12359279,0.11616188
22,0.13986838,0.4127729,0.31488782,0.13247083
23,0.7589275,0.083433524,0.09348276,0.06415625
24,0.095607035,0.10144026,0.14546713,0.6574855
25,0.17550601,0.18422708,0.50395215,0.13631484
26,0.13611037,0.16576242,0.11454414,0.58358294
27,0.08628994,0.09088941,0.13507311,0.68774754
28,0.56183064,0.078237586,0.218726,0.14120574
29,0.051755365,0.13222814,0.6082599,0.20775652
30,0.3815622,0.14993599,0.28903484,0.17946698
31,0.15547377,0.14747222,0.0861081,0.6109458
32,0.12745309,0.09695046,0.6930137,0.08258277
33,0.7328539,0.09858698,0.08774342,0.08081563
34,0.15401693,0.205983,0.5021414,0.13785855
35,0.1854058,0.22675075,0.38211855,0.20572494
36,0.1851975,0.0768474,0.15379894,0.58415616
37,0.5879927,0.15935415,0.092624955,0.16002816
38,0.13330364,0.09480495,0.6935842,0.07830727
39,0.08530599,0.11652612,0.60822695,0.1899409
40,0.10544432,0.16454524,0.6654814,0.064528994
41,0.085008666,0.14980574,0.05751368,0.7076719
42,0.1733132,0.11732832,0.11917819,0.5901803
43,0.12539981,0.124042384,0.15958922,0.5909686
44,0.089809395,0.10375294,0.12028644,0.68615115
45,0.7688151,0.10849169,0.062021457,0.060671806
46,0.17427385,0.4858128,0.17970806,0.16020542
47,0.084171824,0.089533135,0.073818766,0.7524763
48,0.7082555,0.098698005,0.06948267,0.12356368
49,0.13362403,0.08898303,0.57219195,0.205201
50,0.26913184,0.46972707,0.07228019,0.18886079
51,0.13519007,0.1622926,0.18288547,0.51963186
52,0.5659868,0.15724842,0.101413175,0.17535159
53,0.16270301,0.49225748,0.1765626,0.16847688
54,0.552643,0.14700723,0.11453379,0.18581605
55,0.5855698,0.088524036,0.12011019,0.20579599
56,0.13846262,0.119041905,0.58882695,0.15366848
57,0.09456277,0.13246375,0.6467569,0.12621652
58,0.12035035,0.13391736,0.61566406,0.13006832
59,0.58586067,0.12963937,0.15754406,0.12695593
60,0.12674949,0.50562066,0.29457167,0.07305823
61,0.06052099,0.13618247,0.7128781,0.09041849
62,0.12393244,0.61021465,0.15842527,0.10742757
63,0.1156479,0.12998939,0.1410412,0.6133215
64,0.09870822,0.08507325,0.08482524,0.73139334
65,0.07931992,0.11155157,0.12245989,0.6866687
66,0.18536478,0.5029841,0.19282565,0.118825436
67,0.12731655,0.10556115,0.6158138,0.15130843
68,0.76805884,0.0744206,0.085735716,0.07178482
69,0.1056943,0.05096251,0.12559229,0.7177509
70,0.75007993,0.07116989,0.12235097,0.05639914
71,0.09786892,0.07609594,0.7188631,0.1071721
72,0.54970205,0.19116876,0.12563159,0.13349755
73,0.5927087,0.10058101,0.15177134,0.15493901
74,0.11047948,0.73950213,0.05303871,0.0969796
75,0.1326741,0.086460784,0.64817506,0.13269007
76,0.08170991,0.07961017,0.7470101,0.09166988
77,0.6880137,0.10542526,0.09578881,0.11077233
78,0.13099267,0.120119505,0.18828978,0.560598
79,0.52937365,0.16933633,0.17109293,0.13019706
80,0.11174541,0.23081438,0.47278714,0.18465307
81,0.7313149,0.08856924,0.11284748,0.06726842
82,0.6115404,0.063146904,0.24170671,0.08360605
83,0.5376585,0.17978375,0.09837099,0.18418686
84,0.13081467,0.16684774,0.16776593,0.5345716
85,0.620962,0.09393212,0.19534126,0.08976457
86,0.14416574,0.11935093,0.6138372,0.12264618
87,0.63661194,0.08131908,0.11002581,0.17204319
88,0.1467973,0.083326615,0.27525935,0.49461675
89,0.0781059,0.7311956,0.11375596,0.076942615
90,0.15113728,0.65410644,0.08128824,0.11346802
91,0.57055575,0.16040945,0.06446736,0.20456742
92,0.117759705,0.19888555,0.5489852,0.13436946
93,0.15216677,0.14982758,0.18327688,0.5147287
94,0.1568135,0.11036746,0.6142433,0.118575685
95,0.10745129,0.13966098,0.1008885,0.6519993
96,0.12703559,0.11446585,0.037495602,0.72100294
97,0.14228642,0.5943677,0.12887543,0.13447054
98,0.10126791,0.13093299,0.67494315,0.09285591
99,0.18381129,0.07614612,0.1845664,0.5554762
100,0.21396694,0.09438348,0.13973147,0.5519181
101,0.13622345,0.13637279,0.657074,0.07032982
102,0.09071985,0.1408914,0.1561828,0.612206
103,0.57100964,0.15174526,0.07986831,0.19737673
104,0.1362335,0.17661892,0.08655496,0.6005926
105,0.6279047,0.15469715,0.059057645,0.15834048
106,0.70421094,0.08860307,0.13536708,0.07181888
107,0.08442877,0.5814628,0.15139067,0.18271776
108,0.064576924,0.5993724,0.16806968,0.16798101
109,0.69554234,0.11276752,0.12953302,0.062157024
110,0.09892431,0.111297786,0.08848975,0.7012882
111,0.27342203,0.4571333,0.1556915,0.11375306
112,0.09795006,0.55655456,0.18635339,0.159142
113,0.108652905,0.14646626,0.08645192,0.65842897
114,0.77418345,0.03491238,0.12943028,0.06147396
115,0.70872015,0.122958705,0.10699551,0.061325636
116,0.15788057,0.10209926,0.15808037,0.5819398
117,0.09260263,0.17592396,0.61217517,0.11929821
118,0.6549559,0.14533307,0.10639837,0.093312554
119,0.065860465,0.6364694,0.14116737,0.15650271
120,0.19680278,0.6172287,0.114346616,0.071621865
121,0.095800616,0.089023456,0.08290052,0.7322754
122,0.15485168,0.17232619,0.59106976,0.08175239
123,0.09470751,0.14761505,0.597852,0.15982544
124,0.12587878,0.73311293,0.08431073,0.05669754
125,0.101624474,0.7678185,0.07331928,0.05723771
126,0.76135415,0.081070825,0.070134714,0.08744032
127,0.08753408,0.1142389,0.106283486,0.69194365
