,Prob_0,Prob_1,Prob_2,Prob_3
0,0.20090635,0.030765787,0.6698556,0.098472275
1,0.26333833,0.089629635,0.082697704,0.5643343
2,0.10115291,0.7448515,0.09036537,0.0636302
3,0.29780927,0.027828723,0.24131036,0.43305165
4,0.25943384,0.0017699115,0.3986434,0.34015286
5,0.35225916,0.17935207,0.17418584,0.2942029
6,0.34651917,0.16414544,0.069995865,0.4193395
7,0.62603194,0.0929919,0.14426973,0.1367064
8,0.2935257,0.08049841,0.20200416,0.4239717
9,0.46165174,0.09882353,0.28910193,0.15042278
10,0.058884013,0.7485991,0.041585837,0.15093106
11,0.118591286,0.7478402,0.090823196,0.042745307
12,0.08721675,0.76307386,0.06390417,0.08580522
13,0.26291943,0.5592818,0.14966607,0.02813268
14,0.09828105,0.64631116,0.08869352,0.16671431
15,0.30708367,0.25437376,0.19613592,0.24240668
16,0.19955385,0.2798422,0.45092636,0.069677636
17,0.052268773,0.74965626,0.14465804,0.05341693
18,0.24481983,0.060000002,0.11871622,0.576464
19,0.080142274,0.8654674,0.05113821,0.0032520324
20,0.49516162,0.14151616,0.18408027,0.17924193
21,0.35430467,0.44805503,0.14912221,0.048518106
22,0.3473062,0.05547644,0.40134016,0.19587724
23,0.2972494,0.016410258,0.26778558,0.41855478
24,0.5249783,0.106263995,0.16467333,0.20408437
25,0.19966853,0.03706403,0.24894544,0.514322
26,0.47399688,0.058336698,0.17241994,0.29524645
27,0.1768421,0.03529412,0.56173253,0.22613132
28,0.3565861,0.15901099,0.23557511,0.24882784
29,0.20942362,0.036524378,0.44623128,0.30782074
30,0.40165538,0.05373932,0.31303778,0.23156747
31,0.23087642,0.03691963,0.4979238,0.23428014
32,0.07634027,0.7321874,0.13410272,0.057369687
33,0.21469863,0.25374016,0.43930954,0.09225164
34,0.23285206,0.26405126,0.45654482,0.046551857
35,0.04478139,0.77804726,0.068508975,0.10866237
36,0.16762528,0.16374728,0.5845752,0.08405229
37,0.2423948,0.14167842,0.56785,0.048076767
38,0.276747,0.037352532,0.4401595,0.24574098
39,0.020403195,0.96031153,0.011382114,0.007903195
40,0.07270161,0.20507522,0.58690196,0.13532123
41,0.28717917,0.15302481,0.063561544,0.49623448
42,0.23291281,0.114736006,0.08546366,0.5668875
43,0.09969423,0.09696899,0.6445258,0.15881096
44,0.4178923,0.037352532,0.30479756,0.23995757
45,0.38497493,0.3031731,0.09983585,0.21201615
46,0.25758043,0.42084903,0.16322227,0.1583483
47,0.3221733,0.32641667,0.08503487,0.26637515
48,0.08882689,0.24305089,0.60448563,0.063636556
49,0.20321417,0.31653497,0.26036173,0.21988921
50,0.35870928,0.104977384,0.34052745,0.19578595
51,0.08441105,0.832503,0.05710659,0.025979305
52,0.20871003,0.06202091,0.22717372,0.50209534
53,0.08843212,0.641319,0.06265607,0.20759282
54,0.40225917,0.18377289,0.08952876,0.32443917
55,0.35125875,0.2452381,0.25140527,0.15209791
56,0.14801934,0.1416525,0.36860207,0.34172612
57,0.0106594395,0.840417,0.12498182,0.023941688
58,0.089064434,0.63904667,0.046288688,0.22560024
59,0.3556103,0.24129722,0.091625616,0.31146687
60,0.27508384,0.10203235,0.1661104,0.45677343
61,0.4601608,0.08585717,0.22091234,0.2330697
62,0.0796736,0.72742546,0.14219794,0.05070301
63,0.044268776,0.77609104,0.065353684,0.1142865
64,0.24002299,0.0039999997,0.21721601,0.538761
65,0.0740875,0.68430555,0.05712686,0.1844801
66,0.2872892,0.05391568,0.4604605,0.19833457
67,0.38827902,0.027828723,0.4364519,0.14744031
68,0.38229436,0.2026407,0.3004762,0.11458875
69,0.23730557,0.43392992,0.1136063,0.21515822
70,0.11255252,0.49275213,0.31200632,0.082689084
71,0.13951814,0.26719835,0.5147161,0.07856744
72,0.25930563,0.007923758,0.38819468,0.34457594
73,0.5249783,0.106263995,0.16467333,0.20408437
74,0.2505043,0.20628807,0.28647882,0.2567289
75,0.31006134,0.10483394,0.16111453,0.42399025
76,0.28238097,0.19396827,0.1384127,0.3852381
77,0.1768421,0.03529412,0.56173253,0.22613132
78,0.3827098,0.010256411,0.26687148,0.34016228
79,0.22785147,0.029413486,0.37958193,0.3631532
80,0.118165754,0.6729466,0.08358916,0.1252985
81,0.24341366,0.037352532,0.28187814,0.43735567
82,0.46674794,0.124299504,0.19748144,0.21147113
83,0.3034369,0.2972228,0.07043792,0.3289024
84,0.2947361,0.14993967,0.19992459,0.3553997
85,0.27540058,0.09642714,0.09706394,0.5311083
86,0.54449093,0.107469,0.093049206,0.2549909
87,0.100493,0.5861895,0.07486011,0.2384574
88,0.40204257,0.039452653,0.31458294,0.24392185
89,0.2093596,0.040289596,0.54197645,0.20837438
90,0.19094887,0.6774295,0.070155606,0.061466016
91,0.16762528,0.16374728,0.5845752,0.08405229
92,0.122700475,0.06567879,0.29324389,0.5183768
93,0.11487887,0.36465803,0.45835143,0.062111653
94,0.414824,0.2899517,0.15065563,0.14456867
95,0.5093307,0.083906025,0.1489253,0.25783795
96,0.26426437,0.025674876,0.37782922,0.33223152
97,0.3766082,0.24789946,0.114939176,0.26055318
98,0.13065803,0.6390432,0.08087902,0.14941978
99,0.27828544,0.14068587,0.24869132,0.33233735
100,0.16805202,0.23749785,0.55905825,0.03539193
101,0.23839839,0.002739726,0.43064818,0.32821366
102,0.26458666,0.34194836,0.149551,0.24391398
103,0.2181603,0.014766048,0.35121945,0.41585428
104,0.5326349,0.17180952,0.07433333,0.2212222
105,0.5321608,0.115190506,0.16069011,0.19195859
106,0.25314066,0.19714391,0.05022992,0.4994855
107,0.2209448,0.01954769,0.25665167,0.50285584
108,0.06668615,0.7561425,0.05803278,0.119138554
109,0.33466882,0.04522003,0.35811672,0.26199445
110,0.12941726,0.015244755,0.624021,0.23131701
111,0.34766594,0.06019796,0.40371794,0.18841818
112,0.14274831,0.2800539,0.1436231,0.43357468
113,0.065317824,0.7955852,0.13298783,0.0061091753
114,0.18960246,0.114657566,0.4190855,0.2766545
115,0.15839349,0.12754484,0.6571159,0.056945812
116,0.16417351,0.0,0.18250045,0.65332603
117,0.23492058,0.20009884,0.12518027,0.43980032
118,0.24478419,0.06270718,0.5927923,0.09971638
119,0.3086575,0.25851685,0.24309047,0.18973519
120,0.2816525,0.3303896,0.1863354,0.20162249
121,0.035326503,0.7884702,0.08039807,0.09580523
122,0.07945404,0.68437135,0.030444527,0.20573011
123,0.074669614,0.76440513,0.14355561,0.01736968
124,0.16675492,0.015244755,0.5631985,0.25480187
125,0.5747154,0.036432635,0.18478811,0.20406386
126,0.36258227,0.012903226,0.24325514,0.38125938
127,0.37396115,0.28945595,0.056131206,0.2804517
128,0.042733908,0.6981527,0.17330812,0.08580522
129,0.23680942,0.23544145,0.38494882,0.14280027
130,0.3004548,0.03529412,0.2430425,0.42120862
131,0.19014423,0.13714287,0.3487026,0.3240103
132,0.21418774,0.09882353,0.1972814,0.48970738
133,0.0205,0.88150007,0.088,0.01
134,0.0646806,0.7678281,0.061382115,0.10610918
135,0.2871744,0.18738528,0.14783768,0.37760267
136,0.12709454,0.60949814,0.07570045,0.18770693
137,0.2773776,0.0,0.31779954,0.40482283
138,0.07969423,0.056969,0.7465259,0.116810955
139,0.039977662,0.7891679,0.08039807,0.09045639
140,0.101273045,0.18120968,0.6353053,0.082211986
141,0.05971675,0.7528953,0.10158274,0.08580522
142,0.12684886,0.17755637,0.60338676,0.09220799
143,0.48161077,0.16902122,0.08061989,0.26874813
144,0.21885912,0.14814998,0.012765957,0.62022495
145,0.1640074,0.22959271,0.5290791,0.07732077
146,0.15713014,0.20549357,0.5519922,0.085384116
147,0.2445575,0.11874262,0.2833758,0.35332403
148,0.2241967,0.012026322,0.22541514,0.53836185
149,0.2872892,0.05391568,0.4604605,0.19833457
150,0.2483828,0.021489726,0.24527398,0.48485357
151,0.25878787,0.017777778,0.27171716,0.45171714
152,0.55321175,0.034578104,0.24280731,0.16940287
153,0.2580621,0.43098506,0.21410719,0.09684563
154,0.06365585,0.76211655,0.088422395,0.08580522
155,0.4058152,0.18095419,0.3503057,0.062924884
156,0.17256284,0.19637749,0.084194526,0.5468651
157,0.28780887,0.33297038,0.08535614,0.29386458
158,0.20588982,0.32160807,0.4018721,0.07063003
159,0.4960339,0.056114476,0.13251252,0.3153391
160,0.19065563,0.014849499,0.4986272,0.29586774
161,0.261993,0.006153846,0.30432403,0.42752916
162,0.1182798,0.5991062,0.0999521,0.18266192
163,0.55499995,0.154,0.06866667,0.22233334
164,0.5803221,0.10919164,0.07909571,0.23139055
165,0.13650739,0.28750935,0.5053291,0.07065411
166,0.21719594,0.002739726,0.44398612,0.33607823
167,0.11292342,0.67003006,0.083527625,0.13351884
168,0.21186996,0.014663483,0.29906338,0.4744032
169,0.3521627,0.2819299,0.07817773,0.28772965
170,0.29173428,0.076623715,0.3760329,0.2556091
171,0.15596625,0.19227366,0.6233857,0.028374385
172,0.24049242,0.020517504,0.17386255,0.5651275
173,0.11769992,0.7112883,0.12030884,0.05070301
174,0.5025455,0.11796968,0.20257124,0.17691354
175,0.16996177,0.13947964,0.51214284,0.1784158
176,0.20774297,0.008695653,0.2957434,0.487818
177,0.1940417,0.16014448,0.07042408,0.57538974
178,0.22802994,0.3372822,0.25735185,0.17733599
179,0.21518373,0.0421877,0.6234492,0.119179346
180,0.20772442,0.19513027,0.15182051,0.4453248
181,0.08657689,0.31148472,0.5096424,0.09229602
182,0.27186367,0.091031894,0.14131959,0.49578485
183,0.06365585,0.75068796,0.09985097,0.08580522
184,0.12775204,0.8176138,0.027382115,0.02725203
185,0.27540058,0.09642714,0.09706394,0.5311083
186,0.16702063,0.58206266,0.13458367,0.11633308
187,0.07969423,0.056969,0.7465259,0.116810955
188,0.28917676,0.021674877,0.38215584,0.30699247
189,0.25614262,0.027828723,0.21297702,0.50305164
190,0.033555064,0.85051805,0.09198519,0.023941688
191,0.5030835,0.040731948,0.2948586,0.16132596
192,0.2118003,0.16667938,0.042177726,0.5793426
193,0.24929222,0.0337012,0.45499977,0.26200676
194,0.11063264,0.16960724,0.5903502,0.1294099
195,0.10216044,0.12741812,0.69881237,0.07160904
196,0.13102193,0.026473429,0.57078224,0.2717224
197,0.20053717,0.00909091,0.25719744,0.5331745
198,0.5051318,0.1793038,0.07439794,0.24116647
199,0.030303031,0.81026757,0.07787015,0.08155922
200,0.24380966,0.0045096376,0.21414399,0.53753674
201,0.23792401,0.010663484,0.22187419,0.52953833
202,0.14750181,0.64406,0.09990565,0.10853249
203,0.304899,0.0,0.3670303,0.3280707
204,0.31575176,0.40537587,0.14878918,0.13008317
205,0.20937571,0.25065917,0.1436231,0.39634198
206,0.28717858,0.12413859,0.376699,0.21198384
207,0.044890244,0.85735357,0.0977561,0.0
208,0.25387698,0.30078706,0.17303488,0.27230108
209,0.36038283,0.24143168,0.05227642,0.34590906
210,0.24887772,0.0,0.31566063,0.43546167
211,0.24971926,0.006153846,0.29688007,0.44724685
212,0.62374103,0.119839035,0.09730182,0.15911809
213,0.26620513,0.06259823,0.2617102,0.40948644
214,0.39301807,0.2938538,0.13745406,0.17567411
215,0.35154507,0.06397003,0.39412275,0.19036217
216,0.3906576,0.034578104,0.21715796,0.35760632
217,0.21931389,0.01905707,0.38728112,0.37434798
218,0.2129037,0.03529412,0.27100188,0.48080033
219,0.08414856,0.70864207,0.0674269,0.1397825
220,0.038003977,0.82017356,0.051366113,0.09045639
221,0.13012098,0.27296582,0.55560994,0.04130326
222,0.41582388,0.21790619,0.13196193,0.234308
223,0.21242395,0.3920184,0.31537327,0.080184326
224,0.27290368,0.0,0.2651195,0.46197683
225,0.16996177,0.13947964,0.51214284,0.1784158
226,0.2656607,0.13106433,0.41348284,0.18979211
227,0.26151934,0.170216,0.03746161,0.5308031
228,0.20691466,0.0045096376,0.23887554,0.5497002
229,0.025151163,0.8821977,0.088,0.004651163
230,0.37421697,0.010256411,0.328268,0.2872586
231,0.33593106,0.31900448,0.026719445,0.31834498
232,0.03658537,0.8674011,0.038738437,0.05727502
233,0.08847549,0.6648921,0.09963844,0.14699402
234,0.23544367,0.18719563,0.13511924,0.4422415
235,0.17504595,0.12357078,0.2903494,0.41103393
236,0.1739235,0.25672984,0.53583056,0.033516146
237,0.42502195,0.12330556,0.11166563,0.3400069
238,0.3316761,0.05724635,0.39817426,0.21290329
239,0.27102625,0.048976462,0.38217843,0.29781884
240,0.06581286,0.7925279,0.08553128,0.056127988
241,0.2143723,0.5662484,0.15196237,0.06741693
242,0.04478139,0.77804726,0.068508975,0.10866237
243,0.27899343,0.039122444,0.2978527,0.38403144
244,0.09866266,0.3567089,0.44531488,0.09931356
245,0.36415654,0.22710845,0.13620938,0.27252567
246,0.22072077,0.29145628,0.13756235,0.3502606
247,0.03816794,0.60379857,0.27082914,0.08720435
248,0.044945348,0.55024374,0.29940057,0.10541034
249,0.3150302,0.07523379,0.31159124,0.29814482
250,0.43081626,0.20981236,0.23295903,0.12641239
251,0.24764836,0.033598635,0.34223765,0.37651533
252,0.3345192,0.1494788,0.08177365,0.43422836
253,0.3371685,0.020519912,0.22639641,0.4159151
254,0.08843212,0.641319,0.06265607,0.20759282
255,0.19677179,0.442813,0.25084552,0.10956963
256,0.19530208,0.014849499,0.4380211,0.35182732
257,0.30487922,0.015642952,0.23648366,0.4429942
258,0.044366583,0.84462154,0.08364218,0.027369682
259,0.2988049,0.116145454,0.0825673,0.50248235
260,0.21669967,0.2864849,0.43320292,0.063612476
261,0.109754086,0.5593915,0.080771446,0.250083
262,0.17011143,0.30267292,0.3586978,0.16851787
263,0.30540234,0.002739726,0.24642262,0.44543535
264,0.31775182,0.0,0.4285729,0.25367525
265,0.50339544,0.18614218,0.14986198,0.16060042
266,0.20379353,0.32780415,0.12607224,0.34233007
267,0.25593275,0.09126023,0.13936679,0.5134402
268,0.064268775,0.77747035,0.06466403,0.09359684
269,0.25448057,0.18690261,0.5035225,0.055094313
270,0.24787104,0.027828723,0.4759221,0.24837816
271,0.08847549,0.6648921,0.09963844,0.14699402
272,0.27148744,0.04516129,0.48684946,0.19650179
273,0.16673172,0.020517504,0.458426,0.3543248
274,0.33968198,0.34606346,0.060171284,0.25408325
275,0.08495843,0.6978152,0.09914679,0.11807959
276,0.4437038,0.05069139,0.42798036,0.07762446
277,0.29250708,0.14175072,0.18551703,0.3802252
278,0.40990925,0.25867257,0.18798332,0.14343484
279,0.05312953,0.77700377,0.08406149,0.08580522
280,0.16525345,0.101566814,0.51986176,0.21331799
