,Prob_0,Prob_1,Prob_2,Prob_3
0,0.125,0.15625,0.6875,0.03125
1,0.09375,0.0,0.15625,0.75
2,0.03125,0.8125,0.09375,0.0625
3,0.625,0.21875,0.09375,0.0625
4,0.03125,0.125,0.03125,0.8125
5,0.875,0.0,0.0625,0.0625
6,0.03125,0.3125,0.0,0.65625
7,0.0625,0.875,0.03125,0.03125
8,0.40625,0.125,0.40625,0.0625
9,0.28125,0.03125,0.65625,0.03125
10,0.03125,0.125,0.0,0.84375
11,0.09375,0.78125,0.03125,0.09375
12,0.09375,0.03125,0.1875,0.6875
13,0.03125,0.78125,0.1875,0.0
14,0.09375,0.0625,0.78125,0.0625
15,0.15625,0.1875,0.625,0.03125
16,0.03125,0.03125,0.875,0.0625
17,0.03125,0.90625,0.0,0.0625
18,0.8125,0.03125,0.125,0.03125
19,0.125,0.75,0.03125,0.09375
20,0.125,0.0625,0.75,0.0625
21,0.75,0.03125,0.0,0.21875
22,0.78125,0.09375,0.03125,0.09375
23,0.71875,0.0,0.15625,0.125
24,0.15625,0.0625,0.0625,0.71875
25,0.0625,0.71875,0.15625,0.0625
26,0.6875,0.15625,0.125,0.03125
27,0.0,0.96875,0.0,0.03125
28,0.09375,0.03125,0.84375,0.03125
29,0.65625,0.15625,0.0625,0.125
30,0.875,0.0,0.0625,0.0625
31,0.0,0.9375,0.03125,0.03125
32,0.21875,0.0625,0.15625,0.5625
33,0.0625,0.84375,0.0625,0.03125
34,0.1875,0.0625,0.09375,0.65625
35,0.71875,0.0,0.28125,0.0
36,0.0625,0.03125,0.875,0.03125
37,0.125,0.03125,0.15625,0.6875
38,0.125,0.0,0.71875,0.15625
39,0.59375,0.0625,0.0,0.34375
40,0.09375,0.15625,0.6875,0.0625
41,0.03125,0.90625,0.0625,0.0
42,0.0,0.96875,0.03125,0.0
43,0.1875,0.65625,0.03125,0.125
44,0.15625,0.6875,0.03125,0.125
45,0.15625,0.0,0.0,0.84375
46,0.21875,0.625,0.125,0.03125
47,0.78125,0.09375,0.0625,0.0625
48,0.6875,0.1875,0.03125,0.09375
49,0.75,0.15625,0.03125,0.0625
50,0.6875,0.0625,0.0,0.25
51,0.09375,0.78125,0.0,0.125
52,0.15625,0.0,0.71875,0.125
53,0.15625,0.03125,0.0625,0.75
54,0.0,0.90625,0.03125,0.0625
55,0.0625,0.09375,0.8125,0.03125
56,0.0625,0.03125,0.09375,0.8125
57,0.0625,0.09375,0.625,0.21875
58,0.09375,0.0,0.09375,0.8125
59,0.0625,0.9375,0.0,0.0
60,0.75,0.125,0.03125,0.09375
61,0.0625,0.0625,0.1875,0.6875
62,0.09375,0.03125,0.65625,0.21875
63,0.09375,0.75,0.09375,0.0625
