,Prob_0,Prob_1,Prob_2,Prob_3
0,0.0625,0.21875,0.625,0.09375
1,0.0625,0.0,0.0625,0.875
2,0.0625,0.6875,0.15625,0.09375
3,0.75,0.125,0.09375,0.03125
4,0.0625,0.09375,0.0625,0.78125
5,0.59375,0.0625,0.1875,0.15625
6,0.03125,0.25,0.0625,0.65625
7,0.0625,0.6875,0.15625,0.09375
8,0.75,0.03125,0.1875,0.03125
9,0.1875,0.03125,0.65625,0.125
10,0.15625,0.09375,0.125,0.625
11,0.125,0.78125,0.03125,0.0625
12,0.125,0.0,0.125,0.75
13,0.21875,0.5625,0.125,0.09375
14,0.09375,0.09375,0.78125,0.03125
15,0.125,0.03125,0.75,0.09375
