,Prob_1
0,0.40805385
1,0.44852197
2,0.12329618
3,0.28565288
4,0.53129846
5,0.7083891
6,0.064579666
7,0.38219255
8,0.5887734
9,0.8064274
10,0.5509658
11,0.44211456
12,0.1384052
13,0.25962237
14,0.3164556
15,0.156106
16,0.06690316
17,0.11198776
18,0.37321723
19,0.29966706
20,0.7042854
21,0.09397704
22,0.24113385
23,0.43899173
24,0.122691005
25,0.47717455
26,0.11326962
27,0.35412687
28,0.25930917
29,0.32201034
30,0.18808068
31,0.16012964
32,0.53335375
33,0.273547
34,0.20941737
35,0.10961574
36,0.13271597
37,0.2495241
38,0.33918536
39,0.5164291
40,0.22389042
41,0.47971743
42,0.4149722
43,0.12514181
44,0.080164485
45,0.65452904
46,0.304315
47,0.34647024
48,0.32392007
49,0.19928694
50,0.43779218
51,0.07261808
52,0.8180468
53,0.44460624
54,0.28417993
55,0.35193092
56,0.20698431
57,0.28221887
58,0.35305956
59,0.51894057
60,0.7139646
61,0.084191434
62,0.304315
63,0.6586092
64,0.14567141
65,0.30916995
66,0.120640576
67,0.368053
68,0.61131614
69,0.12849608
70,0.15019277
71,0.2298623
72,0.47459516
73,0.116648644
74,0.29245767
75,0.10513385
76,0.46644625
77,0.21765317
78,0.0777362
79,0.19772677
80,0.1044254
81,0.4590559
82,0.34705934
83,0.4443275
84,0.29380962
85,0.1332488
86,0.30357078
87,0.6352731
88,0.09960074
89,0.4722473
90,0.51105183
91,0.14081715
92,0.08751523
93,0.4294326
94,0.400126
95,0.13807029
96,0.78938264
97,0.45688656
98,0.29278338
99,0.15693074
100,0.69409627
101,0.8510662
102,0.29131216
103,0.112116665
104,0.10998085
105,0.6086836
106,0.16324477
107,0.11725379
108,0.094454125
109,0.29187647
110,0.23543248
111,0.6231744
112,0.48250473
113,0.6346807
114,0.115107186
115,0.2715013
116,0.5769232
117,0.3449366
118,0.47167325
119,0.09701656
120,0.11910346
121,0.62481207
122,0.28977543
123,0.53746915
124,0.10816292
125,0.6545705
126,0.17599572
127,0.43815544
128,0.25667158
129,0.15873142
130,0.23017485
131,0.14945745
132,0.42873412
133,0.5629387
134,0.17727536
135,0.6621496
136,0.2740156
137,0.32857186
138,0.12316127
139,0.34322798
140,0.4048992
141,0.16445228
142,0.09332555
143,0.3191232
144,0.18349732
145,0.07151921
146,0.2491976
147,0.09575843
148,0.5090916
149,0.12003271
150,0.111341305
151,0.10156534
152,0.28449282
153,0.09655702
154,0.12572561
155,0.36069724
156,0.16639404
157,0.25108653
158,0.13176428
159,0.27211314
160,0.06523715
161,0.09041132
162,0.39144745
163,0.13161324
164,0.51794887
165,0.11072289
166,0.4063698
167,0.25714502
168,0.07517912
169,0.16470635
170,0.19876902
171,0.2430719
172,0.58308387
173,0.23072954
174,0.4784685
175,0.116094254
176,0.11002133
177,0.10509559
178,0.088421226
179,0.57389164
180,0.45299798
181,0.13181913
182,0.13312392
183,0.20356223
184,0.4203392
185,0.28137732
186,0.223303
187,0.20214298
188,0.6611831
189,0.60377365
190,0.09375525
191,0.28316596
192,0.4336867
193,0.34795004
194,0.45140457
195,0.098350145
196,0.14710654
197,0.7198371
198,0.7029997
199,0.08898765
200,0.45156986
201,0.096800804
202,0.65039617
203,0.3008862
204,0.07953213
205,0.11053797
206,0.68426234
207,0.12459947
208,0.7370208
209,0.08333112
210,0.26652238
211,0.31467533
212,0.1197527
213,0.32724917
214,0.29410502
215,0.35305238
216,0.24816245
217,0.53636783
218,0.5862485
219,0.077741444
220,0.31793588
221,0.10604417
222,0.24978617
223,0.25172314
224,0.061137065
225,0.12164434
226,0.055573747
227,0.5671752
228,0.13270459
229,0.13188423
230,0.25713706
231,0.1249203
232,0.12405566
233,0.1198056
234,0.3575464
235,0.33121812
236,0.12030889
237,0.6146222
238,0.7010272
239,0.10526419
240,0.56296974
241,0.23276705
242,0.40844473
243,0.095122
244,0.26734462
245,0.28899562
246,0.3681855
247,0.07852937
248,0.6719788
249,0.28994593
250,0.6667814
251,0.5011977
252,0.07645289
253,0.12718067
254,0.13794553
255,0.2232224
256,0.09416165
257,0.08310639
258,0.22621675
259,0.10293226
260,0.27499655
261,0.38969162
262,0.08592642
263,0.7040046
264,0.27896714
265,0.59875286
266,0.09747053
267,0.4685232
268,0.22690758
269,0.3257177
270,0.47171825
271,0.17962196
272,0.752821
273,0.2914078
274,0.14682707
275,0.2930609
276,0.6156416
277,0.18581067
278,0.112116665
279,0.6308789
280,0.1492606
281,0.5902421
282,0.19911855
283,0.2854718
284,0.11019486
285,0.8862556
286,0.67686063
287,0.15796097
288,0.23762967
289,0.24360633
290,0.5566488
291,0.13075696
292,0.20311248
293,0.1699427
294,0.15662351
295,0.27154687
296,0.29489562
297,0.74663395
298,0.118525594
299,0.19436073
300,0.72253054
301,0.07719196
302,0.27391064
303,0.63789976
304,0.32071579
305,0.11195604
306,0.19353427
307,0.22043706
308,0.447649
309,0.43603724
310,0.21922739
311,0.76732063
312,0.08558047
313,0.1894412
314,0.13171561
315,0.11533357
316,0.3802938
317,0.085539155
318,0.11655013
319,0.111888014
320,0.36527708
321,0.5563936
322,0.10771551
323,0.1501735
324,0.43143767
325,0.26818588
326,0.08059752
327,0.70049
328,0.2861685
329,0.35767588
330,0.14526808
331,0.20374428
332,0.16451669
333,0.2439326
334,0.3152839
335,0.081595264
336,0.12057253
337,0.39076334
338,0.08579861
339,0.29928845
340,0.2314372
341,0.63479626
342,0.5104531
343,0.079628065
344,0.09532635
345,0.20886913
346,0.24850316
347,0.11146356
348,0.22058174
349,0.24203174
350,0.54932135
351,0.2824847
352,0.54932135
353,0.24657406
354,0.4911923
355,0.37281656
356,0.1508009
357,0.34140036
358,0.3010147
359,0.16121073
360,0.24742967
361,0.6758465
362,0.44446522
363,0.4837331
364,0.16598345
365,0.27242264
366,0.38635734
367,0.15230264
368,0.32513282
369,0.14360948
370,0.12494946
371,0.080071665
372,0.3227537
373,0.28777492
374,0.11821373
375,0.09196718
376,0.32854077
377,0.13904859
378,0.27272812
379,0.3988806
380,0.12558168
381,0.17239007
382,0.30557802
383,0.16034271
384,0.36249682
385,0.07149774
386,0.11301668
387,0.52821314
388,0.0890891
389,0.09705554
390,0.32266515
391,0.22846097
392,0.20385465
393,0.7301511
394,0.07852937
395,0.33744732
396,0.124016434
397,0.06888232
398,0.5541434
399,0.6985391
400,0.1372077
401,0.11306928
402,0.4320868
403,0.14945386
404,0.30245745
405,0.84653234
406,0.28281558
407,0.22671914
408,0.50602174
409,0.5084837
410,0.08850365
411,0.07956985
412,0.18502866
413,0.9053062
414,0.29730067
415,0.10887721
416,0.204887
417,0.08485007
418,0.098172665
419,0.08589259
420,0.28263468
421,0.19862212
422,0.556633
423,0.10771551
424,0.062738605
425,0.27268845
426,0.59757596
427,0.11600112
428,0.5583773
429,0.6288338
430,0.11809189
431,0.101294436
432,0.4612618
433,0.40945226
434,0.2697698
435,0.6352731
436,0.27158132
437,0.10129304
438,0.29491055
439,0.40324706
440,0.26735985
441,0.08692042
442,0.13964367
443,0.4410541
444,0.079286344
