,Prob_1
0,0.3432015
1,0.23768446
2,0.18081465
3,0.08634964
4,0.26016843
5,0.46756458
6,0.010499048
7,0.23302616
8,0.99934536
9,0.7570939
10,0.39277864
11,0.2794155
12,0.01615319
13,0.259837
14,0.25135392
15,0.016992979
16,0.0029314752
17,0.0848606
18,0.12164695
19,0.46756458
20,0.787003
21,0.039770752
22,0.026613414
23,0.24271329
24,0.18843088
25,0.49219468
26,0.008048946
27,0.43621185
28,0.30052269
29,0.24191219
30,0.050217696
31,0.018117039
32,0.43085337
33,0.10072843
34,0.00064894883
35,0.08634964
36,0.020309584
37,0.0016560835
38,0.10745776
39,0.33647993
40,0.024020916
41,0.5075133
42,0.07799607
43,0.23197506
44,0.0019006985
45,0.51745135
46,0.232119
47,0.4617983
48,0.2347603
49,0.14797264
50,0.012673939
51,0.0017620878
52,0.91266024
53,0.6675524
54,0.35031834
55,0.2569624
56,0.0550445
57,0.108772665
58,0.28123587
59,0.4015149
60,0.167781
61,0.014012782
62,0.232119
63,0.6150621
64,0.18740422
65,0.16911238
66,0.13420717
67,0.2356252
68,0.43621185
69,0.020309584
70,0.003550678
71,0.26162988
72,0.4133146
73,0.020309584
74,0.12165285
75,0.08866707
76,0.20839618
77,0.010253653
78,0.0035201788
79,0.026336333
80,0.0016560835
81,0.5361361
82,0.21898372
83,0.28369853
84,0.9935081
85,0.06791709
86,0.19295044
87,0.43372178
88,0.01933457
89,0.77469474
90,0.30190703
91,0.22971924
92,0.050331943
93,0.028446987
94,0.26197124
95,0.2230924
96,0.96317005
97,0.40527707
98,0.3384929
99,0.08479889
100,0.49720734
101,0.99943167
102,0.6723868
103,0.012113035
104,0.084583886
105,0.99740905
106,0.09847112
107,0.033926412
108,0.0848606
109,0.15947236
110,0.044164278
111,0.39677152
112,0.58094436
113,0.11527296
114,0.17250955
115,0.16981836
116,0.3544656
117,0.36149573
118,0.45111987
119,0.008851269
120,0.020309584
121,0.6458616
122,0.25459507
123,0.41578224
124,0.0023044476
125,0.5361361
126,0.003857263
127,0.14165178
128,0.0839581
129,0.29967555
130,0.21260962
131,0.012188201
132,0.2990051
133,0.62255913
134,0.33412507
135,0.4617983
136,0.19295056
137,0.08752276
138,0.004685159
139,0.27866036
140,0.22580145
141,0.13981354
142,0.0023044476
143,0.22228268
144,0.25847024
145,0.023059001
146,0.003631893
147,0.072956435
148,0.38183826
149,0.22862503
150,0.3207398
151,0.08866707
152,0.2640309
153,0.0019006985
