,Prob_1
0,0.7578773
1,0.2985437
2,0.25935853
3,0.059968848
4,0.2444219
5,0.62299466
6,0.059968848
7,0.25935853
8,1.0
9,0.7578773
10,0.25935853
11,0.2444219
12,0.043000914
13,0.18845315
14,0.25935853
15,0.08794509
16,0.011987307
17,0.08794509
18,0.17561984
19,0.62299466
20,0.62299466
21,0.09429824
22,0.08794509
23,0.059968848
24,0.25935853
25,0.5
26,0.011987307
27,0.25935853
28,0.25935853
29,0.25935853
30,0.011987307
31,0.011987307
32,0.7959866
33,0.08794509
34,0.011987307
35,0.059968848
36,0.011987307
37,0.011987307
38,0.08794509
39,0.25935853
40,0.08794509
41,0.5
42,0.043000914
43,0.25935853
44,0.011987307
45,0.5
46,0.25935853
47,0.62299466
48,0.25935853
49,0.08794509
50,0.011987307
51,0.011987307
52,0.7959866
53,0.5
54,0.25935853
55,0.25935853
56,0.059968848
57,0.08794509
58,0.25935853
59,0.31346577
60,0.58295965
61,0.08794509
62,0.25935853
63,0.62299466
64,0.18845315
65,0.25935853
66,0.08794509
67,0.25935853
68,0.25935853
69,0.011987307
70,0.011987307
71,0.2444219
72,0.42857143
73,0.011987307
74,0.09429824
75,0.08794509
76,0.25935853
77,0.059968848
78,0.011987307
79,0.08794509
80,0.011987307
81,0.5
82,0.25935853
83,0.25935853
84,0.9651568
85,0.09429824
86,0.25935853
87,0.42857143
88,0.08794509
89,0.62299466
90,0.25935853
91,0.25935853
92,0.08794509
93,0.08794509
94,0.2444219
95,0.18845315
96,0.7959866
97,0.25935853
98,0.25935853
99,0.08794509
100,0.62299466
101,0.9969697
102,0.62299466
103,0.011987307
104,0.08794509
105,0.31346577
106,0.7222222
107,0.08794509
108,0.08794509
109,0.25935853
110,0.043000914
111,0.62299466
112,0.50914633
113,0.31346577
114,0.25935853
115,0.17561984
116,0.25935853
117,0.25935853
118,0.25935853
119,0.011987307
120,0.011987307
121,0.5
122,0.2444219
123,0.42857143
124,0.011987307
125,0.5
126,0.011987307
127,0.08794509
128,0.08794509
