,Prob_1
0,0.67439085
1,0.26180792
2,0.18350072
3,0.08641634
4,0.24659455
5,0.5185352
6,0.010103731
7,0.23191641
8,0.99929917
9,0.7500875
10,0.38987964
11,0.25969377
12,0.014216878
13,0.26686454
14,0.23867404
15,0.026526725
16,0.0030327274
17,0.09019546
18,0.12011317
19,0.5185352
20,0.752707
21,0.048281595
22,0.022583487
23,0.21064863
24,0.20001933
25,0.4808017
26,0.009327789
27,0.4275512
28,0.27057627
29,0.24356292
30,0.053977735
31,0.019047523
32,0.6254595
33,0.095169805
34,0.0006587671
35,0.08641634
36,0.016744727
37,0.002192731
38,0.11126901
39,0.36006367
40,0.03373014
41,0.4597343
42,0.0651111
43,0.22125717
44,0.0023729154
45,0.4707459
46,0.22361939
47,0.5345584
48,0.23499839
49,0.14488243
50,0.013772236
51,0.0023934222
52,0.7913026
53,0.6259445
54,0.33651805
55,0.24968027
56,0.05112562
57,0.109715395
58,0.2899709
59,0.24209407
60,0.49586174
61,0.01363545
62,0.22361939
63,0.631741
64,0.21020696
65,0.17260836
66,0.12939374
67,0.23476622
68,0.4275512
69,0.016744727
70,0.0037717458
71,0.24659455
72,0.3859998
73,0.016744727
74,0.10648288
75,0.093166456
76,0.21895432
77,0.0108531825
78,0.002545203
79,0.034938306
80,0.002192731
81,0.5229968
82,0.21007195
83,0.2810852
84,0.9902688
85,0.064670146
86,0.21660681
87,0.5030404
88,0.019564318
89,0.8463629
90,0.3098837
91,0.25082195
92,0.05862886
93,0.21354426
94,0.24546583
95,0.21020696
96,0.91268915
97,0.40348712
98,0.34872344
99,0.08596291
100,0.5636775
101,0.9992155
102,0.7613879
103,0.011964666
104,0.08768082
105,0.24506058
106,0.028111804
107,0.03637302
108,0.09019546
109,0.16358797
110,0.043956917
111,0.4877708
112,0.54512113
113,0.26560244
114,0.16358797
115,0.14675266
116,0.40834337
117,0.3694054
118,0.45961562
119,0.0060319724
120,0.016744727
121,0.6083649
122,0.24571541
123,0.3911339
124,0.0025596227
125,0.5229968
126,0.0045697284
127,0.13973661
128,0.08768082
129,0.25082195
130,0.21322532
131,0.02259841
132,0.20212214
133,0.5800913
134,0.33453122
135,0.5345584
136,0.20207378
137,0.10116871
138,0.0048766555
139,0.29028544
140,0.22445202
141,0.12929998
142,0.0025596227
143,0.45106164
144,0.25919005
145,0.025689365
146,0.004107541
147,0.07308958
148,0.2686518
149,0.23023883
150,0.3223404
151,0.093166456
152,0.24635632
153,0.0023729154
154,0.21977712
155,0.35903394
156,0.04450875
157,0.2862804
158,0.17474037
159,0.5800913
160,0.019759625
161,0.009847444
162,0.4877708
163,0.08427548
164,0.53578913
165,0.26409656
166,0.27201098
167,0.6184855
168,0.002747413
169,0.14103611
170,0.18239911
171,0.08659742
172,0.5256476
173,0.35225987
174,0.25969377
175,0.020176465
176,0.009569866
177,0.08844521
178,0.0006661466
179,0.36412752
180,0.24081194
181,0.21900386
182,0.1391674
183,0.03314997
184,0.20048137
185,0.0837212
186,0.4392221
187,0.61576086
188,0.45542383
189,0.4967407
190,0.12073329
191,0.010044831
192,0.45268422
193,0.3050937
194,0.26888168
195,0.0032321068
196,0.2155454
197,0.99935335
198,0.62192565
199,0.006835113
200,0.71751493
201,0.009327789
202,0.6259445
203,0.44627076
204,0.057382114
205,0.008553077
206,0.73814636
207,0.13102038
208,0.95680076
209,0.0005212841
210,0.17260836
211,0.18350072
212,0.119872905
213,0.22445202
214,0.07353058
215,0.5731408
216,0.36006367
217,0.5697252
218,0.6083649
219,0.0046879835
220,0.1380825
221,0.07258374
222,0.26555347
223,0.0862344
224,0.04656316
225,0.009847444
226,0.019759625
227,0.42688727
228,0.13117778
229,0.21777652
230,0.14392444
231,0.16378118
232,0.010044831
233,0.12175529
234,0.45542383
235,0.19658232
236,0.23023883
237,0.5697252
238,0.6334805
239,0.0060319724
240,0.4482938
241,0.0470475
242,0.06863366
243,0.0007909879
244,0.46706828
245,0.075782016
246,0.1995342
247,0.025689365
248,0.71358424
249,0.16378118
250,0.5345584
251,0.45268422
252,0.04221025
253,0.013772236
254,0.11576971
255,0.16662407
256,0.0060319724
257,0.025651112
258,0.26614934
259,0.05112562
260,0.4392221
261,0.25212744
262,0.00042483237
263,0.5301677
264,0.038046118
265,0.41317755
266,0.0025859824
267,0.2137691
268,0.25106016
269,0.08596291
270,0.22445202
271,0.0019177729
272,0.7238671
273,0.20634359
274,0.08427548
275,0.1847736
276,0.58861876
277,0.12939374
278,0.011964666
279,0.35328794
280,0.046218812
281,0.48470718
282,0.1381074
283,0.4561524
284,0.009867335
285,0.9808441
286,0.6885667
287,0.3223404
288,0.04389247
289,0.08559038
290,0.46547005
291,0.08768082
292,0.3935867
293,0.018934159
294,0.24546583
295,0.05892477
296,0.49756768
297,0.7457857
