,Prob_1
0,0.90007925
1,0.08157791
2,0.42717883
3,0.28548887
4,0.050862577
5,0.57091576
6,0.16821413
7,0.023470022
8,0.02826059
9,0.5579009
10,0.48467022
11,0.2929401
12,0.045607846
13,0.17855085
14,0.103762925
15,0.03369079
16,0.026449617
17,0.7783096
18,0.7294944
19,0.015142016
20,0.025360089
21,0.2320438
22,0.4882324
23,0.72320896
24,0.0063569015
25,0.032483537
26,0.23132952
27,0.070563756
28,0.026875349
29,0.0055601373
30,0.018674377
31,0.04013657
32,0.052484453
33,0.05382981
34,0.050871685
35,0.0057285763
36,0.050862577
37,0.016928628
38,0.33421004
39,0.7783096
40,0.14234889
41,0.8093723
42,0.15549143
43,0.3210966
44,0.33353722
45,0.023348441
46,0.0055601373
47,0.37967405
48,0.012113155
49,0.87687856
50,0.00947098
51,0.023445647
52,0.15409158
53,0.00947098
54,0.0057285763
55,0.09105175
56,0.019086404
57,0.048513785
58,0.16566971
59,0.106685385
60,0.023445647
61,0.87687856
62,0.013447491
63,0.3847735
