,Prob_0,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7,Prob_8,Prob_9
0,0.0040398436,0.006906541,0.02113161,0.01964871,0.045267105,0.06620899,0.0337275,0.009755201,0.038001597,0.7553129
1,0.013950261,0.013129283,0.018121574,0.024789099,0.02762364,0.12421193,0.06723399,0.16106914,0.10866789,0.44120318
2,0.052235845,0.042381503,0.042368915,0.09262591,0.13607551,0.079109654,0.2013568,0.097470865,0.12817545,0.12819962
3,0.049526937,0.046129312,0.06465468,0.04296601,0.0615924,0.086855695,0.16454984,0.08702229,0.11673807,0.27996498
4,0.093777575,0.030008705,0.054703552,0.059133705,0.039845195,0.12528306,0.07507774,0.10763202,0.21860102,0.19593774
5,0.0013088004,0.0039702957,0.0014059064,0.0071679247,0.0024753115,0.011209325,0.0058720475,0.0009066793,0.01635625,0.94932723
6,0.025560552,0.022751896,0.02658059,0.04896592,0.035837438,0.038037747,0.045144744,0.106891416,0.047027886,0.60320175
7,0.004722406,0.019900974,0.018542396,0.032126643,0.032318328,0.019747183,0.01094252,0.013872414,0.81027085,0.037556417
8,0.03332275,0.034380715,0.04181484,0.04283437,0.039200716,0.06186201,0.07535332,0.047183253,0.11600514,0.50804275
9,0.00489491,0.001989134,0.000947631,0.0019389605,0.0036764771,0.0066401097,0.0038426325,0.0007860883,0.013156303,0.9621277
10,0.01437426,0.032688607,0.029680738,0.035959046,0.1590612,0.097849794,0.11269202,0.052450188,0.43169376,0.033550397
11,0.0141061,0.0125494655,0.03442506,0.05318416,0.07848002,0.024466317,0.034185454,0.06233257,0.6503226,0.035948426
12,0.035331376,0.025152616,0.02850521,0.040176906,0.1037999,0.113981746,0.15721321,0.0835256,0.21623538,0.19607818
13,0.00412794,0.00899767,0.02100561,0.004005494,0.0059369733,0.010561766,0.007949766,0.010693425,0.08061173,0.8461098
14,0.092901185,0.042349968,0.048579596,0.060429316,0.048017155,0.085763365,0.19771929,0.14354679,0.14668041,0.134013
15,0.030665323,0.056435686,0.086333156,0.057338208,0.05130757,0.05078254,0.09380547,0.25332564,0.24728309,0.07272327
16,0.027469965,0.01598673,0.02098453,0.021304684,0.027523817,0.109518364,0.036335416,0.14228216,0.0592262,0.5393682
17,0.04834508,0.06922411,0.069654755,0.062579855,0.08804108,0.06900051,0.11487598,0.15865502,0.15775447,0.16186908
18,0.052049924,0.056443553,0.07694648,0.062984996,0.07853614,0.10146763,0.07936934,0.10162565,0.28986916,0.10070733
