,Prob_0,Prob_1,Prob_2
0,0.032458883,0.2325878,0.7349533
1,0.13893965,0.58330595,0.27775443
2,0.020304464,0.06940906,0.91028637
3,0.029648347,0.17792913,0.79242253
4,0.020304464,0.06940906,0.91028637
5,0.041532908,0.88583905,0.072627924
6,0.030643247,0.8767178,0.09263883
7,0.100429356,0.86806333,0.031507187
8,0.8980745,0.08491666,0.017008722
9,0.8980745,0.08491666,0.017008722
10,0.8980745,0.08491666,0.017008722
11,0.034843586,0.8810318,0.0841246
12,0.05829168,0.857682,0.08402632
13,0.041532908,0.88583905,0.072627924
14,0.12600645,0.18781216,0.6861814
15,0.8980745,0.08491666,0.017008722
16,0.025815861,0.8851678,0.08901647
17,0.7284507,0.15796986,0.11357948
