,Prob_0,Prob_1,Prob_2
0,0.12397081,0.23059095,0.64543825
1,0.186665,0.50131917,0.31201583
2,0.10237454,0.09468216,0.8029433
3,0.12625167,0.22985685,0.64389145
4,0.10135731,0.0988996,0.79974306
5,0.24798197,0.6017534,0.1502646
6,0.2424707,0.60197246,0.15555686
7,0.20873517,0.564087,0.22717786
8,0.36186466,0.5897376,0.048397757
9,0.36164397,0.5888013,0.04955473
10,0.3615678,0.5905504,0.047881775
11,0.22971275,0.5951115,0.17517573
12,0.32082734,0.5932906,0.085882045
13,0.24860133,0.60251427,0.14888443
14,0.10832704,0.14158796,0.750085
15,0.36214525,0.58801967,0.049835123
