,Pred
0,-9.982616
1,1.5306444
2,-11.131645
3,13.959319
4,-25.28618
5,-11.195644
6,-15.433002
7,-35.469753
8,-24.323029
9,51.567993
10,28.422024
11,25.391027
12,5.6791496
13,2.5478783
14,47.740364
15,12.048427
16,-29.868149
17,-7.375681
18,2.2452679
19,26.89516
20,47.49446
21,-8.965766
22,-15.174395
23,-36.143906
24,-40.030437
25,24.838976
26,-18.957045
27,34.365204
28,-13.376978
29,-14.16368
30,10.587594
31,43.054356
32,12.700259
33,38.243828
34,-10.551977
35,38.98197
36,42.92239
37,-18.177902
38,47.780884
39,-43.106274
40,-5.3254213
41,-14.4684105
42,-0.33532524
43,22.022484
44,4.334605
45,-18.016785
46,6.870816
47,-43.009323
48,35.978592
49,-21.75824
50,28.64292
51,27.649025
52,22.476303
53,-15.77935
54,38.09004
55,-3.1017485
56,16.586882
57,11.058953
58,-38.470062
59,8.114899
60,-5.7320757
61,31.125607
62,-26.70025
63,42.850616
64,-2.4510784
65,22.931892
66,6.7388763
67,-15.721128
68,-9.607245
69,-28.066063
70,-0.29901886
71,-17.479141
72,48.229485
73,16.677273
74,2.3278313
75,5.612363
76,-27.472149
77,35.25408
78,-38.41844
79,0.59774876
80,-34.552494
81,8.151368
82,-20.665771
83,32.993008
84,25.543993
85,-26.91381
86,0.5616207
87,-31.063715
88,5.5711174
89,30.386023
90,-6.441206
91,18.113247
92,-6.3784037
93,-24.8919
94,52.54181
95,2.551075
96,29.617002
97,35.747433
98,-19.471588
99,8.205635
100,-1.8693771
101,15.709061
102,-26.447777
103,33.802475
104,0.20955849
105,0.88526154
106,-18.515558
107,20.31877
108,29.13105
109,9.539704
110,39.722996
111,12.756989
112,22.308739
113,3.6089983
114,21.615532
115,-0.9848347
116,-15.115417
117,40.3392
118,6.2614937
119,2.7153206
120,-6.852831
121,49.18301
122,-7.0597916
123,-22.651428
124,-0.0498209
125,48.778065
126,27.713724
127,-0.6988449
128,-26.078388
129,2.0094166
130,24.611012
131,28.896645
132,6.1219425
133,-0.8019409
134,10.347361
135,-27.006693
136,-11.821396
137,-4.0870056
138,-10.217375
139,18.04548
140,-18.31592
141,-24.93278
142,28.721594
143,-20.434237
144,26.797237
145,38.730488
146,21.63388
147,17.817337
148,53.86232
149,8.67132
150,-21.473656
151,-2.0314026
152,24.485432
