,Pred
0,49.322983
1,18.037025
2,-218.1496
3,-44.865562
4,-464.11978
5,-171.26752
6,-205.21286
7,-264.67545
8,-170.40591
9,262.09283
10,208.92604
11,193.70792
12,134.35693
13,-81.893326
14,245.37537
15,182.67488
16,-179.8467
17,-314.1124
18,44.116398
19,252.46516
20,250.96387
21,-100.61344
22,-103.49214
23,-78.59083
24,-183.77083
25,181.88367
26,-123.651146
27,372.39642
28,57.928703
29,-161.60886
30,-93.10176
31,294.67838
32,30.555933
33,225.05551
34,-30.953821
35,44.139595
36,235.2793
37,-74.673325
38,401.5642
39,-386.89294
40,-187.51492
41,-201.9925
42,-2.808903
43,-24.740208
44,-123.96245
45,-235.16086
46,10.451442
47,-89.199135
48,217.57133
49,-199.79826
50,63.32891
51,173.82236
52,108.71964
53,-43.848103
54,261.13965
55,-134.41328
56,-74.42607
57,13.049245
58,-319.9342
59,38.108078
60,10.133852
61,46.31879
62,-274.49786
63,134.89883
64,-142.23027
65,211.72363
66,217.53038
67,-33.65415
68,-110.68924
69,-109.385025
70,116.48891
71,-173.09697
72,144.88486
73,71.40288
74,-153.92462
75,-6.068269
76,-266.62265
77,136.32802
78,-151.19911
79,-93.012184
80,-124.3852
81,54.65662
82,42.32229
83,-218.96312
84,207.92972
85,-128.1943
86,-107.749374
87,-140.76808
88,98.66296
89,30.89123
90,213.5653
91,-5.638621
92,67.852036
93,-93.49889
94,229.50818
95,31.778177
96,-58.623005
97,51.33951
98,-256.45245
99,10.454029
100,-96.56277
101,83.45029
102,-201.43274
103,87.363266
104,108.95814
105,-251.87721
106,-229.77823
107,-205.50604
108,84.28319
109,53.4325
110,201.24417
111,-100.36328
112,36.830006
113,-13.68679
114,46.40204
115,7.411335
116,-21.34346
117,176.7389
118,-20.460182
119,11.685204
120,-19.15073
121,39.958282
122,41.43801
123,-197.56055
124,96.44444
125,204.4708
126,147.82323
127,-155.64499
128,-97.69142
129,-4.3592896
130,-3.0062916
131,69.68072
132,-65.02613
133,3.7692995
134,-14.650918
135,-207.9616
136,-351.38055
137,-6.9209366
138,37.868988
139,-66.68681
140,-139.13422
141,-93.590416
142,130.88754
143,-57.862988
144,396.59305
145,77.76766
146,20.873003
147,136.0154
148,448.7896
149,-50.938217
150,-61.495342
151,-199.53304
152,17.85983
153,-112.09775
154,-92.56537
155,2.6025662
156,307.97308
157,-85.66387
158,-255.307
159,135.16475
160,-59.169323
161,309.81644
162,-238.3262
163,38.072548
164,176.21759
165,121.44762
166,71.43517
167,182.30301
168,87.03263
169,-131.5347
170,174.79066
171,-277.98175
172,43.034077
173,-20.52639
174,-5.113544
175,-85.223305
176,-234.83524
177,163.28601
178,-210.35228
179,178.39474
180,-45.399586
181,72.9057
182,295.63312
183,11.927887
184,-141.94057
185,113.1638
186,-31.803768
187,-78.09291
188,-19.017525
189,17.54404
190,273.2566
191,-64.633064
192,-2.9117987
193,278.33096
194,-33.000618
195,108.93889
196,-190.26625
197,-48.006588
198,498.55847
199,64.53466
200,375.40335
201,-108.786575
202,302.46454
203,-107.25171
204,151.7615
205,11.607613
206,174.1987
207,-96.97224
208,149.3307
209,190.45357
210,-167.40865
211,-74.023636
212,-9.427629
213,-186.53644
214,79.95839
215,-84.65268
216,358.29013
217,23.979088
218,-16.722666
219,-38.900383
220,77.98686
221,-130.67911
222,-83.55228
223,138.51591
224,99.917564
225,-429.90628
226,54.16946
227,-24.559275
228,169.57742
229,248.31659
230,132.66536
231,-37.561813
232,-51.701614
233,-217.94339
234,-342.08038
235,-124.72345
236,-462.4753
237,88.42107
238,-38.074368
239,-104.06103
240,-119.53942
241,-89.9098
242,-45.52538
243,-98.42682
244,134.99902
245,-5.6813755
246,7.277882
247,-335.58792
248,31.239346
249,331.1848
250,-227.29599
251,229.9486
252,150.47325
253,190.45006
254,-64.77046
255,180.44745
256,81.53853
257,407.25708
258,209.64626
259,-69.932846
260,-68.08418
261,48.78596
262,-0.25158936
263,146.80211
264,-90.52266
265,-188.94298
266,47.02216
267,-28.191006
268,77.15609
269,-141.59416
270,259.22037
271,-68.90138
272,-11.030841
273,-118.83978
274,125.91418
275,-17.320908
276,23.137344
277,4.445707
278,26.950153
279,52.641956
280,-14.477034
281,82.785225
282,89.32206
283,57.199753
284,-48.96379
285,-375.30096
286,3.4084837
287,86.04927
288,-184.63452
289,131.77525
290,188.35533
291,7.353371
292,61.57393
293,170.65321
294,-83.901245
295,55.86092
296,-30.749887
297,-68.049576
298,203.30673
299,156.20995
300,55.86439
301,4.440269
302,140.14722
303,-76.408554
304,-94.83333
305,14.895747
306,76.38997
307,272.43564
308,-85.519104
309,23.302382
310,282.92023
311,4.251715
312,13.207952
313,314.3796
314,280.48776
315,230.28659
316,66.68538
317,270.6636
318,71.19436
319,-274.851
320,14.70754
321,234.35114
322,-53.010567
323,-187.13727
324,-216.89903
325,129.87709
326,0.0762434
327,148.48807
328,-113.69571
329,-144.23013
330,57.70901
331,-138.49287
332,-120.9669
333,-62.963394
334,209.63399
335,-64.099655
336,242.6213
337,59.909725
338,37.01691
339,95.49584
340,190.38062
341,113.677826
342,74.4156
343,-279.7499
344,-102.6219
345,105.52551
346,11.552422
347,35.269627
348,93.51735
349,32.884087
350,-43.99524
351,129.95547
352,-95.53728
353,236.63516
354,154.10707
355,35.6411
356,-147.31113
357,-58.400032
358,75.28106
359,71.439316
360,-44.21089
361,49.628544
362,-30.849913
363,284.91702
364,-486.25476
365,-35.335125
366,127.043686
367,-157.86212
368,-246.775
369,75.00185
370,-144.73306
371,-171.99568
372,76.15748
373,60.770874
374,110.46628
375,-93.25472
376,123.469666
377,-167.82773
378,28.862305
379,143.87527
380,72.90058
381,-81.97972
382,0.14828742
383,298.91153
384,-43.614822
385,109.75504
386,-151.62778
387,-86.813446
388,44.115753
389,-62.41761
390,121.69886
391,104.52198
392,383.8296
393,84.78155
394,127.73153
395,69.00507
396,16.995857
397,-42.149117
398,-79.4765
399,-146.95702
400,68.96186
401,294.51663
402,191.13538
403,-77.697075
404,43.705265
405,-35.508987
406,10.200891
407,149.22606
408,-464.3322
