,Pred
0,205.49593
1,159.3087
2,52.905495
3,-2.3886185
4,-259.2288
5,-120.42563
6,-246.16681
7,-21.547302
8,-29.582226
9,-62.205055
10,164.4052
11,33.795677
12,-98.04144
13,50.412666
14,164.67694
15,1.098917
16,136.37187
17,152.52934
18,-29.764343
19,146.64651
20,45.586365
21,195.69452
22,-31.855425
23,-174.83498
24,191.5447
25,-60.12095
26,-148.5294
27,91.68264
28,63.932148
29,35.111107
30,76.75803
31,-95.2924
32,138.92316
33,104.8522
34,185.15146
35,-119.23157
36,116.5271
37,-58.41066
38,-69.93689
39,-12.75658
40,347.33264
41,205.97655
42,-171.62848
43,41.976906
44,-114.351746
45,161.49132
46,257.25552
47,-175.17879
48,-150.82884
49,126.318085
50,13.61631
51,-167.32356
52,183.89677
53,68.50557
54,58.87995
55,45.4473
56,136.34187
57,-105.949
58,-445.70895
59,174.45706
60,-211.7168
61,-39.024887
62,158.24478
63,206.93408
64,268.52722
65,-1.8808241
66,432.23746
67,293.5245
68,-116.11722
69,215.04652
70,44.546726
71,130.69168
72,-267.8394
73,-143.13115
74,-54.798004
75,-91.051834
76,76.96627
77,142.1623
78,-134.1652
79,40.813705
80,-66.2944
81,-70.19995
82,117.86745
83,-3.3981996
84,164.67441
85,122.51074
86,11.3643875
87,191.20906
88,120.536316
89,278.57352
90,-251.36528
91,153.24042
92,-293.41724
93,-239.1974
94,129.85623
95,230.5362
96,2.1136136
97,301.08798
98,-174.85661
99,56.613503
100,86.99131
101,143.4049
102,-307.86002
103,11.832387
104,115.523834
105,-41.67259
106,115.98038
107,178.86449
108,-35.007355
109,149.45776
110,-440.76065
111,-102.34791
112,10.16489
113,-36.877132
114,-344.50226
115,2.2077122
116,-22.956882
117,349.97925
118,71.59905
119,-57.68874
120,-161.0171
121,-168.50638
122,-2.7956066
123,180.3738
124,-70.605385
125,163.48465
126,25.763443
127,-39.877937
128,-134.90503
129,-131.44566
130,85.13998
131,8.549679
132,-89.01005
