,Pred
0,154.12054
1,88.463646
2,57.428074
3,3.2802534
4,-212.83553
5,-92.93996
6,-169.0305
7,-55.305374
8,75.11437
9,24.934729
10,86.543655
11,26.406548
12,-60.022903
13,20.89088
14,135.3793
15,-20.519812
16,72.22772
17,159.27225
18,-36.622746
19,105.7198
20,48.466984
21,68.87616
22,-44.787384
23,-162.59962
24,120.97481
25,-23.140993
26,-56.442207
27,83.78078
28,19.068193
29,2.0840273
30,74.239136
31,-108.4818
32,98.66729
33,93.43896
34,104.60248
35,-84.25319
36,93.90648
37,-32.169212
38,-89.09658
39,21.0938
40,230.39334
41,163.18329
42,-139.88573
43,72.98453
44,-87.5685
45,82.75931
46,211.99597
47,-179.70853
48,-134.78902
49,118.3712
50,14.243187
51,-151.95308
52,127.56845
53,84.397064
54,95.47003
55,58.41814
56,97.7751
57,-82.86784
58,-259.81854
59,118.45588
60,-161.41945
61,-76.64957
62,107.87951
63,212.31909
64,181.91301
65,66.919586
66,238.79869
67,157.82649
68,-100.43272
69,150.86676
70,74.239136
71,98.93793
72,-153.04588
73,-159.14987
74,-3.4221225
75,0.3254795
76,58.251762
77,85.47572
78,-146.18547
79,-15.063383
80,-20.519812
81,-40.292953
82,71.45503
83,-26.774195
84,85.49545
85,82.743546
86,3.392861
87,184.96902
88,57.580753
89,195.2955
90,-238.24841
91,84.151276
92,-203.3478
93,-189.83235
94,84.71124
95,140.41077
96,68.52268
97,221.0918
98,-116.49813
99,77.49518
100,6.0872946
101,93.62564
102,-209.4245
103,-38.837734
104,103.99274
105,-35.451313
106,32.870987
107,127.66757
108,-16.834505
109,105.877716
110,-250.3032
111,-46.263454
112,24.086231
113,-46.84945
114,-222.78552
115,-64.11333
116,25.11037
117,236.78825
118,25.739822
119,-77.8661
120,-98.142395
121,-116.24662
122,49.662777
123,121.44203
124,7.5507307
125,90.86902
126,28.128262
127,-6.8729115
128,-115.87373
129,-56.73741
130,63.677124
131,28.954308
132,-21.01071
133,-181.73137
134,-241.18785
135,44.626633
136,-83.12364
137,55.049484
138,-143.95023
139,45.074467
140,84.513954
141,203.3664
142,125.08243
143,130.12701
144,156.62004
145,76.56612
146,-63.310062
147,151.16603
148,170.35301
149,4.5043893
150,-75.4073
151,-36.469975
152,-37.658684
153,-66.5525
154,67.23029
155,-134.63342
156,252.40831
157,183.0317
158,-84.25319
159,-154.88759
160,155.8095
161,121.44203
162,-43.86396
163,8.430756
164,-53.333496
165,-59.365696
166,-3.6592388
167,-113.83243
168,-28.951931
169,-19.068161
170,91.06933
171,-263.61462
172,272.0253
173,-64.312225
174,15.292453
175,-33.081615
176,-28.206226
177,-200.86473
178,187.11928
179,-59.539165
180,-71.55679
181,-35.543617
182,-117.82601
183,78.42941
184,-170.46066
185,-6.8729115
186,-32.70265
187,178.58202
188,44.049034
189,148.51038
190,-88.683426
191,130.12701
192,-1.8418703
193,-174.37625
194,88.51531
195,-1.9479179
196,36.245396
197,60.64324
198,33.993294
199,-33.966652
200,-41.020515
201,-25.474483
202,75.11437
203,75.1421
204,57.588512
205,-11.691608
206,140.41077
207,6.0937405
208,185.7188
209,-30.399029
210,82.09839
211,1.8747977
212,140.41077
213,186.15808
214,87.984146
215,-19.452225
216,204.22333
217,139.64754
218,149.55159
219,-133.80626
220,125.052826
221,-197.82906
222,41.789207
