,Pred
0,204.96509
1,154.86948
2,66.766396
3,-6.588325
4,-261.5644
5,-119.13513
6,-245.72052
7,-32.06976
8,-24.929153
9,-47.024822
10,165.58109
11,32.721973
12,-97.25716
13,55.216576
14,150.33289
15,0.1342099
16,130.37206
17,148.02
18,-15.634475
19,147.7624
20,51.903854
21,192.74295
22,-34.89437
23,-181.7349
24,190.3515
25,-58.256004
26,-145.98958
27,96.13164
28,63.56425
29,32.276836
30,67.590706
31,-95.27067
32,135.37305
33,98.1831
34,181.5397
35,-121.91948
36,108.768936
37,-54.785404
38,-69.99389
39,-10.482391
40,354.24396
41,217.63022
42,-155.52835
43,49.600826
44,-117.68375
45,156.35033
46,266.1377
47,-186.55548
48,-150.40904
49,127.10661
50,12.258737
51,-173.86444
52,177.1476
53,72.11555
54,62.528755
55,40.539627
56,134.80858
57,-111.318115
58,-438.3389
59,176.19992
60,-209.14021
61,-41.815495
62,155.92082
63,206.07016
64,267.70493
65,-1.6920065
66,428.95013
67,295.18643
68,-125.80031
69,207.53763
70,37.111954
71,145.50998
72,-262.08392
73,-156.66673
74,-45.2861
75,-91.984604
76,77.50549
77,142.74132
78,-125.8885
79,53.483128
80,-64.100266
81,-77.888466
82,111.82286
83,-8.20165
84,165.07312
85,122.310555
86,8.793015
87,205.3281
88,116.32407
89,284.50513
90,-253.97122
91,155.47734
92,-291.08502
93,-241.5266
94,132.16837
95,227.26044
96,17.78979
97,296.02805
98,-177.45212
99,56.98207
100,89.404564
101,122.54501
102,-309.13556
103,-3.008417
104,108.15082
105,-40.92928
106,114.40518
107,176.702
108,-31.997252
109,142.28014
110,-433.40164
111,-103.02354
112,17.98575
113,-37.792526
114,-342.408
115,-9.796223
116,-19.292397
117,351.79538
118,69.18881
119,-57.618813
120,-151.5295
121,-167.34995
122,-1.1113021
123,181.70177
124,-68.24412
125,165.03995
126,25.990467
127,-40.604187
128,-144.40306
129,-133.04005
130,84.6354
131,10.814165
132,-82.89631
133,-177.92885
134,-416.5143
135,71.03983
136,-147.40338
137,83.96646
138,-141.8729
139,94.66284
140,165.38412
141,320.03296
142,108.16095
143,170.54495
144,234.89258
145,75.777954
146,-90.6785
147,127.906746
148,223.47084
149,-4.8396187
150,-60.753246
151,-31.478706
152,-81.84987
153,-102.09899
154,154.3298
155,-223.72316
156,389.6258
157,246.69576
158,-94.740295
159,-220.1837
160,141.20132
161,200.39505
162,-132.62512
163,12.801705
164,-93.21677
165,-38.85264
166,-55.01686
167,-135.79967
168,-19.410414
169,-141.94128
170,115.50384
171,-368.0641
172,441.66235
173,-38.151855
174,-57.626423
175,-91.17239
176,2.9352827
177,-234.54782
178,194.56543
179,-62.97532
180,-145.24796
181,-84.08181
182,-146.2347
183,129.24554
184,-229.4306
185,-53.386475
186,-29.422028
187,239.5009
188,88.84637
189,183.60072
190,-127.10063
191,133.71373
192,-39.15831
193,-260.05045
194,93.73614
195,-26.93821
196,67.39298
197,146.09923
198,62.815426
199,-82.88932
200,-96.87364
201,-19.231813
202,87.99498
203,127.09143
204,31.89184
205,54.88162
206,159.45645
207,5.6812067
208,222.57672
209,-58.221985
210,10.100245
211,33.531166
212,250.39622
213,229.26787
214,84.04204
215,-34.792145
216,258.6193
217,243.70319
218,249.71622
219,-180.2122
220,145.54913
221,-185.4881
222,56.356266
223,-149.61885
224,-32.61676
225,-102.79936
226,-16.575033
227,-114.856514
228,0.15188992
229,293.23108
230,-222.3593
231,152.44194
232,449.69342
233,-24.059927
234,101.41338
235,-103.24198
236,153.60262
237,-24.309246
238,-12.274048
239,14.265516
240,-228.04248
241,-266.85162
242,-45.819077
243,50.441418
244,103.86282
245,77.960175
246,23.541264
247,-134.77322
248,94.56521
249,-179.07715
250,49.479874
251,456.78497
252,209.99736
253,-157.89256
254,-151.61713
255,-286.44852
256,-187.07059
257,-54.696835
258,165.72443
259,6.7338243
260,-90.806
261,-167.37543
262,59.994545
263,-41.37081
264,142.29768
265,-50.488182
266,60.854958
267,-10.296606
268,-41.926373
269,-161.48572
270,205.73853
271,159.33499
272,170.05074
273,-111.05428
274,-121.83489
275,163.56728
276,-207.72488
277,80.288536
278,18.045122
279,89.54452
280,-153.15067
281,157.15787
282,-133.93542
283,-198.11966
284,-86.92087
285,46.32891
286,81.82558
287,-245.82016
288,-14.930423
289,37.79254
290,143.34673
291,24.127958
292,-4.385024
293,110.58529
294,76.98825
295,31.979439
296,48.440826
297,100.90489
298,68.90267
299,-266.4831
300,179.64677
301,247.70958
302,236.99646
303,159.63396
304,-97.892105
305,-87.75971
306,197.61728
307,-82.555855
308,129.30237
309,-25.823692
310,-117.62505
311,-235.07951
312,127.084435
313,148.37386
314,294.9679
315,11.090643
316,151.09357
317,420.5907
318,52.135
319,-123.87888
320,-171.70273
321,-16.989143
322,25.390575
323,-182.16626
324,-66.784325
325,154.3985
326,2.3128753
327,-320.35474
328,160.82753
329,51.813175
330,-258.8616
331,-10.696912
332,71.129684
333,-33.157516
334,166.08755
335,314.06906
336,-143.02837
337,-100.66979
338,-230.4601
339,-19.947212
340,368.91736
341,75.72017
342,-164.15063
343,-113.335915
344,-50.567677
345,-76.08406
346,-13.006497
347,24.859308
348,66.53456
349,194.52553
350,134.2561
351,-338.5056
352,256.0005
353,39.634598
354,-94.897484
355,-149.25055
356,-75.996765
357,-107.54672
358,165.3872
359,-40.096813
360,-66.43988
361,27.173271
362,-119.47952
363,-97.089745
364,310.84314
365,71.06144
366,41.82953
367,118.143005
368,187.30669
369,-48.14702
370,-9.251332
371,-175.32025
372,86.72483
373,211.60207
374,-71.54927
375,113.56656
376,-3.850144
377,26.325544
378,-157.63893
379,47.407406
380,118.01776
381,233.14859
382,-90.21738
383,-163.9585
384,-320.57608
385,-79.959785
386,54.36103
387,-77.927246
388,186.61717
389,53.154102
390,94.22543
391,44.49594
392,71.43599
393,-179.17291
394,150.10014
395,-204.46552
396,-119.4682
397,225.45573
398,-157.00584
399,-139.61943
400,-130.09496
401,-277.7051
402,211.16364
403,-3.1511302
404,-143.45529
405,-87.44626
406,-16.219162
407,-121.740326
408,-265.57663
409,179.47337
410,-303.30386
411,232.23665
412,-183.35822
413,-222.42787
414,335.769
415,-144.3546
416,130.98334
417,11.179218
418,-149.40819
419,67.06852
420,65.2876
421,-101.26482
422,-151.50752
423,9.501011
424,-63.16935
425,-80.01777
426,91.36238
427,419.5612
428,-171.80652
429,-118.82528
430,1.5059513
431,229.21654
432,12.807366
433,-289.27646
434,45.458897
435,-16.014343
436,94.46066
437,10.472295
438,82.66776
439,78.44834
440,276.48734
441,337.473
442,157.85666
443,222.56917
444,-10.299879
445,114.856636
446,355.60638
447,-120.548546
448,-51.206837
449,-139.1357
450,-15.62165
451,-104.60647
452,-76.16761
453,235.98418
454,-127.67512
455,52.548416
456,-6.8105335
457,-198.80588
458,103.83822
459,296.47086
460,151.61981
461,25.46953
462,47.52521
463,484.7304
464,18.205256
465,-337.8464
466,-130.98415
467,217.17241
468,4.71796
469,-32.652924
470,-218.40016
471,-120.832466
472,-129.77151
473,65.27892
474,335.7835
475,10.911489
476,-389.54324
477,-368.45346
478,206.9996
479,-18.979664
480,-237.47179
481,-239.31537
482,31.099579
483,-314.58752
484,-74.181885
485,308.59558
486,252.13884
487,40.84174
488,-300.71494
489,20.543713
490,39.443718
491,-115.12896
492,89.29591
493,-203.257
494,461.8018
495,256.11023
496,-220.74593
497,-217.56798
498,101.15266
499,188.31606
500,25.605413
501,19.292812
502,-286.61957
503,-89.78067
504,-190.75168
505,48.197033
506,134.80731
507,176.72812
508,52.149616
509,116.424805
510,-34.534664
511,-174.82484
