,Pred
0,0.5468447
1,0.36263645
2,0.5561858
3,0.44497207
4,0.40960214
5,0.23399702
6,0.5483926
7,0.36897382
8,0.418138
9,0.3971314
10,0.6342795
11,0.50475883
12,0.56420434
13,0.53274757
14,0.6516627
15,0.45750105
16,1.0529497
17,0.49799526
18,0.4291299
19,0.34586704
20,0.55881894
21,0.47323674
22,0.5680378
23,0.6102489
24,0.84191096
25,0.46205497
26,0.32586107
27,0.27366868
28,0.5064668
29,0.4374299
30,0.4192202
31,0.5680378
32,0.49633926
33,0.2660694
34,0.42965418
35,0.6174657
36,0.55140704
37,0.44791913
38,0.67649674
39,0.5680378
40,0.4473114
41,0.7529136
42,0.7982499
43,0.5396761
44,0.45843
45,0.64225507
46,0.3505334
47,0.52614486
48,0.7169554
49,0.566664
50,0.45165238
51,0.48987937
52,0.5364904
53,0.7832222
54,0.30338132
55,0.38939187
56,0.35245478
57,0.48255005
58,0.25498086
59,0.41126007
60,0.4302328
61,0.55003214
62,0.796141
63,0.68091786
64,0.6607176
65,0.4391473
66,0.39741588
67,0.3657707
68,0.32027107
69,0.39386886
70,0.4696149
71,0.52147484
72,0.57853746
73,0.2909128
74,0.4975853
75,0.31999058
76,0.5680378
77,0.39700362
78,0.56423205
79,0.24045426
80,0.451315
81,0.457044
82,0.3876217
83,0.8025039
84,0.47547078
85,0.40890852
86,0.5005722
87,0.5895368
88,0.33456224
89,0.33710867
90,0.59262145
91,0.54331124
92,0.53499377
93,0.48596525
94,0.44222468
95,0.5680378
96,0.3511669
97,0.38263953
98,0.2621448
99,0.5680378
100,0.61122704
101,0.48066306
102,0.65548277
103,0.25266856
104,0.52803123
105,0.49820265
106,0.70957994
107,0.30214682
108,0.06545119
109,0.42035857
110,0.86154854
111,0.38764912
112,0.55724394
113,0.3071724
114,0.50736517
115,0.5621563
116,0.5517163
117,0.5680378
118,0.5732285
119,0.42494157
120,0.4054168
121,0.22035114
122,0.44368988
123,0.5895394
124,0.71816874
125,0.5680378
126,0.36914718
127,0.52768975
