,Pred
0,16.722328
1,9.364992
2,-118.8399
3,0.022664905
4,59.30906
5,-70.52499
6,-92.70202
7,173.87125
8,36.79996
9,-39.974953
10,310.19473
11,29.701303
12,93.58829
13,-67.41763
14,59.498554
15,-12.674642
16,59.02915
17,39.05973
18,-114.307396
19,314.07086
20,-85.9364
21,120.91473
22,72.251564
23,-241.64154
24,151.01315
25,-78.543335
26,142.69252
27,-128.43948
28,100.166885
29,-181.78783
30,-52.677303
31,-185.0552
32,61.2874
33,-90.83022
34,85.82662
35,48.74309
36,-13.053089
37,127.57708
38,123.74247
39,33.808098
40,17.78413
41,116.68779
42,138.83191
43,-239.39845
44,-173.03833
45,109.30022
46,103.12227
47,103.6696
48,-254.13016
49,26.315805
50,103.652336
51,32.748226
52,-100.19849
53,162.28493
54,121.45414
55,-45.303585
56,88.14041
57,-174.22766
58,32.73586
59,-230.07016
60,-35.201893
61,57.029465
62,118.65706
63,60.48496
64,-64.9932
65,-40.11588
66,2.2747762
67,36.326088
68,20.9426
69,11.836319
70,-24.962116
71,-44.63555
72,-346.69302
73,74.13826
74,-127.56532
75,217.2878
76,-308.3275
77,-108.261856
78,-62.14304
79,-37.36943
80,-45.95259
81,40.61884
82,73.08533
83,77.25559
84,-44.812737
85,-152.58633
86,-259.2641
87,241.09691
88,-77.41999
89,-35.797646
90,129.59048
91,-50.313904
92,-204.89565
93,56.326122
94,17.38199
95,-9.513628
96,-2.789939
97,-118.91031
98,-106.21856
99,164.97253
100,0.320601
101,-39.405125
102,56.015022
103,39.007256
104,74.324646
105,199.57065
106,208.97932
107,-65.27529
108,-240.4704
109,66.003944
110,-162.76096
111,164.43776
112,-136.8317
113,142.58893
114,163.68541
115,-73.23636
116,-91.63394
117,99.43688
118,55.060947
119,52.210953
120,-125.060524
121,-95.63141
122,-139.27771
123,-116.90813
124,111.83448
125,-31.335453
126,-156.6841
127,49.88382
