,Pred
0,13.385737
1,14.042286
2,10.6525755
3,13.17604
4,14.071494
5,14.31084
6,11.774162
7,15.968738
8,13.408383
9,12.684104
10,14.795915
11,13.501106
12,13.872578
13,12.975471
14,13.482097
15,12.879425
16,14.189741
17,13.34006
18,12.478248
19,17.031252
20,12.14798
21,14.856063
22,13.53098
23,11.662453
24,15.808997
25,11.948502
26,16.33535
27,12.028644
28,14.766214
29,10.868207
30,12.937982
31,11.144474
32,13.592937
33,12.2032175
34,15.31067
35,13.865604
36,11.970249
37,15.129425
38,15.87492
39,12.731194
40,13.667612
41,14.928257
42,15.069978
43,10.596493
44,10.474491
45,15.108104
46,15.622591
47,15.710673
48,12.366115
49,13.09781
50,15.27143
51,13.475688
52,12.216935
53,16.134336
54,15.987562
55,13.116275
56,15.445923
57,12.510195
58,14.255829
59,10.766773
60,12.5339985
61,14.357036
62,15.636235
63,13.186569
