,Pred
0,476503.28
1,418087.03
2,376163.9
3,393916.8
4,197511.42
5,197511.42
6,256795.11
7,256795.11
8,135692.89
9,256795.11
10,197511.42
11,256795.11
12,256795.11
13,135692.89
14,135692.89
15,135692.89
16,135692.89
17,135692.89
18,135692.89
19,135692.89
20,135692.89
21,135692.89
22,135692.89
23,135692.89
24,135692.89
25,135692.89
26,135692.89
27,135692.89
28,135692.89
29,135692.89
30,135692.89
31,135692.89
32,135692.89
33,135692.89
34,135692.89
35,135692.89
36,135692.89
37,135692.89
38,197511.42
39,135692.89
40,135692.89
41,135692.89
42,135692.89
43,197511.42
44,135692.89
45,135692.89
46,135692.89
47,135692.89
48,135692.89
49,135692.89
50,135692.89
51,135692.89
52,135692.89
53,135692.89
54,135692.89
55,135692.89
56,135692.89
57,135692.89
58,135692.89
59,135692.89
60,197511.42
61,90200.0
62,135692.89
63,135692.89
64,135692.89
65,135692.89
66,135692.89
67,135692.89
68,135692.89
69,135692.89
70,135692.89
71,135692.89
72,135692.89
73,135692.89
74,135692.89
75,135692.89
76,135692.89
77,135692.89
78,135692.89
79,135692.89
80,135692.89
81,135692.89
82,135692.89
83,135692.89
84,135692.89
85,135692.89
86,135692.89
87,135692.89
88,135692.89
89,135692.89
90,135692.89
91,135692.89
92,135692.89
93,135692.89
94,135692.89
95,135692.89
96,135692.89
97,135692.89
98,135692.89
99,135692.89
100,135692.89
101,196374.61
102,197511.42
103,135692.89
104,135692.89
105,272297.66
106,256795.11
107,197511.42
108,256795.11
109,196374.61
110,334736.56
111,135692.89
112,135692.89
113,256795.11
114,196374.61
115,197511.42
116,135692.89
117,256795.11
118,393916.8
119,334736.56
120,393916.8
121,196374.61
122,393916.8
123,334736.56
124,376163.9
125,255652.77
126,376163.9
127,393916.8
128,376163.9
129,365889.9
130,376163.9
131,488950.06
132,376163.9
133,376163.9
134,418087.03
135,418087.03
136,376163.9
137,476503.28
138,376163.9
139,393916.8
140,310242.03
141,376163.9
142,393916.8
143,135692.89
144,196374.61
145,334736.56
146,393916.8
147,197511.42
148,135692.89
149,272297.66
150,272297.66
151,334736.56
152,256795.11
153,272297.66
154,476503.28
155,476503.28
156,376163.9
157,393916.8
158,376163.9
159,135692.89
160,135692.89
161,135692.89
162,256795.11
163,256795.11
164,135692.89
165,135692.89
166,135692.89
167,135692.89
168,135692.89
169,135692.89
170,135692.89
171,135692.89
172,135692.89
173,135692.89
174,135692.89
175,135692.89
176,135692.89
177,135692.89
178,135692.89
179,135692.89
180,135692.89
181,135692.89
182,135692.89
183,135692.89
184,135692.89
185,135692.89
186,135692.89
187,135692.89
188,135692.89
189,135692.89
190,197511.42
191,135692.89
192,135692.89
193,135692.89
194,197511.42
195,135692.89
196,135692.89
197,135692.89
198,135692.89
199,135692.89
200,135692.89
201,135692.89
202,135692.89
203,135692.89
204,135692.89
205,135692.89
206,135692.89
207,135692.89
208,135692.89
209,135692.89
210,197511.42
211,256795.11
212,197511.42
213,135692.89
214,135692.89
215,135692.89
216,135692.89
217,135692.89
218,135692.89
219,135692.89
220,135692.89
221,197511.42
222,272297.66
223,272297.66
224,256795.11
225,334736.56
226,272297.66
227,272297.66
228,272297.66
229,135692.89
230,272297.66
231,197511.42
232,197511.42
233,272297.66
234,135692.89
235,135692.89
236,135692.89
237,135692.89
238,135692.89
239,135692.89
240,135692.89
241,135692.89
242,135692.89
243,135692.89
244,135692.89
245,135692.89
246,135692.89
247,135692.89
248,135692.89
249,135692.89
250,135692.89
251,135692.89
252,272297.66
253,135692.89
254,135692.89
255,135692.89
256,135692.89
257,135692.89
258,135692.89
259,135692.89
260,197511.42
261,197511.42
262,135692.89
263,135692.89
264,135692.89
265,135692.89
266,197511.42
267,197511.42
268,272297.66
269,197511.42
270,196374.61
271,221900.0
272,197511.42
273,272297.66
274,221900.0
275,376163.9
276,197511.42
277,135692.89
278,135692.89
279,334736.56
280,310242.03
281,291171.66
282,341450.3
283,291171.66
284,197511.42
285,135692.89
286,197511.42
287,197511.42
288,197511.42
289,272297.66
290,272297.66
291,272297.66
292,197511.42
293,197511.42
294,197511.42
295,135692.89
296,135692.89
297,135692.89
298,135692.89
299,135692.89
300,135692.89
301,197511.42
302,135692.89
303,135692.89
304,135692.89
305,135692.89
306,135692.89
307,135692.89
308,256795.11
309,135692.89
310,135692.89
311,135692.89
312,135692.89
313,135692.89
314,135692.89
315,135692.89
316,135692.89
317,135692.89
318,135692.89
319,135692.89
320,135692.89
321,135692.89
322,135692.89
323,135692.89
324,135692.89
325,135692.89
326,135692.89
327,135692.89
328,135692.89
329,135692.89
330,135692.89
331,135692.89
332,135692.89
333,135692.89
334,135692.89
335,135692.89
336,135692.89
337,135692.89
338,135692.89
339,197511.42
340,135692.89
341,135692.89
342,135692.89
343,135692.89
344,135692.89
345,135692.89
346,135692.89
347,135692.89
348,135692.89
349,135692.89
350,135692.89
351,135692.89
352,135692.89
353,197511.42
354,135692.89
355,272297.66
356,135692.89
357,393916.8
358,196374.61
359,255652.77
360,255652.77
361,376163.9
362,376163.9
363,196374.61
364,376163.9
365,196374.61
366,255652.77
367,272297.66
368,135692.89
369,197511.42
370,197511.42
371,197511.42
372,135692.89
373,135692.89
374,197511.42
375,197511.42
376,135692.89
377,196374.61
378,135692.89
379,135692.89
380,197511.42
381,197511.42
382,272297.66
383,135692.89
384,135692.89
385,197511.42
386,334736.56
387,197511.42
388,196374.61
389,197511.42
390,135692.89
391,196374.61
392,135692.89
393,272297.66
394,272297.66
395,135692.89
396,256795.11
397,197511.42
398,322090.9
399,334736.56
400,272297.66
401,334736.56
402,393916.8
403,476503.28
404,476503.28
405,393916.8
406,376163.9
407,476503.28
408,376163.9
409,488950.06
410,272297.66
411,393916.8
412,272297.66
413,334736.56
414,272297.66
415,376163.9
416,334736.56
417,476503.28
418,393916.8
419,393916.8
420,393916.8
421,376163.9
422,393916.8
423,393916.8
424,393916.8
425,272297.66
426,197511.42
427,135692.89
428,272297.66
429,272297.66
430,197511.42
431,197511.42
432,256795.11
433,135692.89
434,197511.42
435,135692.89
436,135692.89
437,135692.89
438,135692.89
439,135692.89
440,135692.89
441,135692.89
442,197511.42
443,197511.42
444,135692.89
445,135692.89
446,197511.42
447,135692.89
448,135692.89
449,135692.89
450,135692.89
451,135692.89
452,135692.89
453,272297.66
454,135692.89
455,135692.89
456,322090.9
457,135692.89
458,135692.89
459,135692.89
460,135692.89
461,135692.89
462,135692.89
463,135692.89
464,135692.89
465,197511.42
466,197511.42
467,135692.89
468,135692.89
469,135692.89
470,135692.89
471,135692.89
472,135692.89
473,135692.89
474,135692.89
475,135692.89
476,135692.89
477,135692.89
478,197511.42
479,135692.89
480,135692.89
481,135692.89
482,197511.42
483,135692.89
484,135692.89
485,135692.89
486,135692.89
487,135692.89
488,256795.11
489,135692.89
490,376163.9
491,334736.56
492,135692.89
493,476503.28
494,488950.06
495,334736.56
496,256795.11
497,135692.89
498,135692.89
499,135692.89
500,135692.89
501,135692.89
502,135692.89
503,135692.89
504,135692.89
505,135692.89
506,135692.89
507,135692.89
508,196374.61
509,476503.28
510,488950.06
511,488950.06
512,488950.06
513,476503.28
514,488950.06
515,393916.8
516,476503.28
517,476503.28
518,393916.8
519,393916.8
520,334736.56
521,272297.66
522,322090.9
523,135692.89
524,197511.42
525,197511.42
526,135692.89
527,197511.42
528,197511.42
529,272297.66
530,197511.42
531,135692.89
532,135692.89
533,197511.42
534,197511.42
535,255652.77
536,135692.89
537,135692.89
538,135692.89
539,135692.89
540,135692.89
541,196374.61
542,255652.77
543,135692.89
544,135692.89
545,334736.56
546,272297.66
547,135692.89
548,256795.11
549,197511.42
550,272297.66
551,272297.66
552,197511.42
553,135692.89
554,135692.89
555,135692.89
556,135692.89
557,334736.56
558,272297.66
559,256795.11
560,135692.89
561,393916.8
562,197511.42
563,272297.66
564,196374.61
565,135692.89
566,256795.11
567,272297.66
568,196374.61
569,196374.61
570,341450.3
571,196374.61
572,256795.11
573,196374.61
574,196374.61
575,196374.61
576,341450.3
577,341450.3
578,196374.61
579,334736.56
580,196374.61
581,255652.77
582,365889.9
583,255652.77
584,255652.77
585,255652.77
586,365889.9
587,196374.61
588,196374.61
589,196374.61
590,255652.77
591,196374.61
592,255652.77
593,365889.9
594,334736.56
595,196374.61
596,255652.77
597,272297.66
598,196374.61
599,196374.61
600,135692.89
601,196374.61
602,135692.89
603,135692.89
604,196374.61
605,196374.61
606,135692.89
607,197511.42
608,135692.89
609,196374.61
610,196374.61
611,256795.11
612,197511.42
613,272297.66
614,135692.89
615,272297.66
616,197511.42
617,272297.66
618,135692.89
619,197511.42
620,135692.89
621,197511.42
622,135692.89
623,197511.42
624,197511.42
625,196374.61
626,196374.61
627,196374.61
628,255652.77
629,256795.11
630,197511.42
631,196374.61
632,135692.89
633,256795.11
634,196374.61
635,196374.61
636,196374.61
637,135692.89
638,135692.89
639,197511.42
640,135692.89
641,272297.66
642,135692.89
643,197511.42
644,376163.9
645,418087.03
646,196374.61
647,196374.61
648,291171.66
649,197511.42
650,135692.89
651,197511.42
652,197511.42
653,197511.42
654,196374.61
655,135692.89
656,196374.61
657,256795.11
658,196374.61
659,196374.61
660,196374.61
661,196374.61
662,135692.89
663,196374.61
664,196374.61
665,196374.61
666,196374.61
667,196374.61
668,196374.61
669,196374.61
670,196374.61
671,135692.89
672,196374.61
673,196374.61
674,135692.89
675,196374.61
676,255652.77
677,196374.61
678,196374.61
679,196374.61
680,196374.61
681,334736.56
682,135692.89
683,196374.61
684,135692.89
685,135692.89
686,196374.61
687,135692.89
688,135692.89
689,135692.89
690,135692.89
691,196374.61
692,135692.89
693,135692.89
694,135692.89
695,135692.89
696,197511.42
697,135692.89
698,197511.42
699,135692.89
700,291171.66
701,310242.03
702,196374.61
703,196374.61
704,196374.61
705,255652.77
706,291171.66
707,255652.77
708,196374.61
709,196374.61
710,135692.89
711,135692.89
712,135692.89
713,135692.89
714,197511.42
715,197511.42
716,135692.89
717,135692.89
718,135692.89
719,196374.61
720,135692.89
721,135692.89
722,196374.61
723,135692.89
724,196374.61
725,135692.89
726,272297.66
727,196374.61
728,196374.61
729,197511.42
730,197511.42
731,272297.66
732,197511.42
733,196374.61
734,196374.61
735,255652.77
736,196374.61
737,196374.61
738,196374.61
739,196374.61
740,197511.42
741,196374.61
742,256795.11
743,196374.61
744,135692.89
745,135692.89
746,256795.11
747,197511.42
748,135692.89
749,365889.9
750,196374.61
751,196374.61
752,196374.61
753,196374.61
754,365889.9
755,341450.3
756,291171.66
757,135692.89
758,196374.61
759,135692.89
760,135692.89
761,135692.89
762,196374.61
763,135692.89
764,196374.61
765,196374.61
766,135692.89
767,135692.89
768,196374.61
769,196374.61
770,196374.61
771,196374.61
772,196374.61
773,196374.61
774,196374.61
775,196374.61
776,196374.61
777,196374.61
778,196374.61
779,135692.89
780,196374.61
781,196374.61
782,196374.61
783,196374.61
784,255652.77
785,196374.61
786,197511.42
787,196374.61
788,196374.61
789,196374.61
790,196374.61
791,255652.77
792,196374.61
793,255652.77
794,196374.61
795,196374.61
796,196374.61
797,196374.61
798,196374.61
799,135692.89
800,135692.89
801,196374.61
802,196374.61
803,196374.61
804,196374.61
805,196374.61
806,196374.61
807,196374.61
808,196374.61
809,310242.03
810,196374.61
811,196374.61
812,196374.61
813,196374.61
814,196374.61
815,196374.61
816,196374.61
817,196374.61
818,135692.89
819,196374.61
820,196374.61
821,196374.61
822,196374.61
823,135692.89
824,196374.61
825,196374.61
826,255652.77
827,196374.61
828,255652.77
829,196374.61
830,196374.61
831,196374.61
832,135692.89
833,196374.61
834,196374.61
835,255652.77
836,196374.61
837,196374.61
838,255652.77
839,291171.66
840,255652.77
841,196374.61
842,196374.61
843,255652.77
844,291171.66
845,291171.66
846,291171.66
847,196374.61
848,255652.77
849,255652.77
850,196374.61
851,196374.61
852,196374.61
853,196374.61
854,135692.89
855,196374.61
856,255652.77
857,135692.89
858,196374.61
859,196374.61
860,255652.77
861,196374.61
862,365889.9
863,291171.66
864,291171.66
865,255652.77
866,255652.77
867,291171.66
868,255652.77
869,291171.66
870,196374.61
871,291171.66
872,196374.61
873,255652.77
874,196374.61
875,196374.61
876,196374.61
877,196374.61
878,196374.61
879,196374.61
880,196374.61
881,196374.61
882,196374.61
883,196374.61
884,196374.61
885,196374.61
886,196374.61
887,135692.89
888,418087.03
889,291171.66
890,291171.66
891,365889.9
892,255652.77
893,196374.61
894,365889.9
895,196374.61
896,196374.61
897,196374.61
898,135692.89
899,196374.61
900,196374.61
901,255652.77
902,196374.61
903,196374.61
904,255652.77
905,196374.61
906,255652.77
907,196374.61
908,255652.77
909,196374.61
910,196374.61
911,196374.61
912,291171.66
913,255652.77
914,255652.77
915,196374.61
916,255652.77
917,255652.77
918,255652.77
919,196374.61
920,255652.77
921,196374.61
922,418087.03
923,488950.06
924,255652.77
925,255652.77
926,291171.66
927,341450.3
928,341450.3
929,196374.61
930,196374.61
931,196374.61
932,255652.77
933,255652.77
934,196374.61
935,196374.61
936,255652.77
937,196374.61
938,196374.61
939,196374.61
940,196374.61
941,255652.77
942,196374.61
943,291171.66
944,255652.77
945,196374.61
946,255652.77
947,255652.77
948,255652.77
949,196374.61
950,196374.61
951,196374.61
952,196374.61
953,341450.3
954,221900.0
955,418087.03
956,341450.3
957,291171.66
958,341450.3
959,196374.61
960,291171.66
961,291171.66
962,291171.66
963,291171.66
964,291171.66
965,341450.3
966,291171.66
967,291171.66
968,291171.66
969,291171.66
970,291171.66
971,341450.3
972,341450.3
973,196374.61
974,135692.89
975,221900.0
976,135692.89
977,488950.06
978,341450.3
979,255652.77
980,196374.61
981,291171.66
982,255652.77
983,196374.61
984,255652.77
985,255652.77
986,488950.06
987,272297.66
988,291171.66
989,196374.61
990,341450.3
991,255652.77
992,196374.61
993,291171.66
994,196374.61
995,196374.61
996,488950.06
997,196374.61
998,255652.77
999,196374.61
1000,196374.61
1001,196374.61
1002,196374.61
1003,196374.61
1004,196374.61
1005,255652.77
1006,196374.61
1007,255652.77
1008,196374.61
1009,196374.61
1010,255652.77
1011,135692.89
1012,135692.89
1013,197511.42
1014,272297.66
1015,255652.77
1016,291171.66
1017,255652.77
1018,291171.66
1019,196374.61
1020,196374.61
1021,291171.66
1022,135692.89
1023,135692.89
1024,196374.61
1025,196374.61
1026,135692.89
1027,196374.61
1028,135692.89
1029,135692.89
1030,135692.89
1031,135692.89
1032,196374.61
1033,135692.89
1034,196374.61
1035,135692.89
1036,197511.42
1037,196374.61
1038,196374.61
1039,196374.61
1040,135692.89
1041,196374.61
1042,196374.61
1043,196374.61
1044,135692.89
1045,135692.89
1046,135692.89
1047,196374.61
1048,135692.89
1049,135692.89
1050,135692.89
1051,196374.61
1052,196374.61
1053,196374.61
1054,135692.89
1055,196374.61
1056,135692.89
1057,135692.89
1058,135692.89
1059,135692.89
1060,135692.89
1061,196374.61
1062,196374.61
1063,196374.61
1064,135692.89
1065,135692.89
1066,135692.89
1067,197511.42
1068,135692.89
1069,135692.89
1070,135692.89
1071,135692.89
1072,135692.89
1073,196374.61
1074,135692.89
1075,196374.61
1076,196374.61
1077,135692.89
1078,135692.89
1079,135692.89
1080,135692.89
1081,135692.89
1082,135692.89
1083,135692.89
1084,135692.89
1085,135692.89
1086,135692.89
1087,135692.89
1088,135692.89
1089,135692.89
1090,135692.89
1091,135692.89
1092,196374.61
1093,196374.61
1094,196374.61
1095,196374.61
1096,135692.89
1097,196374.61
1098,135692.89
1099,135692.89
1100,135692.89
1101,196374.61
1102,135692.89
1103,135692.89
1104,135692.89
1105,135692.89
1106,135692.89
1107,135692.89
1108,135692.89
1109,135692.89
1110,135692.89
1111,135692.89
1112,135692.89
1113,135692.89
1114,135692.89
1115,135692.89
1116,135692.89
1117,135692.89
1118,135692.89
1119,135692.89
1120,135692.89
1121,135692.89
1122,135692.89
1123,196374.61
1124,135692.89
1125,135692.89
1126,135692.89
1127,135692.89
1128,135692.89
1129,135692.89
1130,135692.89
1131,135692.89
1132,135692.89
1133,135692.89
1134,135692.89
1135,135692.89
1136,135692.89
1137,135692.89
1138,196374.61
1139,135692.89
1140,135692.89
1141,135692.89
1142,135692.89
1143,135692.89
1144,135692.89
1145,135692.89
1146,135692.89
1147,135692.89
1148,135692.89
1149,135692.89
1150,135692.89
1151,135692.89
1152,135692.89
1153,135692.89
1154,196374.61
1155,135692.89
1156,196374.61
1157,135692.89
1158,196374.61
1159,135692.89
1160,135692.89
1161,135692.89
1162,135692.89
1163,135692.89
1164,135692.89
1165,135692.89
1166,135692.89
1167,135692.89
1168,135692.89
1169,135692.89
1170,135692.89
1171,135692.89
1172,135692.89
1173,135692.89
1174,135692.89
1175,135692.89
1176,135692.89
1177,135692.89
1178,135692.89
1179,135692.89
1180,135692.89
1181,135692.89
1182,135692.89
1183,196374.61
1184,135692.89
1185,135692.89
1186,135692.89
1187,135692.89
1188,135692.89
1189,135692.89
1190,135692.89
1191,135692.89
