,Pred
0,116247.59
1,302583.4
2,135641.89
3,134721.22
4,143182.81
5,124995.64
6,180405.64
7,200110.83
8,181854.64
9,215250.22
10,165182.02
11,215375.34
12,176043.03
13,118664.766
14,189657.52
15,133387.97
16,155121.02
17,138801.66
18,166039.4
19,142144.33
20,113623.49
21,147583.61
22,174626.36
23,149697.61
24,167247.0
25,106842.97
26,131094.08
27,159681.5
28,167626.9
29,117753.91
30,156119.36
31,167789.39
32,153476.98
33,147174.23
34,184170.77
35,133753.25
36,153526.19
37,151985.3
38,144345.61
39,192328.45
40,154653.03
41,128054.37
42,118594.484
43,126181.81
44,142298.73
45,152657.67
46,135867.77
47,126563.266
48,110732.945
49,131996.05
50,128770.75
51,155535.08
52,205563.38
53,155008.11
54,132776.58
55,127022.516
56,135361.73
57,138937.1
58,143370.5
59,77665.43
60,128643.24
61,96733.266
62,114523.15
63,127257.16
64,116540.76
65,125889.484
66,143281.11
67,123276.2
68,109138.84
69,191845.55
70,105157.68
71,128022.2
72,119067.586
73,89236.56
74,103995.67
75,133400.73
76,179978.64
77,117079.75
78,138452.23
79,110702.25
80,116605.19
81,100016.984
82,104802.336
83,110883.63
84,115717.12
85,115877.484
86,131745.64
87,114910.61
88,78291.71
89,103892.09
90,123778.15
91,105848.266
92,96247.805
93,125187.484
94,156548.81
95,363442.25
96,260008.86
97,95220.02
98,243953.38
99,229895.48
100,266294.56
101,305986.25
102,120133.375
103,178846.97
104,330958.44
105,141069.56
106,164848.64
107,157396.03
108,213768.02
109,207062.98
110,139515.89
111,233809.22
112,247870.64
113,176744.33
114,147546.06
115,138729.48
116,303114.47
117,250576.2
118,169398.81
119,188513.47
120,165967.27
121,96372.44
122,178272.42
123,202320.6
124,171931.22
125,256492.73
126,185639.38
127,201238.11
128,233861.14
129,152577.62
130,182110.95
131,126900.625
132,175445.92
133,240320.02
134,123863.1
135,129700.73
136,138705.98
137,140898.03
138,124250.44
139,198028.83
140,93691.766
141,165915.05
142,180032.36
143,187930.81
144,166166.78
145,136762.64
146,155044.86
147,170097.44
148,170191.8
149,184559.2
150,157200.56
151,188658.19
152,165517.11
153,137028.47
154,179494.64
155,159238.86
156,166884.66
157,141862.72
158,174477.0
159,168707.66
160,122096.74
161,170556.52
162,180033.3
163,207949.72
164,243003.53
165,188629.72
166,147925.2
167,187567.38
168,146738.02
169,160817.62
170,120140.07
171,147178.53
172,161918.67
173,184388.33
174,129691.96
175,150757.72
176,149170.4
177,172216.83
178,135490.06
179,159821.05
180,197418.27
181,121487.195
182,152553.52
183,157645.69
184,138602.14
185,304935.28
186,161982.27
187,123902.19
188,147585.48
189,141933.86
190,119638.195
191,149078.19
192,99525.45
193,104836.74
194,129075.5
195,176772.88
196,111003.17
197,135159.3
198,121856.52
199,111484.5
200,127830.25
201,166753.67
202,152033.2
203,132443.64
204,197678.5
205,152333.55
206,131636.16
207,172760.8
208,105060.22
209,118867.82
210,139845.98
211,214562.03
212,122812.25
213,177771.14
214,159741.86
215,198727.69
216,140532.08
217,142877.81
218,171209.67
219,149376.28
220,161226.22
221,160850.98
222,182044.4
223,143438.64
224,215643.98
225,153922.19
226,135206.0
227,141744.03
228,152582.2
229,124116.83
230,126606.43
231,160485.23
232,148271.61
233,176827.36
234,194639.61
235,149672.42
236,125261.53
237,159563.6
238,168328.67
239,166633.8
240,177446.44
241,142712.58
242,132486.19
243,128393.4
244,196606.16
245,153401.36
246,126596.14
247,108118.664
248,163068.56
249,162252.56
250,156590.03
251,143968.7
252,114712.39
253,118388.32
254,174085.78
255,142572.23
256,130041.06
257,127301.38
258,182299.64
259,144119.08
260,170139.72
261,150267.77
262,157290.12
263,174196.08
264,153723.11
265,124877.08
266,167184.89
267,169796.58
268,169924.47
269,163087.08
270,93043.7
271,130551.945
272,128065.07
273,149325.8
274,107365.25
275,132993.58
276,155991.7
277,133294.47
278,125339.55
279,138450.73
280,126357.13
281,151215.7
282,153880.5
283,477553.22
284,137896.67
285,201114.66
286,158604.75
287,144763.45
288,122555.65
289,114497.58
290,132050.12
291,123816.086
292,163489.11
293,141822.0
294,143212.47
295,165122.83
296,146270.4
297,159812.89
298,141107.98
299,147700.97
300,134224.47
301,120078.33
302,170606.98
303,110262.164
304,132483.05
305,155780.88
306,138020.58
307,188242.94
308,166851.58
309,154485.8
310,158442.73
311,133570.27
312,162974.92
313,152837.3
314,117001.03
315,126577.555
316,107587.18
317,190297.84
318,142677.89
319,161250.55
320,109817.76
321,130212.47
322,113681.98
323,107812.59
324,128972.23
325,113871.42
326,140324.42
327,121411.61
328,137650.23
329,109994.58
330,230189.31
331,153001.31
332,109278.78
333,117903.484
334,144784.08
335,102629.305
336,127788.35
337,119156.61
338,158992.8
339,102580.16
340,122681.28
341,125937.08
342,129576.53
343,117883.445
344,124872.125
345,118470.164
346,132091.8
347,142706.1
348,130240.81
349,132235.73
350,150746.34
351,171975.31
352,171395.77
353,124123.67
354,145917.27
355,149156.8
356,179218.53
357,143781.84
358,154093.44
359,130477.05
360,185061.36
361,137802.25
362,107489.77
363,107317.57
364,126933.445
365,95111.31
366,107823.12
367,221258.47
368,119780.414
369,135785.17
370,151905.42
371,119305.47
372,145106.64
373,111061.734
374,137013.94
375,138763.6
376,131675.58
377,108592.52
378,130104.586
379,132834.27
380,141487.31
381,126200.44
382,118537.484
383,118992.586
384,126297.03
385,133919.14
386,145624.19
387,164162.23
388,168619.08
389,147286.5
390,147699.25
391,262326.97
392,126931.37
393,137903.72
394,134455.58
395,219008.08
396,206652.77
397,132308.73
398,123577.67
399,165613.42
400,153721.7
401,167315.17
402,140273.81
403,153264.83
404,155009.19
405,145872.36
406,152201.14
407,180740.92
408,162062.73
409,152234.33
410,161901.92
411,129605.586
412,165137.55
413,156057.92
414,180128.0
415,171961.95
416,151970.7
417,158324.39
418,123790.82
419,187222.0
420,202724.7
421,178918.58
422,178307.05
423,172971.64
424,165097.9
425,203842.67
426,152457.19
427,173447.11
428,176086.61
429,131567.08
430,131753.73
