,Pred
0,464269.78
1,414417.5
2,405703.94
3,333672.78
4,219141.86
5,219141.86
6,219141.86
7,194449.44
8,135180.62
9,219141.86
10,219141.86
11,219141.86
12,178225.97
13,135180.62
14,135180.62
15,135180.62
16,135180.62
17,135180.62
18,135180.62
19,135180.62
20,135180.62
21,135180.62
22,135180.62
23,135180.62
24,135180.62
25,135180.62
26,135180.62
27,135180.62
28,135180.62
29,135180.62
30,135180.62
31,135180.62
32,135180.62
33,135180.62
34,135180.62
35,135180.62
36,135180.62
37,135180.62
38,219141.86
39,135180.62
40,135180.62
41,135180.62
42,135180.62
43,219141.86
44,148193.7
45,135180.62
46,135180.62
47,135180.62
48,135180.62
49,135180.62
50,135180.62
51,135180.62
52,135180.62
53,135180.62
54,135180.62
55,135180.62
56,135180.62
57,135180.62
58,135180.62
59,135180.62
60,219141.86
61,231134.33
62,135180.62
63,135180.62
64,135180.62
65,135180.62
66,135180.62
67,135180.62
68,135180.62
69,135180.62
70,135180.62
71,135180.62
72,135180.62
73,135180.62
74,135180.62
75,135180.62
76,135180.62
77,135180.62
78,135180.62
79,135180.62
80,135180.62
81,135180.62
82,135180.62
83,135180.62
84,135180.62
85,135180.62
86,135180.62
87,135180.62
88,135180.62
89,135180.62
90,135180.62
91,135180.62
92,135180.62
93,135180.62
94,135180.62
95,135180.62
96,137193.58
97,135180.62
98,135180.62
99,135180.62
100,135180.62
101,206355.55
102,189380.97
103,135180.62
104,137193.58
105,238016.67
106,219141.86
107,208924.4
108,219141.86
109,206355.55
110,294731.12
111,135180.62
112,146132.31
113,208924.4
114,206355.55
115,208924.4
116,135180.62
117,180557.72
118,373595.47
119,325372.38
120,374189.66
121,220196.06
122,389115.0
123,352347.25
124,406269.25
125,279533.06
126,403931.25
127,377039.7
128,417298.53
129,320796.47
130,401196.03
131,477037.62
132,407104.7
133,393215.2
134,425713.78
135,415911.06
136,380571.88
137,460597.66
138,404175.66
139,379244.7
140,349837.84
141,399299.1
142,392771.38
143,140021.28
144,175489.27
145,305904.78
146,386908.12
147,219141.86
148,148193.7
149,222245.38
150,219141.86
151,329872.84
152,208924.4
153,227182.73
154,464014.4
155,476176.66
156,395096.88
157,361755.94
158,412244.1
159,135180.62
160,135180.62
161,148193.7
162,219141.86
163,210375.38
164,146132.31
165,135180.62
166,135180.62
167,135180.62
168,135180.62
169,135180.62
170,135180.62
171,135180.62
172,135180.62
173,135180.62
174,135180.62
175,135180.62
176,135180.62
177,135180.62
178,135180.62
179,148193.7
180,135180.62
181,135180.62
182,135180.62
183,135180.62
184,135180.62
185,135180.62
186,148193.7
187,135180.62
188,135180.62
189,135180.62
190,219141.86
191,135180.62
192,135180.62
193,135180.62
194,219141.86
195,135180.62
196,135180.62
197,135180.62
198,135180.62
199,135180.62
200,148193.7
201,135180.62
202,135180.62
203,135180.62
204,135180.62
205,135180.62
206,135180.62
207,135180.62
208,135180.62
209,135180.62
210,210375.38
211,219141.86
212,180557.72
213,135180.62
214,135180.62
215,137193.58
216,137193.58
217,146132.31
218,137193.58
219,137193.58
220,157104.42
221,173157.52
222,225310.22
223,227182.73
224,219141.86
225,282670.7
226,218854.08
227,225508.7
228,210375.38
229,148193.7
230,208178.38
231,210375.38
232,219141.86
233,210375.38
234,146132.31
235,135180.62
236,135180.62
237,135180.62
238,135180.62
239,135180.62
240,135180.62
241,135180.62
242,135180.62
243,152693.17
244,135180.62
245,135180.62
246,135180.62
247,137193.58
248,135180.62
249,135180.62
250,135180.62
251,135180.62
252,219141.86
253,135180.62
254,135180.62
255,135180.62
256,135180.62
257,135180.62
258,135180.62
259,135180.62
260,219141.86
261,189380.97
262,135180.62
263,139508.67
264,135180.62
265,137706.2
266,219141.86
267,219141.86
268,222245.38
269,219141.86
270,206355.55
271,278946.9
272,219141.86
273,210375.38
274,281964.28
275,401179.38
276,210375.38
277,146132.31
278,135180.62
279,319716.62
280,329642.5
281,297343.28
282,344659.7
283,274883.4
284,208178.38
285,137193.58
286,210375.38
287,219141.86
288,217467.83
289,222245.38
290,212408.34
291,225508.7
292,210375.38
293,177738.28
294,208178.38
295,135180.62
296,135180.62
297,135180.62
298,135180.62
299,135180.62
300,135180.62
301,219141.86
302,135180.62
303,135180.62
304,137193.58
305,135180.62
306,135180.62
307,135180.62
308,219141.86
309,135180.62
310,135180.62
311,135180.62
312,135180.62
313,135180.62
314,135180.62
315,135180.62
316,135180.62
317,135180.62
318,135180.62
319,135180.62
320,135180.62
321,135180.62
322,135180.62
323,135180.62
324,135180.62
325,135180.62
326,135180.62
327,139508.67
328,135180.62
329,135180.62
330,135180.62
331,135180.62
332,135180.62
333,135180.62
334,135180.62
335,135180.62
336,146132.31
337,135180.62
338,135180.62
339,210375.38
340,135180.62
341,135180.62
342,135180.62
343,135180.62
344,135180.62
345,135180.62
346,135180.62
347,135180.62
348,135180.62
349,135180.62
350,135180.62
351,135180.62
352,135180.62
353,203098.36
354,135180.62
355,210375.38
356,135180.62
357,349519.3
358,206355.55
359,276132.75
360,261869.9
361,372119.38
362,402493.62
363,206355.55
364,379530.47
365,214257.39
366,279942.25
367,226330.81
368,146132.31
369,208178.38
370,210375.38
371,200264.12
372,135180.62
373,135180.62
374,210375.38
375,217467.83
376,135180.62
377,206355.55
378,135180.62
379,135180.62
380,210375.38
381,210375.38
382,222245.38
383,135180.62
384,135180.62
385,217467.83
386,310057.6
387,219141.86
388,208178.38
389,208924.4
390,137193.58
391,206355.55
392,146132.31
393,227335.75
394,208178.38
395,135180.62
396,208924.4
397,219141.86
398,301652.97
399,308795.38
400,222245.38
401,269223.97
402,343978.16
403,456515.72
404,456515.72
405,377210.3
406,403287.0
407,472647.34
408,410208.88
409,478131.8
410,238016.67
411,345660.78
412,222245.38
413,311784.0
414,221923.83
415,405924.9
416,319679.78
417,442776.4
418,368900.84
419,389881.56
420,393374.03
421,412878.7
422,395174.62
423,389115.0
424,368107.03
425,222245.38
426,219141.86
427,146132.31
428,222245.38
429,222245.38
430,219141.86
431,219141.86
432,189830.1
433,146132.31
434,219141.86
435,135180.62
436,135180.62
437,135180.62
438,135180.62
439,135180.62
440,139508.67
441,135180.62
442,219141.86
443,219141.86
444,135180.62
445,135180.62
446,219141.86
447,148193.7
448,135180.62
449,137193.58
450,135180.62
451,135180.62
452,135180.62
453,222245.38
454,148193.7
455,135180.62
456,303556.2
457,135180.62
458,135180.62
459,135180.62
460,135180.62
461,135180.62
462,135180.62
463,140021.28
464,135180.62
465,219141.86
466,219141.86
467,135180.62
468,135180.62
469,135180.62
470,135180.62
471,137706.2
472,135180.62
473,135180.62
474,135180.62
475,135180.62
476,135180.62
477,135180.62
478,219141.86
479,135180.62
480,135180.62
481,135180.62
482,208924.4
483,135180.62
484,135180.62
485,135180.62
486,140021.28
487,148193.7
488,219141.86
489,152693.17
490,410334.16
491,297094.6
492,135180.62
493,463283.53
494,478131.8
495,355719.1
496,219141.86
497,135180.62
498,135180.62
499,135180.62
500,135180.62
501,135180.62
502,135180.62
503,140021.28
504,135180.62
505,135180.62
506,135180.62
507,135180.62
508,206355.55
509,465750.97
510,478131.8
511,478131.8
512,478131.8
513,466737.22
514,478131.8
515,386468.16
516,463056.84
517,468031.62
518,388733.7
519,385032.06
520,323414.78
521,227182.73
522,315022.56
523,135180.62
524,219141.86
525,219141.86
526,148193.7
527,208924.4
528,219141.86
529,222245.38
530,219141.86
531,148193.7
532,135180.62
533,219141.86
534,210375.38
535,260030.38
536,135180.62
537,135180.62
538,135180.62
539,135180.62
540,148193.7
541,206355.55
542,260030.38
543,135180.62
544,148193.7
545,343285.75
546,222245.38
547,135180.62
548,219141.86
549,219141.86
550,227182.73
551,222245.38
552,219141.86
553,148193.7
554,137706.2
555,135180.62
556,146132.31
557,299499.44
558,222245.38
559,219141.86
560,135180.62
561,341323.9
562,219141.86
563,221249.23
564,206355.55
565,170277.89
566,217467.83
567,222245.38
568,206355.55
569,206355.55
570,351474.16
571,206355.55
572,219141.86
573,206355.55
574,206355.55
575,206355.55
576,339533.34
577,339533.34
578,206355.55
579,302501.47
580,212347.05
581,261869.9
582,329033.22
583,292193.47
584,276711.75
585,270964.16
586,305173.06
587,206355.55
588,206355.55
589,206355.55
590,270551.97
591,206355.55
592,261153.64
593,324005.25
594,253200.86
595,208178.38
596,277597.5
597,208178.38
598,206355.55
599,206355.55
600,146132.31
601,206355.55
602,146132.31
603,135180.62
604,206355.55
605,177738.28
606,137193.58
607,208178.38
608,135180.62
609,206355.55
610,206355.55
611,219141.86
612,219141.86
613,222245.38
614,135180.62
615,220528.11
616,219141.86
617,236922.36
618,137193.58
619,210375.38
620,137706.2
621,219141.86
622,135180.62
623,210375.38
624,210375.38
625,208178.38
626,206355.55
627,206355.55
628,279767.62
629,208178.38
630,210375.38
631,206355.55
632,137193.58
633,210375.38
634,206355.55
635,206355.55
636,206355.55
637,135180.62
638,141829.44
639,211012.61
640,137193.58
641,245331.4
642,157104.42
643,210375.38
644,395596.03
645,410203.34
646,206355.55
647,206355.55
648,291175.12
649,208178.38
650,146132.31
651,210375.38
652,184761.62
653,210375.38
654,200264.12
655,135180.62
656,206355.55
657,210375.38
658,206355.55
659,206355.55
660,206355.55
661,206355.55
662,135180.62
663,206355.55
664,206355.55
665,215713.55
666,208178.38
667,208178.38
668,206355.55
669,206355.55
670,206355.55
671,146132.31
672,206355.55
673,206355.55
674,135180.62
675,206355.55
676,261869.9
677,206355.55
678,206355.55
679,206355.55
680,206355.55
681,267140.03
682,146132.31
683,206355.55
684,137193.58
685,146132.31
686,206355.55
687,137193.58
688,146132.31
689,135180.62
690,146132.31
691,206355.55
692,135180.62
693,135180.62
694,135180.62
695,135180.62
696,208178.38
697,135180.62
698,208178.38
699,135180.62
700,285848.66
701,321429.34
702,206355.55
703,206355.55
704,206355.55
705,261869.9
706,276659.1
707,260030.38
708,206355.55
709,200264.12
