,Pred
0,409333.7
1,419947.06
2,462981.06
3,367500.7
4,238172.61
5,262632.47
6,292434.1
7,139649.03
8,137605.14
9,307070.75
10,246006.33
11,351679.22
12,139649.03
13,137605.14
14,137605.14
15,137605.14
16,139649.03
17,137605.14
18,137605.14
19,137605.14
20,137605.14
21,137605.14
22,137605.14
23,137605.14
24,137605.14
25,137605.14
26,137605.14
27,137605.14
28,137605.14
29,137605.14
30,137605.14
31,137605.14
32,137605.14
33,137605.14
34,137605.14
35,137605.14
36,137605.14
37,137605.14
38,238172.61
39,137605.14
40,137605.14
41,137605.14
42,137605.14
43,262632.47
44,139649.03
45,137605.14
46,137605.14
47,137605.14
48,137605.14
49,137605.14
50,137605.14
51,137605.14
52,137605.14
53,137605.14
54,137605.14
55,137605.14
56,137605.14
57,137605.14
58,137605.14
59,137605.14
60,235629.11
61,351300.03
62,137605.14
63,137605.14
64,137605.14
65,137605.14
66,137605.14
67,137605.14
68,137605.14
69,137605.14
70,137605.14
71,137605.14
72,137605.14
73,137605.14
74,137605.14
75,137605.14
76,137605.14
77,137605.14
78,137605.14
79,137605.14
80,137605.14
81,137605.14
82,137605.14
83,137605.14
84,137605.14
85,137605.14
86,137605.14
87,137605.14
88,137605.14
89,137605.14
90,137605.14
91,137605.14
92,137605.14
93,137605.14
94,137605.14
95,137605.14
96,139649.03
97,137605.14
98,137605.14
99,137605.14
100,137605.14
101,203430.7
102,139649.03
103,137605.14
104,139649.03
105,285543.2
106,290239.4
107,304585.66
108,372173.47
109,203430.7
110,286889.3
111,137605.14
112,139649.03
113,139649.03
114,203430.7
115,139649.03
116,137605.14
117,139649.03
118,368643.0
119,368643.0
120,368643.0
121,205102.19
122,377323.3
123,371816.2
124,462981.06
125,272949.53
126,462981.06
127,368643.0
128,462981.06
129,328509.3
130,462981.06
131,392870.53
132,462981.06
133,328509.3
134,419947.06
135,419947.06
136,325538.38
137,462981.06
138,462981.06
139,330330.47
140,322210.28
141,462981.06
142,368643.0
143,139649.03
144,139649.03
145,365160.06
146,373881.47
147,281589.3
148,139649.03
149,338724.03
150,278553.94
151,377323.3
152,290239.4
153,285543.2
154,462981.06
155,462981.06
156,377323.3
157,363000.3
158,462981.06
159,137605.14
160,137605.14
161,139649.03
162,292434.1
163,317153.34
164,139649.03
165,137605.14
166,137605.14
167,137605.14
168,137605.14
169,137605.14
170,137605.14
171,137605.14
172,137605.14
173,137605.14
174,137605.14
175,137605.14
176,137605.14
177,137605.14
178,137605.14
179,139649.03
180,137605.14
181,137605.14
182,137605.14
183,137605.14
184,137605.14
185,137605.14
186,139649.03
187,137605.14
188,137605.14
189,137605.14
190,232427.69
191,137605.14
192,137605.14
193,137605.14
194,235629.11
195,137605.14
196,137605.14
197,137605.14
198,137605.14
199,137605.14
200,139649.03
201,137605.14
202,137605.14
203,137605.14
204,137605.14
205,137605.14
206,137605.14
207,137605.14
208,137605.14
209,137605.14
210,211353.16
211,290797.03
212,139649.03
213,137605.14
214,137605.14
215,139649.03
216,139649.03
217,139649.03
218,139649.03
219,139649.03
220,139649.03
221,139649.03
222,257534.48
223,286889.3
224,264492.62
225,239871.75
226,254481.47
227,256251.38
228,257794.81
229,139649.03
230,238200.28
231,227237.12
232,276909.34
233,257534.48
234,139649.03
235,137605.14
236,137605.14
237,137605.14
238,137605.14
239,139649.03
240,137605.14
241,137605.14
242,137605.14
243,139649.03
244,137605.14
245,137605.14
246,137605.14
247,139649.03
248,137605.14
249,137605.14
250,137605.14
251,137605.14
252,249621.84
253,137605.14
254,137605.14
255,137605.14
256,137605.14
257,137605.14
258,137605.14
259,137605.14
260,278408.97
261,139649.03
262,137605.14
263,139649.03
264,137605.14
265,139649.03
266,246006.33
267,281589.3
268,273196.2
269,246006.33
270,203430.7
271,357931.0
272,235629.11
273,239871.75
274,322210.28
275,462981.06
276,252932.66
277,139649.03
278,137605.14
279,325538.38
280,322210.28
281,272949.53
282,419947.06
283,272949.53
284,211353.16
285,139649.03
286,224855.34
287,227237.12
288,227237.12
289,249621.84
290,255148.55
291,254541.72
292,212056.84
293,139649.03
294,203430.7
295,137605.14
296,137605.14
297,137605.14
298,137605.14
299,137605.14
300,137605.14
301,232427.69
302,137605.14
303,137605.14
304,139649.03
305,137605.14
306,137605.14
307,137605.14
308,242871.17
309,137605.14
310,137605.14
311,137605.14
312,137605.14
313,137605.14
314,137605.14
315,137605.14
316,137605.14
317,137605.14
318,137605.14
319,137605.14
320,137605.14
321,137605.14
322,137605.14
323,137605.14
324,137605.14
325,137605.14
326,137605.14
327,139649.03
328,137605.14
329,137605.14
330,137605.14
331,137605.14
332,137605.14
333,137605.14
334,137605.14
335,137605.14
336,139649.03
337,137605.14
338,137605.14
339,238200.28
340,137605.14
341,137605.14
342,137605.14
343,137605.14
344,137605.14
345,137605.14
346,137605.14
347,137605.14
348,137605.14
349,137605.14
350,137605.14
351,137605.14
352,137605.14
353,227237.12
354,137605.14
355,254702.56
356,137605.14
357,324021.72
358,204243.52
359,322210.28
360,272949.53
361,324021.72
362,403713.7
363,203430.7
364,322210.28
365,205102.19
366,322210.28
367,263556.84
368,139649.03
369,211353.16
370,211353.16
371,139649.03
372,137605.14
373,137605.14
374,211353.16
375,227237.12
376,137605.14
377,203430.7
378,137605.14
379,137605.14
380,238200.28
381,227237.12
382,249621.84
383,137605.14
384,137605.14
385,216050.72
386,357239.4
387,223283.94
388,203430.7
389,139649.03
390,139649.03
391,204243.52
392,139649.03
393,256705.69
394,239871.75
395,137605.14
396,235728.1
397,216050.72
398,267030.3
399,266614.16
400,264215.88
401,266614.16
402,357817.53
403,460608.75
404,460608.75
405,364469.34
406,460608.75
407,460608.75
408,460608.75
409,460608.75
410,273735.34
411,363814.0
412,270394.72
413,366052.75
414,248576.86
415,460608.75
416,366052.75
417,459569.47
418,354244.28
419,373601.97
420,370751.12
421,459569.47
422,366452.5
423,376816.88
424,369928.7
425,256708.34
426,224196.89
427,139649.03
428,248576.86
429,256705.69
430,216131.88
431,223283.94
432,139649.03
433,139649.03
434,224196.89
435,137605.14
436,137605.14
437,137605.14
438,137605.14
439,137605.14
440,139649.03
441,137605.14
442,220871.47
443,232427.69
444,137605.14
445,137605.14
