,Pred
0,265254.4
1,345913.4
2,399674.28
3,345932.25
4,294216.0
5,296119.44
6,315199.3
7,362450.0
8,194709.12
9,337005.97
10,265460.53
11,397805.94
12,270071.78
13,205130.17
14,265293.88
15,149038.89
16,231572.8
17,178566.38
18,145076.31
19,227630.28
20,152851.72
21,117369.664
22,212685.23
23,159736.98
24,235459.58
25,179376.0
26,165519.02
27,120396.06
28,124743.125
29,175673.67
30,134186.97
31,166995.44
32,106386.81
33,139292.75
34,187313.39
35,117347.96
36,118016.81
37,148403.92
38,314961.03
39,262377.84
40,139063.69
41,117347.96
42,144672.77
43,296119.44
44,277398.38
45,236504.2
46,149038.89
47,120857.04
48,151709.97
49,132758.44
50,209170.28
51,106358.53
52,164676.88
53,130961.06
54,121888.91
55,121888.91
56,145740.4
57,128745.06
58,120306.016
59,204641.77
60,238571.52
61,310043.78
62,144672.77
63,101242.05
64,172338.8
65,121888.91
66,139292.75
67,165410.58
68,157953.9
69,139358.44
70,151655.48
71,117347.96
72,105477.664
73,145814.52
74,191428.64
75,209170.28
76,189089.55
77,124764.72
78,114522.89
79,150227.25
80,134789.4
81,175673.67
82,175673.67
83,175673.67
84,166255.94
85,198196.2
86,167540.45
87,177856.77
88,166260.92
89,175673.67
90,167125.98
91,138769.55
92,175673.67
93,174069.62
94,139188.83
95,177093.73
96,216682.05
97,157335.77
98,159959.28
99,235129.98
100,206813.23
101,249764.03
102,202819.11
103,309403.8
104,221678.05
105,329103.78
106,353795.03
107,397159.03
108,397805.94
109,267929.2
110,341770.2
111,223737.73
112,241726.67
113,303220.94
114,318182.53
115,277309.62
116,206813.23
117,345185.3
118,419017.88
119,407088.6
120,463773.28
121,247876.42
122,409013.88
123,392290.44
124,446791.03
125,349625.03
126,407088.6
127,432517.94
128,404206.1
129,404426.6
130,418711.12
131,367723.84
132,368055.72
133,398855.47
134,352996.25
135,367858.22
136,390056.34
137,386370.75
138,371505.2
139,430398.72
140,343282.88
141,444074.16
142,440092.62
143,214377.81
144,245161.42
145,399674.28
146,420193.53
147,283837.12
148,269339.44
149,346114.5
150,305783.56
151,420473.38
152,353795.03
153,329103.78
154,409013.88
155,460276.78
156,425347.84
157,367625.3
158,454770.6
159,279633.16
160,157953.9
161,295600.34
162,315199.3
163,351003.03
164,251145.77
165,229547.42
166,146768.95
167,214354.38
168,143965.53
169,140854.44
170,155006.77
171,141722.08
172,133849.78
173,135046.19
174,128844.484
175,132156.38
176,141299.84
177,187313.39
178,183308.53
179,230777.58
180,219533.36
181,129507.195
182,126881.15
183,134571.5
184,183308.53
185,171282.73
186,223113.16
187,123498.66
188,124458.77
189,117893.555
190,208280.3
191,117352.086
192,140954.28
193,155087.48
194,221725.6
195,161463.27
196,144233.55
197,184460.84
198,192443.94
199,198196.2
200,194467.84
201,124701.83
202,137104.05
203,115824.86
204,159124.98
205,117632.16
206,111374.734
207,132032.8
208,151655.48
209,112928.63
210,177453.69
211,283508.56
212,219709.0
213,178522.61
214,182022.64
215,191278.34
216,178790.38
217,195468.58
218,189453.95
219,183704.03
220,188084.81
221,184771.83
222,340304.34
223,314239.12
224,326799.22
225,293882.06
226,241729.81
227,316499.4
228,268485.78
229,218922.36
230,228913.03
231,227937.84
232,341478.88
233,334248.2
234,201607.69
235,133554.67
236,155006.77
237,185919.66
238,180295.06
239,189861.05
240,195166.17
241,129702.66
242,174979.6
243,182998.84
244,170369.0
245,111847.18
246,155006.77
247,173722.4
248,135182.03
249,132439.89
250,167091.67
251,120306.016
252,236093.4
253,198196.2
254,177091.2
255,132455.08
256,125659.88
257,110659.0
258,132032.8
259,125784.87
260,282331.6
261,183704.03
262,172638.84
263,177837.42
264,120711.52
265,260752.73
266,251908.16
267,283837.12
268,308273.34
269,265460.53
270,196437.3
271,321649.47
272,238571.52
273,274028.53
274,310791.6
275,377940.78
276,264583.84
277,195016.66
278,165519.02
279,391314.28
280,375374.06
281,340437.12
282,340437.12
283,345913.4
284,207674.9
285,231267.94
286,215674.28
287,227407.62
288,223510.58
289,236093.4
290,276332.22
291,293152.06
292,208575.19
293,187238.77
294,197929.19
295,140675.45
296,119325.78
297,126881.15
298,122929.16
299,173781.36
300,111374.734
301,232015.95
302,133065.98
303,171245.66
304,174213.23
305,122889.22
306,119570.375
307,194547.45
308,238448.88
309,135262.98
310,190427.69
311,110064.516
312,133738.16
313,168739.28
314,106525.586
315,131283.34
316,123647.38
317,158742.4
318,112127.99
319,127810.06
320,159410.5
321,125570.555
322,114750.625
323,147991.48
324,122543.64
325,179376.0
326,118777.41
327,181377.73
328,167156.47
329,147991.48
330,206227.2
331,178455.17
332,140954.28
333,173623.73
334,117352.086
335,150227.25
336,182998.84
337,112507.59
338,119274.06
339,220926.19
340,107046.945
341,119584.48
342,118300.78
343,122819.734
344,131283.34
345,108761.35
346,167993.47
347,119680.6
348,161892.84
349,123588.0
350,114250.734
351,181211.06
352,124768.92
353,214456.33
354,121865.266
355,286829.97
356,182620.95
357,334695.22
358,238208.4
359,351750.06
360,364983.16
361,344840.66
362,334434.38
363,209885.58
364,351750.06
365,254352.83
366,310791.6
367,330884.03
368,215209.5
369,178994.12
370,207097.47
371,175800.17
372,175310.14
373,179376.0
374,178994.12
375,219555.98
376,120372.68
377,210371.69
378,129818.25
379,171314.84
380,230216.77
381,198816.8
382,236093.4
383,155887.14
384,131283.34
385,154429.48
386,329554.75
387,184696.27
388,195438.17
389,178349.55
390,153125.48
391,182204.25
392,134929.28
393,280165.06
394,253003.52
395,97645.33
396,219489.44
397,154429.48
398,253480.23
399,258215.6
400,242542.67
401,258215.6
402,328314.75
403,327695.88
404,347785.66
405,380189.97
406,347785.66
407,369376.3
408,338538.56
409,398882.44
410,254903.77
411,345509.94
412,256741.16
413,327695.88
414,231811.31
415,356171.34
416,327695.88
417,337411.12
418,334472.28
419,352177.03
420,325013.3
421,390931.84
422,314113.72
423,350020.28
424,342932.3
425,230545.67
426,231894.61
427,167846.34
428,211556.0
429,217053.31
430,170882.9
431,188530.66
432,107456.19
433,123237.59
434,188530.66
435,75363.26
436,119458.586
437,174376.56
438,172338.8
439,198196.2
440,114881.02
441,266845.75
442,199639.36
443,232015.95
444,166774.19
445,209309.9
446,269990.2
447,138422.3
448,238951.02
449,250124.92
450,177024.64
451,164022.92
452,161866.83
453,217053.31
454,162354.0
455,158992.5
456,342644.4
457,213473.44
458,322868.78
459,292933.44
460,200585.72
461,247866.03
462,169412.94
463,202955.9
464,254938.9
465,269990.2
466,257469.7
467,178566.38
468,226038.44
469,184012.42
470,187529.02
471,234306.92
472,224809.88
473,194249.3
474,177645.14
475,186810.36
476,235459.58
477,186727.12
478,262009.0
479,242168.53
480,194709.12
481,227541.55
482,209009.61
483,235901.55
484,218903.73
485,167431.27
486,358862.5
487,366972.4
488,303356.62
489,193338.44
490,399674.28
491,332218.44
492,216311.67
493,471383.6
494,435027.28
495,461568.72
496,411499.34
497,285176.84
498,145422.95
499,149038.89
500,123739.92
501,157953.9
502,139292.75
503,225461.27
504,112928.63
505,134571.5
506,140661.92
507,285187.06
508,244601.08
509,465734.66
510,439328.03
511,485720.44
512,484378.75
513,465734.66
514,447375.16
515,471383.6
516,425347.84
517,471383.6
518,435027.28
519,383244.75
520,392290.44
521,342306.5
522,443375.62
523,214697.56
524,232015.95
525,265460.53
526,313091.44
527,238571.52
528,243671.17
529,236093.4
530,238571.52
531,240121.86
532,188989.77
533,245594.03
534,177614.92
535,311691.7
536,206813.23
537,189030.03
538,203875.7
539,125659.88
540,229004.25
541,281391.78
542,331845.97
543,187671.83
544,228360.03
545,383244.75
546,298326.78
547,275085.62
548,310284.4
549,316120.28
550,341770.2
551,349753.47
552,267307.47
553,280857.47
554,319472.03
555,192665.34
556,219933.86
557,333075.9
558,293436.62
559,321688.75
560,275085.62
561,432182.66
562,290603.38
563,291687.16
564,346252.34
565,296519.12
566,264230.66
567,331250.22
568,271260.84
569,215461.75
570,338424.22
571,249764.03
572,369364.4
573,249764.03
574,271260.84
575,239254.61
576,338282.34
577,389907.62
578,261426.48
579,368715.44
580,259565.97
581,309713.1
582,412907.47
583,319631.56
584,372616.66
585,263765.97
586,419044.22
587,323934.38
588,252345.17
589,230244.02
590,340566.12
591,214508.66
592,349625.03
593,340566.12
594,263052.66
595,278594.25
596,373230.0
597,257206.16
598,266265.4
599,286387.78
600,246877.72
601,265349.53
602,221678.05
603,223109.73
604,221052.03
605,216682.05
606,177133.5
607,207460.98
608,192842.08
609,223611.75
610,298215.25
611,298662.44
612,296119.44
613,304573.34
614,149127.62
615,310718.78
616,260947.05
617,325662.94
618,261337.23
619,270587.25
620,241950.69
621,286011.62
622,214697.56
623,177453.69
624,184826.2
625,228386.98
626,238791.45
627,206708.52
628,310791.6
629,225960.92
630,219555.98
631,219776.12
632,183613.5
633,309442.75
634,253504.45
635,210371.69
636,265009.44
637,173779.8
638,222119.81
639,221478.84
640,216682.05
641,335431.2
642,200707.89
643,208575.19
644,416001.03
645,358034.44
646,220453.12
647,217872.42
648,355780.7
649,210371.69
650,182643.33
651,262090.33
652,183080.39
653,224193.78
654,239212.16
655,263564.9
656,239212.16
657,248202.11
658,241197.03
659,210071.83
660,219286.0
661,290697.44
662,200499.4
663,284376.9
664,217872.42
665,245636.88
666,194624.89
667,204092.62
668,192527.81
669,189335.47
670,204092.62
671,183613.5
672,236886.02
673,225636.2
674,196103.23
675,257733.11
676,321033.4
677,212959.88
678,194624.89
679,236951.56
680,298253.28
681,243317.39
682,242277.9
683,231632.52
684,208295.23
685,182568.92
686,238619.1
687,204878.14
688,204878.14
689,226986.0
690,218491.5
691,226685.8
692,201904.16
693,191481.2
694,155696.44
695,210511.94
696,215942.86
697,198669.3
698,189439.53
699,191816.42
700,334300.0
701,323749.2
702,227818.31
703,264378.84
704,222784.9
705,338598.03
706,338424.22
707,271260.84
708,199727.3
709,249764.03
710,216273.7
711,201972.9
712,151655.48
713,178779.11
714,189439.53
715,198760.6
716,223109.73
717,183511.69
718,188452.05
719,264754.3
720,189618.56
721,186305.58
722,183704.03
723,221678.05
724,185264.66
725,188084.81
726,222077.86
727,263034.1
728,220453.12
729,195167.75
730,306076.78
731,247027.72
732,187489.98
733,224400.69
734,224400.69
735,321094.78
736,219138.02
737,200217.56
738,226623.27
739,261426.48
740,187489.98
741,254668.39
742,241997.55
743,183613.5
744,215666.22
745,189237.64
746,179837.77
747,178994.12
748,127746.37
749,276385.75
750,292290.4
751,231632.52
752,317748.7
753,207045.69
754,392934.84
755,401820.34
756,304301.62
757,243572.3
758,239212.16
759,166946.56
760,215666.22
761,210368.22
762,207045.69
763,137348.94
764,204092.62
765,210371.69
766,184771.83
767,216247.34
768,217872.42
769,248080.88
770,247876.42
771,201967.83
772,209767.53
773,209019.17
774,202944.3
775,260872.11
776,259324.17
777,236834.78
778,247876.42
779,187600.98
780,239212.16
781,220574.97
782,227542.3
783,239212.16
784,302666.62
785,232307.9
786,198760.6
787,189335.47
788,192476.58
789,189950.84
790,189335.47
791,328692.78
792,243626.03
793,328692.78
794,249764.03
795,184410.78
796,204644.34
797,209885.58
798,210371.69
799,200499.4
800,187074.97
801,281301.84
802,180591.58
803,260317.75
804,191148.61
805,187264.19
806,218186.78
807,245605.77
808,230129.36
809,361930.44
810,210371.69
811,192476.58
812,204092.62
813,187892.89
814,209767.53
815,200555.02
816,227641.3
817,173437.45
818,205259.53
819,180168.73
820,249902.2
821,226364.31
822,226857.6
823,179959.36
824,193443.36
825,209885.58
826,289467.84
827,232668.58
828,266471.0
829,206264.38
830,216285.98
831,173437.45
832,177878.25
833,175569.23
834,182472.02
835,245073.44
836,236570.02
837,224790.11
838,250289.52
839,345913.4
840,241025.81
841,192261.31
842,221606.38
843,267190.44
844,264332.38
845,264332.38
846,301473.66
847,216556.05
848,242429.97
849,264332.38
850,226364.31
851,240780.4
852,192906.84
853,246744.61
854,220158.62
855,219764.97
856,294492.4
857,191588.8
858,193766.36
859,271260.84
860,290206.7
861,239212.16
862,329939.28
863,318680.75
864,338282.34
865,338282.34
866,338282.34
867,338424.22
868,338282.34
869,338424.22
870,226039.11
871,338424.22
872,258849.95
873,273540.78
874,272655.1
875,271260.84
876,242522.95
877,210097.78
878,226738.45
879,241983.61
880,271260.84
881,258849.95
882,241554.72
883,246744.61
884,246622.22
885,239212.16
886,210368.22
887,197520.38
888,338282.34
889,345913.4
890,331304.72
891,344162.34
892,345906.22
893,248728.47
894,373230.0
895,244601.08
896,238046.81
897,258964.78
898,232331.3
899,247736.58
900,249511.64
901,311320.9
902,229940.19
903,208827.94
904,272302.34
905,227693.64
906,281424.6
907,252524.95
908,272655.1
909,259565.97
910,271052.25
911,265326.6
912,359206.28
913,307193.94
914,281301.84
915,265214.06
916,281424.6
917,271260.84
918,377581.34
919,258849.95
920,349625.03
921,281301.84
922,338424.22
923,345336.72
924,240326.36
925,307775.25
926,274244.44
927,338282.34
928,345913.4
929,258964.78
930,241102.45
931,220678.25
932,295732.03
933,271260.84
934,271052.25
935,212041.31
936,271260.84
937,219892.3
938,223558.22
939,190243.25
940,190874.31
941,246744.61
942,192680.42
943,294492.4
944,294492.4
945,240326.36
946,240326.36
947,294492.4
948,309014.88
949,251512.4
950,242953.95
951,271052.25
952,246744.61
953,338424.22
954,271534.7
955,426572.2
956,367876.0
957,345913.4
958,349349.12
959,268250.12
960,375366.06
961,340443.38
962,339179.2
963,286127.56
964,338282.34
965,381065.1
966,388435.8
967,372570.25
968,340571.5
969,364898.75
970,372109.8
971,323018.8
972,338424.22
973,278342.94
974,181611.77
975,295605.66
976,194205.1
977,331170.34
978,338282.34
979,329883.9
980,259324.17
981,329883.9
982,345333.9
983,256262.73
984,331304.72
985,338282.34
986,342644.4
987,220275.95
988,338282.34
989,222784.9
990,340639.66
991,340577.75
992,216361.98
993,349349.12
994,244601.08
995,240326.36
996,334434.38
997,271260.84
998,307775.25
999,270752.56
1000,251304.38
1001,201695.28
1002,221052.03
1003,216545.28
1004,281301.84
1005,329883.9
1006,210579.9
1007,385425.12
1008,182766.22
1009,202693.55
1010,345913.4
1011,223740.28
1012,179376.0
1013,276017.16
1014,300221.12
1015,345913.4
1016,376529.9
1017,304436.0
1018,340571.5
1019,259324.17
1020,219991.86
1021,345913.4
1022,151332.83
1023,106892.89
1024,134115.38
1025,147487.62
1026,134859.69
1027,147190.81
1028,104402.414
1029,99068.26
1030,122286.62
1031,85219.4
1032,126888.95
1033,117931.87
1034,132190.33
1035,98381.94
1036,119864.01
1037,161093.83
1038,135214.33
1039,153072.44
1040,148937.55
1041,105257.46
1042,122469.05
1043,140045.17
1044,124309.98
1045,116686.11
1046,113956.15
1047,139317.58
1048,107774.82
1049,111703.664
1050,118491.6
1051,159828.23
