,Pred
0,30795.066
1,65307.62
2,64328.844
3,90999.75
4,75581.766
5,115040.41
6,70843.375
7,78709.695
8,59305.332
9,43667.184
10,131509.06
11,41187.043
12,80485.016
13,102529.22
14,154260.84
15,64406.785
16,85012.24
17,34864.36
18,161250.72
19,221464.83
20,112065.94
21,59717.418
22,37471.605
23,49281.246
24,86208.6
25,69984.75
26,62219.164
27,82071.21
28,64735.137
29,138223.02
30,43082.31
31,106162.94
32,49983.574
33,68750.875
34,509447.9
35,53991.785
36,39973.188
37,113678.05
38,183733.02
39,33198.242
40,134060.27
41,39317.28
42,52584.793
43,55264.492
44,71957.55
45,167765.39
46,134806.7
47,137536.69
48,86764.11
49,202367.83
50,112305.625
51,46782.113
52,135148.83
53,46713.09
54,128809.38
55,46599.457
56,54806.137
57,51537.74
58,50415.84
59,76853.36
60,52356.465
61,78179.92
62,40814.656
63,114839.14
64,104566.766
65,76809.06
66,92307.6
67,42028.16
68,162944.94
69,104557.14
70,85270.2
71,139149.42
72,32794.598
73,68258.23
74,112965.81
75,70567.8
76,83688.63
77,144474.58
78,12903.148
79,39547.113
80,57237.914
81,36004.91
82,124050.54
83,67328.164
84,60924.34
85,82240.61
86,162304.8
87,86574.97
88,53987.062
89,17572.266
90,53049.793
91,10308.196
92,67360.45
93,32547.719
94,84551.445
95,68668.29
96,23174.441
97,59448.62
98,54894.36
99,72040.234
100,61795.03
101,91464.17
102,73253.86
103,146213.16
104,40969.387
105,75525.17
106,50037.734
107,178272.98
108,163606.2
109,130205.15
110,54140.152
111,60768.8
112,184129.19
113,61557.54
114,318124.88
115,130257.91
116,92201.91
117,90206.88
118,79768.27
119,202483.42
120,128914.66
121,137892.03
122,96728.11
123,137280.64
124,78760.2
125,17700.074
126,89912.0
127,106573.28
128,81549.555
129,82644.305
130,70966.55
131,87386.05
132,73804.266
133,94524.77
134,80076.73
135,74100.914
136,96472.125
137,80210.266
138,58812.586
139,60667.184
140,181760.34
141,116406.35
142,71968.26
143,81187.25
144,124157.28
145,113172.6
146,183110.2
147,166156.36
148,76133.67
149,70592.56
150,57419.39
151,111654.14
152,111379.375
153,126289.83
154,185820.2
155,16578.916
156,84969.586
157,109143.125
158,85506.53
159,99656.56
160,62027.78
161,87458.375
162,6727.12
163,108634.07
164,557383.94
165,66280.06
166,70475.766
167,198841.86
168,67650.63
169,85935.7
170,18804.672
171,52899.42
172,143484.89
173,19610.973
174,71880.41
175,84354.53
176,78920.0
177,46145.574
178,51428.004
179,76910.16
180,138622.8
181,73788.31
182,62795.598
183,99526.05
184,73362.8
185,44930.64
186,53636.31
187,90752.11
188,8553.749
189,48613.004
190,252074.75
191,48986.246
192,130064.7
193,102213.24
194,47908.383
195,103684.56
196,312937.97
197,79324.7
198,69614.94
199,37800.73
200,97533.67
201,56019.168
202,89385.45
203,82586.75
204,99951.45
205,77441.72
206,81217.695
207,52061.16
208,105145.55
209,95689.51
210,110330.72
211,51203.24
212,78349.42
213,135796.22
214,44065.926
215,112838.59
216,93587.73
217,64491.82
218,46393.527
219,73749.95
220,72165.16
221,36496.832
222,64759.95
223,74247.79
224,51184.62
225,34236.26
226,56756.863
227,85411.7
228,32808.77
229,295947.1
230,108796.92
231,51373.84
232,51702.305
233,113992.32
234,93580.93
235,112717.195
236,51352.098
237,114363.3
238,175799.73
239,79944.54
240,59920.76
241,312501.06
242,137803.92
243,57216.77
244,79961.28
245,66362.58
246,126811.45
247,188662.58
248,42835.574
249,32551.688
250,134345.55
251,58389.668
252,92507.91
253,59858.418
254,164912.75
255,63102.01
256,227558.16
257,208829.27
258,68225.664
259,64464.387
260,122312.09
261,115874.36
262,9114.757
263,141857.19
264,48958.52
265,37552.62
266,71729.62
267,171798.64
268,193940.55
269,68090.7
270,116790.52
271,110399.42
272,58301.81
273,26406.084
274,52981.13
275,62451.82
276,58578.605
277,31583.889
278,43714.71
279,76503.2
280,99169.766
281,33813.027
282,95757.31
283,87740.1
284,78971.2
285,45995.36
286,54599.094
287,71958.61
288,285982.9
289,146903.02
290,103109.21
291,112314.836
292,75557.734
293,119663.83
294,35690.184
295,78270.875
296,64680.34
297,243568.58
298,60868.7
299,95346.12
300,126640.19
301,48143.38
302,116555.47
303,92703.03
304,128037.83
305,81094.11
306,60514.13
307,42904.09
308,136973.11
309,121370.375
310,140420.61
311,38198.37
312,70633.5
313,74109.16
314,90417.67
315,59030.81
316,214048.0
317,74111.36
318,51604.395
319,71236.75
320,114242.78
321,14043.838
322,142878.92
323,35319.637
324,84651.086
325,195902.83
326,160034.62
327,86922.4
328,16055.776
329,40126.6
330,89738.8
331,29782.428
332,44299.332
333,125142.016
334,63789.746
335,120665.875
336,140043.17
337,41519.98
338,64349.434
339,46038.348
340,153011.23
341,138968.19
342,97864.4
343,35824.902
344,65494.7
345,62253.152
346,89696.81
347,87327.25
348,56573.902
349,103059.25
350,88152.86
351,94261.47
352,72023.94
353,58766.594
354,37977.93
355,31600.262
356,73871.95
357,153449.23
358,64103.098
359,62365.81
360,179523.19
361,69477.336
362,260723.61
363,88818.05
364,100566.914
365,85052.9
366,148406.7
367,32114.754
368,111560.39
369,57021.766
370,49323.19
371,99337.44
372,115434.02
373,46261.203
374,54712.754
375,45975.95
376,10275.417
377,82310.08
378,38190.31
379,79926.195
380,127765.95
381,69262.73
382,22425.322
383,57707.8
384,105111.85
385,57554.594
386,56182.473
387,30898.834
388,152226.95
389,57778.125
390,57187.16
391,164650.3
392,44198.715
