,Pred
0,271759.38
1,101465.11
2,72753.125
3,199428.12
4,255334.4
5,309162.5
6,270540.66
7,118593.75
8,273237.5
9,148030.22
10,260050.0
11,298640.62
12,116032.3
13,133472.92
14,105634.375
15,95685.42
16,157240.62
17,147696.88
18,214178.12
19,198659.38
20,142134.38
21,150954.69
22,371478.16
23,388737.56
24,320243.75
25,287903.12
26,134801.03
27,265750.0
28,81294.8
29,219325.0
30,125296.875
31,172543.75
32,123853.125
33,140916.66
34,230181.25
35,207096.88
36,360325.06
37,104656.25
38,187462.5
39,174903.12
40,221981.25
41,202943.88
42,97537.5
43,333700.5
44,268537.53
45,243421.88
46,268384.38
47,94581.25
48,319134.38
49,155568.75
50,168571.88
51,112134.375
52,102918.75
53,439891.12
54,130773.44
55,99578.125
56,371275.06
57,102712.5
58,258459.44
59,205628.12
60,120118.75
61,388171.88
62,378450.06
63,144068.75
