,Pred
0,190.71791
1,93.84149
2,166.8954
3,193.43678
4,100.51525
5,95.98388
6,94.061
7,95.625626
8,130.88518
9,252.87114
10,97.85932
11,108.49324
12,95.98388
13,180.76137
14,95.98388
15,173.91542
16,197.29929
17,173.62843
18,108.195786
19,95.98388
20,101.43921
21,94.061
22,93.25949
23,246.75545
24,158.6661
25,168.4432
26,93.84149
27,104.40394
28,134.69194
29,226.26009
30,118.84772
31,95.98388
32,285.5192
33,95.98388
34,94.97391
35,113.644646
36,246.10309
37,187.7634
38,246.78645
39,129.61365
40,130.18732
41,97.85932
42,97.74405
43,93.84149
44,228.33698
45,95.61998
46,108.264534
47,103.801506
48,93.84149
49,148.5755
50,105.483284
51,211.09128
52,97.16196
53,106.683044
54,148.29872
55,93.84149
56,123.898384
57,93.84149
58,145.04897
59,152.48576
60,98.09477
61,136.49521
62,94.160484
63,102.124626
64,97.5539
65,169.05232
66,142.75949
67,101.20238
68,97.5539
69,98.85932
70,93.84149
71,247.3723
72,181.02887
73,101.26443
74,125.8845
75,103.87137
76,171.49388
77,97.85932
78,196.9351
79,98.54474
80,158.70367
81,99.176216
82,93.84149
83,169.03468
84,93.84149
85,136.46486
86,93.31392
87,157.78497
88,95.98388
89,95.98388
90,93.84149
91,155.82149
92,114.88708
93,95.98388
94,95.98388
95,145.21104
96,190.95576
97,231.22388
98,95.19306
99,119.33806
100,157.7385
101,96.52022
102,234.06435
103,169.84593
104,109.23702
105,99.00963
106,97.85932
107,135.83577
108,255.93668
109,111.66264
110,93.84149
111,93.41722
112,221.02414
113,272.92026
114,268.32965
115,196.66626
116,240.78142
117,247.60513
118,165.15652
119,182.3354
120,120.28277
121,178.93942
122,218.6271
123,137.01402
124,142.14467
125,150.21815
126,93.84149
127,114.25081
128,95.98388
129,256.09088
130,272.17096
131,96.16141
132,96.68984
133,94.061
134,160.64546
135,256.46313
136,93.84149
137,266.29898
138,295.24014
139,252.91548
140,132.4042
141,257.11816
142,210.68364
143,89.87468
144,173.63358
145,264.7066
146,176.36165
147,188.09753
148,111.817894
149,152.95859
150,212.47026
151,99.08653
152,248.90944
153,98.146286
154,177.91402
155,222.96146
156,105.014534
157,113.09979
158,102.124626
159,230.52931
160,95.41838
161,237.02441
162,136.72818
163,185.73892
164,156.42165
165,93.84149
166,94.061
167,242.82613
168,237.6715
169,165.44182
170,93.84149
171,99.29682
172,258.16974
173,96.203384
174,161.19005
175,97.116295
176,210.34451
177,224.73557
178,92.17583
179,180.04436
180,139.3094
181,95.98388
182,167.46138
183,164.8325
184,223.15027
185,142.86221
186,159.88779
187,93.84149
188,125.139885
189,101.687126
190,237.30663
191,148.50945
192,95.98388
193,132.35252
194,121.55515
195,172.43604
196,95.98388
197,163.15192
198,150.83707
199,137.84134
200,95.98388
201,93.84149
202,192.99638
203,211.77522
204,255.44862
205,170.37335
206,180.79391
207,219.25531
208,180.54085
209,109.90609
210,159.16087
211,131.64348
212,104.62539
213,95.98388
214,95.98388
215,280.96796
216,238.20554
217,258.54224
218,175.84424
219,144.59703
220,94.061
221,124.20342
222,176.49149
223,100.00171
224,101.43921
225,223.95396
226,95.98388
227,96.52022
228,107.187164
229,96.30287
230,239.20004
231,124.88002
232,208.26918
233,115.8399
234,247.11996
235,103.695
236,131.4783
237,93.84149
238,232.53578
239,240.54794
240,276.41913
241,107.00567
242,94.061
243,94.061
244,142.4979
245,93.84149
246,120.31759
247,95.98388
248,244.61073
249,212.88261
250,264.03027
251,246.75752
252,119.82689
253,190.8111
254,263.39368
255,129.88501
256,276.8058
257,95.98388
258,108.24498
259,98.625725
260,97.84514
261,96.52022
262,277.1569
263,94.061
264,138.59393
265,115.76119
266,93.84149
267,141.24652
268,243.19897
269,95.98388
270,206.49884
