,Pred
0,213.20523
1,63.186172
2,194.54199
3,164.74286
4,116.78903
5,105.31444
6,74.54933
7,115.62673
8,158.89212
9,210.12395
10,103.8936
11,110.357635
12,100.49122
13,169.44807
14,98.14651
15,166.5688
16,213.5332
17,196.89702
18,143.84227
19,116.85475
20,120.64239
21,83.96389
22,115.83813
23,247.27147
24,165.26373
25,152.06537
26,86.235855
27,182.9215
28,134.60321
29,196.75188
30,159.83156
31,67.83698
32,228.40405
33,117.31082
34,74.6664
35,85.644
36,218.4707
37,166.80872
38,238.20242
39,143.2825
40,156.70837
41,76.045166
42,148.93042
43,74.178474
44,217.24847
45,126.91388
46,144.41756
47,106.06243
48,67.46302
49,195.87181
50,161.7694
51,186.11595
52,125.17065
53,152.24525
54,142.8644
55,62.662457
56,216.13474
57,69.11192
58,114.11155
59,141.25111
60,117.106834
61,180.77318
62,62.64172
63,91.683556
64,113.15305
65,192.8532
66,142.96182
67,132.16013
68,112.51467
69,119.62595
70,77.6177
71,228.57123
72,157.24797
73,115.95423
74,148.0932
75,124.75977
76,181.30789
77,76.543495
78,184.40883
79,81.52274
80,187.41945
81,116.4316
82,60.38035
83,160.07751
84,63.854004
85,169.17854
86,61.85094
87,178.69849
88,72.63726
89,97.76606
90,85.807915
91,192.83267
92,191.55638
93,56.561028
94,103.04727
95,138.7298
96,222.5249
97,206.8407
98,128.60132
99,140.6079
100,173.42503
101,87.29119
102,153.43652
103,158.47119
104,151.37593
105,113.31106
106,73.45169
107,152.59605
108,251.85338
109,140.6785
110,70.50407
111,119.31465
112,150.06578
113,216.9032
114,268.18887
115,192.93906
116,211.16943
117,227.3405
118,161.57326
119,159.43564
120,159.69904
121,205.91971
122,214.80779
123,185.36394
124,178.7107
125,199.32213
126,66.65115
127,115.47795
128,79.996605
129,209.8084
130,215.0758
131,61.05023
132,111.57783
133,61.672455
134,141.10149
135,246.6468
136,58.403446
137,233.44597
138,243.19821
139,259.01007
140,162.02396
141,222.56631
142,185.93385
143,122.53655
144,180.35591
145,211.28752
146,193.1534
147,222.15251
148,105.46093
149,179.11359
150,202.52515
151,151.89981
152,201.29767
153,109.52965
154,153.7593
155,198.39781
156,145.96533
157,113.08763
158,70.70736
159,245.18004
160,75.88908
161,235.7924
162,140.39284
163,189.01935
164,147.32893
165,67.30699
166,62.50866
167,260.35968
168,222.2163
169,227.18564
170,56.330547
171,88.04034
172,223.23639
173,100.24012
174,169.56352
175,123.53836
176,161.8193
177,232.83801
178,92.72877
179,178.8291
180,186.0127
181,79.23642
182,183.37242
183,159.31285
184,217.38193
185,183.04176
186,188.84012
187,77.705055
188,163.78232
189,105.78834
190,205.74515
191,117.30106
192,77.54479
193,141.26813
194,165.69458
195,176.53842
196,82.21586
197,199.71692
198,147.4443
199,172.19228
200,86.79478
201,66.31093
202,180.41364
203,203.6535
204,197.505
205,235.93222
206,160.63231
207,226.48575
208,219.58078
209,168.06146
210,129.40823
211,177.77043
212,161.84732
213,91.98477
214,101.2893
215,249.19165
216,221.97206
217,219.95813
218,131.65027
219,136.98895
220,77.54101
221,150.5369
222,160.0112
223,113.69
224,85.799095
225,238.89787
226,67.93286
227,92.63273
228,116.3079
229,97.705505
230,178.7543
231,150.95807
232,156.84998
233,141.56061
234,228.92491
235,180.8254
236,197.18634
237,55.758526
238,193.42064
239,185.1472
240,236.35455
241,106.25911
242,83.95459
243,91.00192
244,126.34946
245,97.73483
246,128.4677
247,87.61693
248,241.38539
249,246.65506
250,273.7997
251,249.50237
252,172.65611
253,208.63501
254,239.7221
255,122.52833
256,230.38118
257,96.903046
258,109.53961
259,130.262
260,72.056404
261,127.70008
262,226.02675
263,45.125267
264,135.07234
265,134.56699
266,48.04903
267,147.42587
268,238.52742
269,96.43892
270,190.9526
271,171.37341
272,157.78607
273,182.7745
274,184.3511
275,172.25766
276,208.63506
277,120.3091
278,118.7356
279,120.18892
280,167.9435
281,102.28634
282,150.884
283,79.81322
284,172.05084
285,195.13884
286,85.689064
287,171.78967
288,69.830734
289,187.65599
290,224.42038
291,209.08125
292,95.11795
293,167.0758
294,88.04593
295,155.21503
296,71.460434
297,102.67177
298,95.58465
299,129.57793
300,229.5942
301,116.160515
302,215.4206
303,231.40309
304,116.23152
305,134.84659
306,129.39688
307,139.63022
308,82.9961
309,151.1843
310,193.36526
311,179.15378
312,123.5578
313,216.89064
314,174.51057
315,106.11823
316,210.5439
317,165.78516
318,169.6134
319,200.922
320,200.70119
321,270.976
322,255.14175
323,205.15468
324,219.83447
325,216.44044
326,161.93088
327,205.91092
328,191.18109
329,102.66668
330,175.36711
331,114.03003
332,276.92432
333,202.29282
334,75.32631
335,78.92343
336,237.86133
337,176.14497
338,114.181145
339,154.08432
340,154.80962
341,183.78497
