,Pred
0,0.5726883
1,0.5957619
2,0.49502474
3,0.5024813
4,0.5016687
5,0.6001459
6,0.4966535
7,0.4269048
8,0.5125734
9,0.46049058
10,0.48986083
11,0.5135219
12,0.6326952
13,0.3855678
14,0.4778114
15,0.5071833
16,0.5195912
17,0.47386125
18,0.50687444
19,0.57082045
20,0.54180753
21,0.52582246
22,0.4596081
23,0.5386751
24,0.59252274
25,0.6019719
26,0.5368285
27,0.5522248
28,0.57661766
29,0.5560516
30,0.46511856
31,0.6098168
32,0.44405225
33,0.5298995
34,0.5805961
35,0.55706656
36,0.5303143
37,0.5069402
38,0.5221084
39,0.6465245
40,0.60927993
41,0.5709334
42,0.50738233
43,0.45177662
44,0.4471723
45,0.48344487
46,0.46197277
47,0.5015339
48,0.48732665
49,0.54407626
50,0.4927461
51,0.52984923
52,0.43386966
53,0.5142524
54,0.5488157
55,0.5343635
56,0.511983
57,0.54753864
58,0.50770366
59,0.5895768
60,0.6155251
61,0.55159664
62,0.5253667
63,0.43895608
