,Pred
0,2.0355847
1,1.0093445
2,1.9109658
3,1.6796967
4,1.4820708
5,1.9100305
6,1.4078218
7,1.3637639
8,1.7449571
9,1.4409828
10,1.6203507
11,1.7661474
12,1.589876
13,2.1275
14,1.5418514
15,1.6631665
16,1.6078745
17,1.3349591
18,1.4064661
19,1.5428873
20,1.689129
21,1.4270273
22,1.8999428
23,1.5887774
24,1.6554984
25,1.3764035
26,1.6484652
27,1.4400192
28,1.5999898
29,1.0680408
30,1.3851689
31,1.2865148
32,1.5647686
33,1.56194
34,1.44998
35,1.3745431
36,1.1456306
37,1.2142329
38,2.023056
39,1.4705828
40,1.3381017
41,1.6164323
42,1.8032137
43,1.820284
44,1.5953641
45,1.7052294
46,1.9339157
47,1.5224662
48,1.9660943
49,1.7407049
50,1.3836418
51,2.2562113
52,1.816439
53,1.6837857
54,1.6687428
55,1.3116773
56,1.2866
57,1.8025744
58,1.6576825
59,1.9394622
60,1.8510323
61,1.4745337
62,1.2637875
63,1.2031349
64,1.6753302
65,1.2884734
66,1.5069486
67,2.1191437
68,1.6190466
69,1.5425487
70,1.1768925
71,1.232706
72,2.0106719
73,1.5845819
74,1.449306
75,1.205882
76,1.3662654
77,1.6425631
78,1.9620239
79,1.6572524
80,1.6871608
81,1.3883961
82,1.5825802
83,1.7964795
84,1.6577699
85,1.1169151
86,1.3539172
87,1.7626718
88,1.1831895
89,1.1690475
90,1.2228956
91,1.5433959
92,1.684876
93,1.9695966
94,1.5550064
95,1.6021975
96,1.465299
97,1.601697
98,1.4985327
99,1.2504917
