,Pred
0,16.246693
1,12.414046
2,17.158379
3,13.331562
4,18.513054
5,19.031647
6,14.677322
7,11.759606
8,12.90819
9,14.989448
10,12.666866
11,15.92811
12,13.442432
13,17.890717
14,21.661922
15,13.273615
16,11.308104
17,15.843318
18,18.814915
19,17.899076
20,20.317078
21,11.205247
22,21.15889
23,19.833733
24,16.497772
25,9.301669
26,21.096083
27,19.32356
28,20.171822
29,8.191718
30,7.823037
31,10.311936
32,18.978321
33,20.998299
34,10.378394
35,10.533628
36,6.7541347
37,10.1836815
38,13.235102
39,5.6139154
40,12.6293955
41,14.665434
42,16.305494
43,14.796339
44,14.177914
45,16.507544
46,15.610635
47,9.646305
48,18.120546
49,14.7793665
50,13.71106
51,18.30758
52,22.777042
53,22.466438
54,14.844759
55,7.3021293
56,18.213034
57,11.485147
58,12.145232
59,16.355404
60,19.404583
61,9.533897
62,13.034316
63,12.537948
64,16.867306
65,18.405035
66,21.898512
67,15.523619
68,6.862036
69,13.533548
70,4.125631
71,16.483213
72,22.228622
73,14.128403
74,19.515394
75,17.33
76,18.194502
77,14.168601
78,15.288161
79,20.221407
80,13.308789
81,8.842312
82,12.09417
83,18.485664
84,15.06294
85,13.88544
86,11.881415
87,21.62812
88,6.7047186
89,14.654807
90,8.449196
91,6.6829343
92,9.20603
93,21.602612
94,11.550123
95,19.08178
96,14.891288
97,14.78946
98,11.728337
99,5.0208936
