,Pred
0,390.164496011244
1,409.66275335381596
2,388.6306259631449
3,388.5878792582109
4,394.0795400812756
5,403.2756773472548
6,409.49382574928023
7,401.1012650392701
8,388.0342612619708
9,386.426866118626
10,409.38966717518304
11,390.9106757601145
12,390.5012043703633
13,409.3491180904247
14,408.26059773311806
15,386.6495381339752
16,385.75654338418565
17,391.52063151216436
18,402.5609781182905
19,409.5548858354001
20,409.7068291218454
21,402.7409654942867
22,390.23091475164136
23,386.55134594810136
24,401.1643491657743
25,385.93560958294313
26,399.9691587773247
27,404.03877146745066
28,406.9982863071412
29,408.720258479248
30,405.83380503722873
31,385.7708641607522
32,398.2909101129721
33,396.5736918747592
34,402.92817390599396
35,397.6098977355552
36,402.6904677982001
37,398.80832570330006
38,396.99074368900625
39,409.6809599523556
40,385.75478199323805
41,385.90961641378016
42,392.542702415661
43,401.23793259463196
44,385.9211055519475
45,409.6184305935234
46,387.3780688162203
47,409.64769351984586
48,399.1713154124486
49,387.1572456410348
50,407.559340160938
51,389.1044361545163
52,397.14305378337247
53,388.32575677744165
54,394.2528248736051
55,405.61826874864687
56,409.70654220877714
57,401.31316306100166
58,409.63009191353933
59,409.62809787698484
60,409.5586156066949
61,393.51269692031366
62,387.9623090002185
63,387.4210475506805
64,390.7099552364721
65,393.2378228360699
66,385.760476307751
67,386.24218276861603
68,408.435610987805
69,387.6689648215735
70,397.82662386189776
71,405.7973057721058
72,387.7953106334491
73,385.7635269095687
74,409.55635488163773
75,386.03387615076946
76,404.403056641165
77,387.19539746438176
78,403.87894348728884
79,385.93322282029294
80,409.732052166313
81,392.21358389570156
82,388.73959160525516
83,408.8176021659457
84,391.5838902014147
85,385.83504409370556
86,391.32741908834623
87,388.0135039458567
88,398.16373801166117
89,385.74503572974925
90,387.7858563323681
91,396.3475896075763
92,395.0098876654565
93,388.48517037222405
94,391.78259738421957
95,403.9141126715455
96,409.4911628496383
97,409.5477910647477
98,388.7545153809149
99,385.7884688788169
