,Pred
0,361.6795
1,1616.1931
2,391.65903
3,244.1642
4,136.91263
5,211.39153
6,1250.0968
7,99.40442
8,484.97385
9,259.8589
10,113.35679
11,338.83908
12,434.90213
13,448.86542
14,826.8206
15,102.324684
16,211.24658
17,117.46959
18,467.58948
19,138.453
20,464.03033
21,810.53784
22,487.22324
23,336.9807
24,94.73027
25,268.0543
26,738.3198
27,348.50525
28,80.44515
29,482.00137
30,746.05286
31,191.90321
32,621.537
33,597.33685
34,769.81696
35,724.1305
36,377.3832
37,705.6167
38,341.26257
39,1011.31726
40,153.05635
41,169.52975
42,376.9506
43,366.09784
44,70.7362
45,1582.226
46,77.48318
47,648.0044
48,432.26083
49,60.461323
50,348.50525
51,341.47412
52,888.23804
53,148.54865
54,363.28192
55,405.66992
56,491.74265
57,469.18808
58,466.88605
59,976.0746
60,1027.9022
61,754.55304
62,332.81955
63,89.9349
64,176.661
65,619.28906
66,137.9195
67,267.0195
68,477.34152
69,241.17484
70,893.1026
71,256.13397
72,130.68279
73,137.86711
74,672.60706
75,229.54474
76,586.48694
77,107.072624
78,718.4946
79,157.74397
80,1214.4939
81,151.61073
82,385.37247
83,1373.715
84,152.26372
85,108.41762
86,569.2984
87,62.857574
88,631.5281
89,75.18375
90,238.13666
91,85.368866
92,216.05554
93,86.17096
94,643.60803
95,784.8501
96,1161.8271
97,646.0656
98,96.58297
99,154.40459
