,Pred
0,-108.10433
1,-39.68844
2,27.036541
3,569.2246
4,699.8708
5,-32.271248
6,216.67365
7,242.31184
8,341.2904
9,1032.9501
10,354.56293
11,767.1976
12,715.73065
13,591.3823
14,783.27924
15,298.31268
16,362.2781
17,826.11304
18,-135.58394
19,334.87558
20,-30.19539
21,168.54941
22,714.5551
23,59.269924
24,736.3826
25,752.53143
26,600.2659
27,783.3972
28,241.5617
29,-25.839302
30,330.68515
31,723.91455
32,507.42343
33,595.9108
34,797.84485
35,66.0
36,427.16577
37,414.66534
38,128.79288
39,-72.116806
40,1218.5436
41,453.81644
42,134.29247
43,1240.344
44,951.0528
45,348.87738
46,867.7361
47,377.68622
48,479.93243
49,259.15988
50,487.1575
51,341.6935
52,349.03854
53,113.99144
54,709.5172
55,21.480902
56,742.72656
57,331.29968
58,176.58923
59,607.49915
60,508.7128
61,314.2854
62,413.27618
63,646.7242
