,Pred
0,-1.7143064
1,2.4436016
2,-2.6659684
3,0.108361244
4,0.93394756
5,1.5970807
6,2.3100023
7,-0.16351032
8,-0.23389435
9,-4.2427335
10,2.571354
11,0.5936289
12,-1.4605308
13,1.8969431
14,2.163741
15,-3.8935027
16,-3.2443814
17,0.5733745
18,1.445137
19,2.7960606
20,2.5932827
21,1.2719684
22,-3.094317
23,-3.0264366
24,0.69147205
25,-2.5834537
26,0.95724106
27,1.3196478
28,1.5970984
29,1.9792323
30,1.6232324
31,-3.9913247
32,-1.5481472
33,-2.307654
34,0.34770393
35,-1.8099518
36,1.6277814
37,0.81756353
38,0.67572594
39,2.4056711
40,-4.13902
41,-1.5559468
42,-2.1575203
43,0.025321007
44,-0.29560423
45,2.0567627
46,-1.5661223
47,2.2763166
48,0.8467407
49,-2.3545113
50,2.0870247
51,-2.5767875
52,0.9347935
53,-1.4202976
54,-1.1558347
55,1.1762133
56,1.4903555
57,-0.45842457
58,2.3324099
59,2.284896
60,2.4347658
61,-0.49562263
62,0.22052765
63,-1.2050529
64,-1.0415568
65,-3.212947
66,-3.26159
67,-5.687599
68,1.7582192
69,-0.5852752
70,-0.18051624
71,0.20902348
72,-1.9323997
73,-3.166252
74,2.0265012
75,-2.9046419
76,1.0325928
77,-0.55016255
78,1.4897108
79,-2.5067606
80,2.3767462
81,-3.0680137
82,-2.1604724
83,1.8449984
84,0.31415033
85,0.056091726
86,-3.3012524
87,0.3676257
88,0.023023605
89,-2.5826375
90,-0.49404716
91,0.22284985
92,-0.21807814
93,-1.0884657
94,0.32251644
95,1.407342
96,2.2144604
97,2.627594
98,-2.5990915
99,-3.465146
