,Pred
0,0.009822011
1,-0.50451833
2,-0.0074818134
3,0.010226369
4,0.2677908
5,0.3430255
6,-0.3229903
7,0.4661991
8,-0.58988863
9,-0.13272512
10,0.43048868
11,-0.14918762
12,-0.09519529
13,0.22512192
14,-0.00029444695
15,0.29972512
16,-0.21709454
17,0.12606496
18,-0.12942958
19,0.48569727
20,0.15496302
21,-0.519692
22,-0.021019816
23,-0.14176607
24,0.3495083
25,-0.44525278
26,-0.25403285
27,0.27747858
28,0.5157726
29,0.032678574
30,-0.1892578
31,-0.08158243
32,-0.09382725
33,-0.13527441
34,0.05306828
35,-0.17279029
36,0.1805759
37,-0.57001364
38,0.106251955
39,-0.18254256
40,-0.10304308
41,-0.12944007
42,0.12388301
43,0.16343027
44,0.13967806
45,-0.7325853
46,0.36171335
47,-0.273062
48,0.01493299
49,0.47892094
50,0.30736428
51,0.14241928
52,-0.6055995
53,0.25736988
54,0.012340188
55,0.14633554
56,0.28077936
57,0.022924185
58,-0.054483533
59,-0.14486313
60,-0.24722481
61,-0.3835401
62,-0.29643995
63,0.31896442
64,0.1893422
65,-0.15589297
66,0.11650252
67,-0.13100266
68,-0.15672785
69,-0.020577729
70,-0.3679526
71,0.3593067
72,0.25331834
73,0.15214461
74,-0.23424393
75,-0.073984265
76,0.0028601885
77,0.30899084
78,-0.101543665
79,0.089820325
80,-0.48698425
81,0.36665237
82,-0.31251597
83,-0.6529057
84,0.23249954
85,0.12527299
86,-0.04695034
87,0.3481189
88,-0.18809903
89,0.2060889
90,0.09359717
91,0.33267182
92,0.17376846
93,0.29775542
94,-0.8047025
95,-0.3116421
96,-0.32707566
97,0.10684121
98,0.3322041
99,-0.47448337
