,Pred
0,1.4310234
1,1.4136561
2,1.3168111
3,1.3071537
4,1.2481223
5,1.4036314
6,1.5311922
7,0.9557606
8,1.512485
9,1.3758419
10,0.98390204
11,1.5304368
12,1.4549053
13,1.3036063
14,1.5793734
15,0.7845415
16,1.2008334
17,1.4172882
18,1.5880549
19,1.1668063
20,1.3359742
21,1.5714164
22,1.2796777
23,1.2887665
24,0.40224558
25,1.4622947
26,1.5963628
27,1.4034346
28,1.1713297
29,1.425896
30,1.6057184
31,1.207158
32,1.4348516
33,1.4011521
34,1.4939069
35,1.407565
36,1.3336056
37,1.5331277
38,1.5294311
39,1.5969138
40,1.3851124
41,1.3539628
42,1.2104963
43,1.4187126
44,1.3161813
45,1.4609323
46,0.58080256
47,1.4873806
48,1.5558627
49,1.2035775
50,1.403362
51,1.2559313
52,1.5065907
53,0.9217063
54,1.4440283
55,1.4000876
56,1.3719183
57,1.3994511
58,1.4329275
59,1.5436614
60,1.5281599
61,1.4710534
62,1.4164729
63,1.345334
64,1.2874985
65,1.3476462
66,1.0575523
67,1.1629355
68,1.4877981
69,1.3538392
70,1.486701
71,1.1487994
72,0.86593306
73,1.08926
74,1.538497
75,1.3113639
76,1.4985515
77,1.0912944
78,1.5978647
79,1.2251666
80,1.4749843
81,0.94245434
82,1.535572
83,1.4660482
84,1.1813129
85,0.5546022
86,1.32796
87,1.2894075
88,1.5703347
89,1.0055984
90,1.3130558
91,0.15651822
92,1.2305534
93,1.242802
94,1.4598792
95,1.6139697
96,1.5701575
97,1.3563337
98,1.0226402
99,1.466431
