,Pred
0,1.3805302
1,1.4395037
2,1.3365455
3,1.3805302
4,1.3577558
5,1.450819
6,1.4395037
7,1.0203563
8,1.5064782
9,1.3948457
10,0.8956126
11,1.4890068
12,1.3862492
13,1.352888
14,1.4558097
15,0.9101652
16,1.225792
17,1.4183966
18,1.493384
19,1.0442634
20,1.4051722
21,1.5108554
22,1.316747
23,1.3160659
24,0.8956126
25,1.4630678
26,1.4739964
27,1.502952
28,1.0282204
29,1.4700737
30,1.4739964
31,1.2383543
32,1.4467522
33,1.4467522
34,1.4395037
35,1.4558097
36,1.4051722
37,1.5108554
38,1.493384
39,1.4558097
40,1.3171341
41,1.4630678
42,1.3409175
43,1.4540308
44,1.3453221
45,1.493384
46,0.8055771
47,1.5108554
48,1.502952
49,1.0809578
50,1.502952
51,1.316747
52,1.4739964
53,1.0801771
54,1.4337927
55,1.4540308
56,1.352888
57,1.3796679
58,1.5092046
59,1.4851276
60,1.4851276
61,1.4222529
62,1.5048274
63,1.3795763
64,1.3659283
65,1.4210706
66,1.1505316
67,1.2694504
68,1.5092046
69,1.3805302
70,1.4467522
71,1.185356
72,0.9462235
73,1.1505316
74,1.5092046
75,1.2694504
76,1.4690846
77,1.20767
78,1.4739964
79,1.2282432
80,1.502952
81,0.98504376
82,1.4985747
83,1.4851276
84,1.2076871
85,0.9923166
86,1.3742272
87,1.0872104
88,1.4739964
89,1.0850644
90,1.3805302
91,0.8055771
92,1.3027596
93,1.3621049
94,1.5064782
95,1.493384
96,1.4851276
97,1.3868848
98,1.1593465
99,1.425578
